mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
504,513,0.029,0.0,0.0,0.0,0.0,0.0,DLR
504,523,6.908,14.5529995,25.278,27.184,16.689001,3.137,DLR
504,533,21.502,30.176,59.146,51.748,23.684,2.847,DLR
504,538,4.738,15.753,39.521,46.195,27.443,13.82,DLR
504,559,6.2539997,23.861,28.202,27.31,22.68,10.511,DLR
504,573,76.71,114.237,172.287,344.296,180.513,58.552,DLR
504,719,131.902,1204.742,723.271,711.537,284.316,113.742,DLR
504,749,0.899,23.076,39.173,45.502,28.198,13.175,DLR
504,750,6.032,11.661,45.628,32.364998,24.258,13.974,DLR
504,757,34.522,260.29,237.983,263.877,115.019,39.766,DLR
504,842,5.918,54.729,13.234,17.771,2.151,2.5,DLR
504,850,1.214,0.655,5.134,6.692,3.229,0.648,DLR
504,851,1.84,3.812,5.305,5.724,3.3960001,1.553,DLR
504,853,0.791,7.469,6.587,6.224,4.342,1.484,DLR
504,854,1.662,3.829,3.398,3.427,0.294,0.243,DLR
504,855,1.591,7.436,0.949,0.055,0.606,0.0,DLR
504,857,0.0,0.555,1.825,3.4720001,0.862,1.346,DLR
504,858,0.55,7.344,6.197,5.284,1.695,1.237,DLR
504,859,0.0,1.387,2.946,1.88,0.549,1.512,DLR
504,860,2.689,3.866,5.546,5.262,2.055,1.419,DLR
504,861,0.90000004,8.178,5.257,4.119,0.54,1.469,DLR
504,862,0.0,9.843,4.879,7.198,6.239,1.543,DLR
504,864,2.077,3.956,5.321,3.188,2.201,1.526,DLR
504,865,1.674,1.586,6.289,4.867,1.014,1.516,DLR
504,866,0.345,3.357,6.352,4.998,1.705,0.0,DLR
504,867,0.79300004,4.306,3.89,3.777,2.884,2.441,DLR
504,879,0.0,3.638,11.384,3.53,1.185,0.252,DLR
504,882,0.0,2.264,3.514,1.965,2.592,1.55,DLR
504,883,1.241,13.558,5.625,8.624,4.482,1.048,DLR
504,884,6.338,97.811,52.074,47.391,35.832,18.881,DLR
504,886,0.311,2.732,11.712,8.812,9.618,3.924,DLR
504,887,0.165,5.124,5.308,4.936,4.954,0.0,DLR
504,888,0.515,3.038,8.7039995,5.683,3.503,0.63199997,DLR
504,889,14.068,27.16,39.069,37.72,15.514,4.238,DLR
504,890,0.689,2.948,6.307,4.574,6.812,1.359,DLR
504,891,1.054,0.010000001,5.174,3.48,0.697,0.518,DLR
504,893,0.218,10.467,15.436,3.399,2.422,0.503,DLR
504,894,0.45499998,4.614,4.072,2.192,2.645,1.557,DLR
504,895,1.725,4.173,10.457,11.178,4.379,0.77,DLR
504,897,0.0,1.645,3.657,4.744,1.706,1.335,DLR
504,928,0.0,0.832,0.86,0.894,0.691,0.0,DLR
504,940,2.247,6.908,13.631,25.67,5.189,1.339,DLR
513,504,0.0,0.0,0.0,0.0,0.0,0.285,DLR
513,523,26.209,52.261,49.031,167.358,55.157,44.357,DLR
513,533,135.189,409.783,671.624,917.637,93.608,24.007,DLR
513,538,21.647,118.006,108.51,383.057,185.629,121.817,DLR
513,559,15.034,79.221,73.82,192.133,74.87,54.391,DLR
513,573,154.139,445.871,626.861,1277.996,640.837,408.524,DLR
513,749,0.0,0.0,0.037,0.0,0.21800001,0.086,DLR
513,750,0.0,0.0,0.661,0.0,0.598,0.404,DLR
513,757,0.0,0.0,0.0,0.0,0.027,0.0,DLR
513,842,181.647,2176.407,1795.5,2545.41,566.497,177.242,DLR
513,850,1.59,21.14,65.348,100.637,45.067,18.352,DLR
513,851,0.39,0.378,2.616,2.833,1.997,0.574,DLR
513,853,20.121,101.89,156.403,134.357,53.601,18.559,DLR
513,854,28.281,198.33,390.448,646.563,314.706,198.131,DLR
513,855,79.171,773.465,612.18097,621.585,231.896,117.951004,DLR
513,856,12.252,87.188,188.498,355.034,184.834,128.876,DLR
513,857,5.337,40.704,151.554,379.539,186.319,116.24,DLR
513,858,15.782,92.847,274.07,721.613,229.974,193.444,DLR
513,859,0.827,2.805,0.235,0.49,0.924,0.328,DLR
513,860,50.166,438.508,791.237,1269.122,612.845,420.806,DLR
513,861,69.635,948.391,617.793,776.183,403.008,224.201,DLR
513,862,149.049,744.146,1175.057,2443.497,1001.951,668.764,DLR
513,864,0.0,2.171,8.832,8.434,2.304,1.638,DLR
513,865,64.647,432.845,667.016,998.364,512.219,391.066,DLR
513,866,0.449,3.025,23.745,32.512,12.521,12.671,DLR
513,867,2.047,12.959,25.701,28.097,20.498,12.771,DLR
513,879,45.735,348.352,884.253,620.818,307.57,192.451,DLR
513,882,22.662,138.04,175.175,346.574,187.224,128.509,DLR
513,883,40.542,251.349,234.95801,434.305,233.839,160.446,DLR
513,884,16.806,44.729,72.473,345.921,95.364,71.934,DLR
513,886,4.87,29.891,23.454,211.34,85.005,31.428,DLR
513,887,4.179,47.736,13.94,89.153,30.331,12.759,DLR
513,888,6.859,43.249,14.559,120.803,41.285,15.221,DLR
513,889,2.074,0.395,1.758,0.0,0.444,1.103,DLR
513,890,2.574,18.02,10.567,90.126,32.151,12.419,DLR
513,891,3.28,5.816,5.161,26.038,10.57,3.563,DLR
513,893,1.637,21.705,8.932,42.287,12.591,3.936,DLR
513,894,2.132,21.034,7.243,67.52,29.747,10.101,DLR
513,895,2.934,17.801,13.014,125.643,34.454,8.128,DLR
513,897,23.403,59.365,236.618,336.915,201.347,155.095,DLR
513,898,21.035,31.955,93.422,161.76399,96.996,64.057,DLR
513,928,7.673,44.665,110.142,70.775,62.518,39.418,DLR
513,940,35.989,135.005,275.332,616.249,179.48,84.179,DLR
523,504,3.887,18.646,26.888,12.177,1.609,0.82,DLR
523,513,58.264,149.587,79.632,69.172,21.031,6.713,DLR
523,533,2.8,12.043,12.301,8.387,3.1660001,0.077,DLR
523,538,0.558,3.244,14.148,4.8059998,3.059,0.111,DLR
523,559,2.192,13.663,28.009,10.681,1.564,1.146,DLR
523,573,52.093998,155.647,165.533,153.021,58.334,26.626,DLR
523,719,41.242,129.147,119.121,96.077,33.167,8.109,DLR
523,749,2.552,12.601,13.278,8.906,5.03,0.978,DLR
523,750,2.5,4.423,5.991,3.258,2.048,0.55300003,DLR
523,757,13.83,66.699,37.096,48.216,17.613,4.044,DLR
523,842,6.466,5.583,6.0,7.071,0.219,0.0,DLR
523,851,0.0,2.27,3.56,1.49,0.31,0.0,DLR
523,854,0.366,1.905,1.933,1.972,0.392,0.0,DLR
523,856,0.384,3.1890001,0.49,0.654,0.526,0.0,DLR
523,858,4.746,8.913,18.0,14.246,2.457,0.0,DLR
523,860,4.68,30.230999,18.266,9.468,4.399,1.942,DLR
523,861,0.379,7.439,2.946,2.83,0.324,0.0,DLR
523,862,20.898,9.2109995,6.152,2.255,2.8769999,3.468,DLR
523,864,3.307,6.784,5.513,3.169,0.397,0.0,DLR
523,865,4.671,9.127,8.192,3.401,0.417,0.0,DLR
523,866,0.0,2.467,2.7879999,0.639,1.037,0.0,DLR
523,867,2.249,2.205,0.394,3.2810001,0.439,0.0,DLR
523,879,0.261,3.443,4.435,1.498,0.271,0.0,DLR
523,882,4.54,0.0,3.142,1.559,1.034,0.0,DLR
523,883,0.799,12.8,3.144,1.755,2.164,1.709,DLR
523,884,113.876,216.334,230.492,147.596,68.596,25.582,DLR
523,886,0.0,0.442,9.2,6.034,0.65,0.024,DLR
523,887,0.681,0.832,2.493,1.67,1.271,0.036,DLR
523,888,0.0,0.572,2.23,1.634,0.314,0.0,DLR
523,889,9.2439995,11.618,17.418,6.184,1.573,0.0,DLR
523,890,0.0,0.796,8.023,2.38,0.63,0.0,DLR
523,928,0.071,0.065000005,0.025,0.065,0.0,0.0,DLR
523,940,0.564,5.746,2.366,5.603,1.243,0.0,DLR
533,504,1.608,48.107,86.328,68.456,43.287,2.533,DLR
533,513,21.381,463.644,501.387,393.119,232.41,14.349,DLR
533,523,0.407,16.617,15.188,3.884,2.768,0.646,DLR
533,538,0.0,16.24,24.862,12.896,12.908,1.239,DLR
533,559,0.142,17.935,21.88,7.926,9.022,0.801,DLR
533,573,43.715,193.121,237.659,210.013,186.158,24.708,DLR
533,719,21.313,202.387,285.084,213.451,173.624,11.807,DLR
533,749,0.0,20.039999,15.24,15.332,11.718,0.877,DLR
533,750,1.067,3.727,5.059,5.574,2.892,0.858,DLR
533,757,6.5620003,101.727,102.115,82.236,62.391,9.309,DLR
533,842,0.88199997,17.129,29.059,25.431,12.869,0.396,DLR
533,850,0.0,0.0,2.753,1.548,1.994,0.749,DLR
533,851,0.454,2.668,8.907,4.28,6.4570003,0.19600001,DLR
533,853,0.0,12.6119995,4.941,2.823,2.706,0.421,DLR
533,854,0.28100002,2.531,4.625,5.697,3.361,0.49899998,DLR
533,855,2.178,5.343,8.547,2.931,1.8249999,1.409,DLR
533,856,0.0,1.323,5.818,2.357,2.051,0.0,DLR
533,857,0.0,2.595,3.55,3.399,1.774,0.45700002,DLR
533,858,0.626,25.553999,53.278,47.164,24.855999,4.914,DLR
533,859,0.0,2.068,0.255,0.524,0.948,0.51,DLR
533,860,3.021,58.945,77.007,53.435,45.524002,2.104,DLR
533,861,0.184,10.674,9.286,6.971,9.037,0.526,DLR
533,862,0.948,29.299,32.064,24.28,15.186,0.97,DLR
533,864,1.659,59.096,66.467,33.322998,20.131,0.598,DLR
533,865,3.8470001,16.960001,28.92,19.659,19.075,0.966,DLR
533,866,0.0,5.592,5.366,5.485,3.37,0.0,DLR
533,867,0.453,5.523,4.528,2.946,2.877,0.306,DLR
533,879,0.0,4.771,11.945,5.93,4.932,0.422,DLR
533,882,0.878,7.994,12.604,9.084,6.021,0.527,DLR
533,883,0.0,5.855,7.762,7.903,8.637,2.133,DLR
533,884,37.399,464.073,898.836,571.879,587.371,40.255,DLR
533,886,0.75100005,9.742,15.858,7.039,7.0499997,0.27600002,DLR
533,887,0.0,1.985,4.999,2.021,2.835,0.0,DLR
533,888,0.0,1.593,2.825,0.934,1.1060001,0.66,DLR
533,889,2.0479999,5.825,5.341,1.146,0.893,0.262,DLR
533,890,0.0,1.713,3.331,1.237,1.187,0.417,DLR
533,895,0.536,0.776,2.91,2.822,1.137,0.0,DLR
533,897,1.162,3.608,6.907,4.9,5.0889997,0.256,DLR
533,898,1.0139999,2.715,1.916,3.219,2.362,0.371,DLR
533,928,0.04,1.019,2.255,0.373,1.128,0.081,DLR
533,940,0.27,8.625,13.849,19.568,9.041,0.71999997,DLR
538,504,6.288,37.989,38.896,26.871,7.724,1.236,DLR
538,513,54.696,513.589,163.743,136.334,36.131,15.192,DLR
538,523,0.855,21.489,6.848,4.502,2.352,0.28800002,DLR
538,533,7.024,25.062,20.787,13.412,4.866,0.062,DLR
538,559,0.86,2.275,3.788,2.665,0.594,0.883,DLR
538,573,13.7369995,58.67,85.356,86.533,20.49,8.279,DLR
538,719,24.205,215.955,182.276,192.649,57.867,16.04,DLR
538,749,2.949,21.874,13.166,8.253,4.064,2.558,DLR
538,750,0.915,1.283,3.883,4.088,0.092,0.0,DLR
538,757,9.9210005,113.651,57.572,96.506996,16.783,7.022,DLR
538,842,7.222,51.523,20.989,21.344,1.743,0.59,DLR
538,850,0.582,1.412,0.952,3.542,1.25,0.509,DLR
538,851,0.962,1.589,4.984,3.195,0.26,1.693,DLR
538,853,0.0,2.805,4.356,3.363,0.18,0.0,DLR
538,854,1.082,3.264,3.911,1.988,0.781,0.252,DLR
538,855,0.677,16.212,3.514,2.994,0.0,0.0,DLR
538,856,0.0,5.496,2.79,1.327,0.237,0.611,DLR
538,858,7.0379996,69.952,61.637,50.25,18.335,1.1930001,DLR
538,859,0.657,1.456,1.386,1.0649999,0.026,0.0,DLR
538,860,8.71,68.183,22.94,23.813,9.189,3.029,DLR
538,861,1.846,17.339,9.425,4.975,1.015,0.725,DLR
538,862,4.68,12.561,13.53,11.565,2.59,3.386,DLR
538,864,4.048,33.474,11.669,6.42,2.958,0.0,DLR
538,865,2.234,17.312,18.821,9.222,2.888,1.424,DLR
538,866,0.883,6.088,10.483,4.318,1.48,0.0,DLR
538,867,0.0,1.776,2.157,1.515,1.126,0.418,DLR
538,879,0.312,3.598,10.194,1.352,2.384,0.23300001,DLR
538,882,2.541,5.456,7.196,3.175,0.44099998,1.482,DLR
538,883,0.946,8.428,9.986,7.243,1.859,0.378,DLR
538,884,87.607,524.52,429.768,293.516,142.071,35.36,DLR
538,886,0.77599996,3.665,7.478,2.508,2.717,0.502,DLR
538,887,0.0,1.195,1.014,1.798,1.569,0.43800002,DLR
538,888,0.0,1.3100001,2.385,1.218,0.37600002,0.346,DLR
538,889,1.347,6.716,5.808,3.209,0.583,1.8180001,DLR
538,890,0.0,0.0,1.636,1.743,1.755,0.24,DLR
538,893,0.0,3.422,3.706,1.112,0.032,0.983,DLR
538,895,0.438,1.5469999,5.138,3.943,1.35,0.0,DLR
538,897,0.0,2.491,2.681,2.736,0.497,0.662,DLR
538,928,0.174,0.304,0.515,0.203,0.221,0.0,DLR
538,940,1.223,9.196,9.053,6.022,1.516,1.174,DLR
559,504,3.129,20.351,27.313,16.498,5.659,0.994,DLR
559,513,33.929,192.223,98.044,76.827,20.983,7.787,DLR
559,523,0.893,37.263,7.051,5.484,1.896,2.953,DLR
559,533,3.628,15.155,20.149,4.636,5.087,0.0,DLR
559,538,0.421,2.914,4.9110003,2.433,1.222,0.648,DLR
559,573,19.196,31.765,56.866,44.781002,21.845,10.6310005,DLR
559,719,16.271,116.979,143.071,163.491,47.786,9.941,DLR
559,749,0.0,15.518001,16.107,12.222,3.408,1.7310001,DLR
559,750,0.0,3.411,2.252,1.452,0.649,0.61,DLR
559,757,10.6,53.856,60.642,104.233,19.77,10.507,DLR
559,842,2.623,21.641,10.224,9.514,0.802,0.0,DLR
559,850,0.0,0.514,3.072,1.281,0.62200004,0.178,DLR
559,851,0.0,3.779,2.616,1.219,0.59900004,0.516,DLR
559,853,0.0,0.629,4.209,2.975,0.398,0.144,DLR
559,854,0.352,2.161,3.485,0.717,0.451,0.031,DLR
559,855,1.204,8.871,1.677,0.896,0.0,0.0,DLR
559,858,4.292,20.338,29.356,32.21,9.221,1.105,DLR
559,859,0.216,3.146,1.447,0.679,0.0,0.0,DLR
559,860,1.976,31.061,17.131,18.644001,6.014,2.325,DLR
559,861,2.367,7.618,1.952,2.147,0.422,0.273,DLR
559,862,2.688,9.832,9.4140005,8.825,2.655,1.445,DLR
559,864,2.825,9.334,10.581,4.745,1.322,0.64100003,DLR
559,865,2.213,13.35,10.668,6.755,2.228,0.266,DLR
559,866,0.0,1.095,4.751,2.79,2.062,0.057,DLR
559,867,0.699,1.738,1.8,2.527,0.452,1.0929999,DLR
559,879,1.246,1.945,5.326,2.237,1.075,0.098,DLR
