mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,8,mode
504,523,1.771,2.802,21.03,17.86,9.857,4.715,0.0,DLR
504,533,7.531,24.272,19.532999,9.802,8.5460005,4.207,0.0,DLR
504,538,1.178,5.42,47.842,44.172,29.979,11.992,0.0,DLR
504,559,2.2189999,6.337,36.835,29.592,15.985,7.719,0.0,DLR
504,573,20.408,45.371,197.085,174.783,128.202,47.809,0.0,DLR
504,719,26.077,226.505,1101.465,553.231,343.149,127.418,0.0,DLR
504,749,0.0,6.452,56.718,33.744,20.907999,15.016,0.0,DLR
504,750,1.527,6.658,65.044,48.34,16.914,14.0,0.0,DLR
504,757,8.389,48.937,200.224,128.46,94.62,33.924,0.0,DLR
504,842,0.46,3.525,24.06,11.729,8.625,2.1039999,0.0,DLR
504,850,0.19600001,0.25100002,5.009,2.274,1.798,1.145,0.0,DLR
504,851,0.0,0.81200004,8.731,5.813,4.169,1.247,0.0,DLR
504,853,0.0,0.95,13.428,6.606,0.941,1.41,0.0,DLR
504,854,0.0,0.802,4.33,2.94,1.774,0.0,0.0,DLR
504,856,0.0,0.0,1.3199999,1.018,0.66400003,0.0,0.0,DLR
504,857,0.0,0.306,1.507,3.045,1.21,0.0,0.0,DLR
504,858,0.0,0.99300003,4.669,2.049,2.552,1.358,0.0,DLR
504,859,0.103,0.157,0.744,0.9,1.811,0.366,0.0,DLR
504,860,0.169,0.793,4.857,2.505,1.737,1.179,0.0,DLR
504,861,0.0,1.206,2.922,2.891,3.283,0.0,0.0,DLR
504,862,0.484,1.965,5.554,2.946,3.121,0.654,0.0,DLR
504,864,0.0,1.697,7.773,4.469,0.722,0.0,0.0,DLR
504,865,0.27,0.44,2.947,1.522,1.112,1.722,0.0,DLR
504,866,0.0,0.976,8.793,4.997,2.175,0.034,0.0,DLR
504,867,0.0,0.511,5.4500003,4.929,2.716,2.612,0.0,DLR
504,879,0.0,1.431,13.64,2.45,1.9860001,0.0,0.0,DLR
504,882,0.164,1.65,1.376,1.663,0.312,1.899,0.0,DLR
504,883,0.0,0.16,2.144,1.317,1.156,0.962,0.0,DLR
504,884,7.618,26.921,74.863,48.436,29.859,20.832,0.0,DLR
504,886,1.084,0.729,4.762,2.375,1.933,3.8170002,0.0,DLR
504,887,0.097,2.233,1.023,0.54399997,0.767,0.515,0.0,DLR
504,888,0.207,1.996,3.002,0.893,0.705,0.519,0.0,DLR
504,889,1.832,5.87,64.355,51.815,20.072,5.919,0.0,DLR
504,890,2.056,1.131,1.582,0.753,0.585,0.022,0.0,DLR
504,891,0.0,0.183,0.274,0.383,0.36699998,0.227,0.0,DLR
504,893,0.0,0.528,1.096,0.967,0.163,0.507,0.0,DLR
504,894,0.221,0.244,1.439,0.944,0.681,0.594,0.0,DLR
504,895,0.0,0.836,2.886,2.391,0.872,1.04,0.0,DLR
504,897,0.0,1.246,3.192,4.063,2.1430001,0.272,0.0,DLR
504,898,0.0,0.565,1.868,1.751,0.601,0.0,0.0,DLR
504,928,0.0,0.239,1.102,0.543,0.81,0.0,0.0,DLR
504,940,0.0,2.017,10.477,6.972,4.802,0.0,0.0,DLR
513,523,7.3,17.076,45.773,56.786,36.437,37.426,0.0,DLR
513,533,35.442,121.158,84.422,31.457,26.95,16.74,0.0,DLR
513,538,6.0820003,26.959,108.998,134.267,110.523,108.018,0.0,DLR
513,559,5.9570003,28.297,76.893,69.543,48.849,56.139,0.0,DLR
513,573,39.579,175.535,553.68,485.128,317.363,267.828,0.0,DLR
513,842,15.003,123.468,902.56903,711.488,343.289,232.643,0.0,DLR
