mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
514,522,0.0,79.875,138.338,274.665,156.654,94.587,34.579,0.0,LO
514,591,0.0,0.19299999,0.204,0.536,0.363,0.128,0.0,0.0,LO
514,596,0.0,0.164,0.045,0.127,0.126,0.03,0.0,0.0,LO
514,597,0.0,0.0,0.159,0.298,0.12,0.033,0.0,0.0,LO
514,618,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,LO
514,621,0.0,0.039,0.192,0.916,0.3,0.135,0.0,0.0,LO
514,659,0.0,0.019,0.052,0.176,0.115,0.055,0.0,0.0,LO
514,709,0.0,0.0,0.0,0.066,0.07,0.101,0.0,0.0,LO
514,717,0.0,0.04,0.056,0.179,0.075,0.060000002,0.0,0.0,LO
514,751,0.0,0.121,0.194,0.573,0.15799999,0.051,0.0,0.0,LO
514,766,0.0,1.6,1.528,1.962,1.055,0.62,0.43,0.0,LO
514,1404,0.0,0.183,1.268,2.676,1.053,0.161,0.234,0.0,LO
514,1409,0.0,2.422,15.16,33.126,14.405,7.039,1.923,0.0,LO
514,1413,0.0,2.186,5.531,6.035,4.755,0.366,0.357,0.0,LO
514,1421,0.0,2.25,2.934,5.225,2.075,0.623,0.237,0.0,LO
514,1437,0.0,0.664,1.895,1.9020001,1.776,0.697,0.313,0.0,LO
514,1438,0.0,0.70600003,0.595,1.41,0.198,0.0,0.0,0.0,LO
514,1439,0.0,0.0,0.0,0.0,0.0,0.22500001,0.087,0.0,LO
514,1440,0.0,3.3109999,5.431,5.855,2.633,1.768,0.202,0.0,LO
514,1442,0.0,0.018,0.176,0.147,0.07,0.044,0.0,0.0,LO
514,1445,0.0,2.059,5.697,2.151,2.1660001,2.166,0.868,0.0,LO
514,1448,0.0,0.894,3.749,2.123,5.7669997,1.353,0.585,0.0,LO
514,1449,0.0,0.029,0.078,0.187,0.167,0.022,0.024,0.0,LO
514,1452,0.0,0.589,1.707,1.058,0.883,0.0,0.0,0.0,LO
514,1455,0.0,0.027,0.158,0.171,0.12100001,0.072,0.0,0.0,LO
514,1524,0.0,11.506,95.047,101.484,53.598,30.566,9.951,0.0,LO
514,6814,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,LO
514,6867,0.0,0.0,0.0,0.0,0.0,0.12,0.024,0.0,LO
514,6913,0.0,0.03,0.27400002,0.588,0.525,0.649,0.635,0.0,LO
514,6914,0.0,0.141,1.567,2.262,1.0139999,0.131,0.0,0.0,LO
514,6919,0.0,0.040999997,1.263,3.796,3.108,0.534,0.0,0.0,LO
514,6926,0.0,0.0,0.268,2.0,1.2080001,0.301,0.0,0.0,LO
514,6934,0.0,0.026999999,0.205,1.628,0.569,0.672,0.13,0.0,LO
514,6941,0.0,0.136,0.242,0.48,0.305,0.109,4.149,0.0,LO
514,6947,0.0,0.55200005,0.536,0.937,0.642,0.391,0.208,0.0,LO
514,6949,0.0,0.144,0.138,0.624,0.294,0.323,0.271,0.0,LO
514,6952,0.0,0.239,0.803,1.463,1.158,0.899,0.177,0.0,LO
514,6954,0.0,0.0,0.278,0.88,0.518,0.333,0.025,0.0,LO
514,6956,0.0,0.029,0.184,0.143,0.053,0.027,1.4,0.0,LO
514,6958,0.0,0.0,0.009,0.049000002,0.01,0.032,0.0,0.0,LO
514,6959,0.0,0.073,1.964,2.709,2.288,1.174,1.018,0.0,LO
514,6966,0.0,0.0,0.0,0.371,0.0,0.032,0.0,0.0,LO
514,6972,0.0,0.059,0.131,0.446,0.213,0.333,4.72,0.0,LO
514,7401,0.0,11.597,66.306,165.425,80.629,53.479,19.965,0.0,LO
514,7402,0.0,6.754,74.046,184.45,91.645,52.373,13.011,0.0,LO
514,7403,0.0,5.612,40.253,97.333,54.512,22.449,7.451,0.0,LO
514,7404,0.0,1.047,103.306,238.768,119.391,70.753,34.034,0.0,LO
514,7406,0.0,6.5230002,32.522,64.141,26.357,19.577,12.569,0.0,LO
514,7407,0.0,108.483,182.182,320.511,135.64,84.277,28.275,0.0,LO
514,7408,0.0,4.7799997,41.107,118.721,58.988,28.361,10.171,0.0,LO
514,7467,0.0,1.559,22.182,72.095,40.786,21.73,4.354,0.0,LO
