mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,8,mode
560,3000,0.0,0.0,13.741,7.1340003,5.073,0.0,0.0,EZL
560,3087,7.697,189.775,854.561,328.614,152.211,17.253,0.0,EZL
560,3186,2.228,56.999,304.951,298.307,208.851,39.505,0.0,EZL
560,3187,1.253,30.687,340.408,259.072,154.052,25.361,0.0,EZL
560,3188,0.0,0.27899998,13.918,12.007,7.754,0.0,0.0,EZL
560,7090,1.165,27.855,85.868,50.258,12.382,2.049,0.0,EZL
560,7091,69.852,84.022,82.211,59.332,15.068,1.013,0.0,EZL
719,6872,0.438,42.654,160.356,173.285,103.835,33.212,0.002,EZL
719,6874,3.634,123.882,445.516,513.811,355.403,124.301,0.0,EZL
719,6876,6.521,132.666,635.166,555.579,391.89,159.693,0.334,EZL
719,6877,1.017,42.367,201.038,237.655,148.995,63.354,0.0,EZL
719,6878,5.221,132.509,439.966,541.802,371.331,126.425,0.0,EZL
719,6879,0.532,56.104,210.008,243.587,158.894,53.898,0.0,EZL
719,6881,11.744,319.899,1323.868,1223.536,835.45,281.918,0.419,EZL
719,6883,0.038000003,88.559,408.279,459.865,308.055,122.113,0.245,EZL
719,6886,3.859,106.973,469.946,257.9,243.311,99.27,0.728,EZL
719,6888,16.351,12.852,3.568,0.0,0.619,3.207,0.0,EZL
719,6893,10.809999,178.419,421.279,547.563,362.682,121.376,0.0,EZL
719,6965,38.407,228.204,567.065,261.798,124.319,124.057,0.0,EZL
719,6970,1.73,21.66,97.061,104.068,86.683,43.003,0.0,EZL
3000,560,0.0,1.0450001,27.925,4.872,1.317,0.0,0.0,EZL
3000,3087,0.0,0.0,89.087,22.183,6.2580004,0.0,0.0,EZL
3000,3186,0.0,0.772,4.573,1.367,0.93299997,0.0,0.0,EZL
3000,3187,0.0,0.227,4.561,1.578,0.681,0.0,0.0,EZL
3000,3188,0.0,0.098,3.844,0.799,0.717,0.0,0.0,EZL
3087,560,10.783,76.816,525.828,505.519,301.179,62.61,0.0,EZL
3087,3000,0.0,2.289,41.339,46.111,19.724,0.0,0.0,EZL
3087,3186,0.364,55.359,288.46,291.662,212.844,47.917,0.0,EZL
3087,3187,0.202,37.797,357.103,240.378,139.244,22.895,0.0,EZL
3087,3188,0.0,5.592,93.106,85.461,48.057,0.0,0.0,EZL
3087,7090,0.289,55.386,211.21,137.938,36.905,7.857,0.0,EZL
3087,7091,19.144,156.782,348.857,256.90298,100.209,16.187,0.0,EZL
3186,560,21.384,106.739,513.526,134.704,55.977,6.609,0.0,EZL
3186,3000,0.0,0.338,3.1469998,1.7210001,0.67,0.0,0.0,EZL
3186,3087,13.533,166.05,571.216,193.884,84.143,18.386,0.0,EZL
3186,3187,0.074,5.449,49.653,15.5390005,4.419,0.379,0.0,EZL
3186,3188,0.0,0.745,8.128,2.45,1.852,0.0,0.0,EZL
3186,7090,0.151,3.8569999,12.594,3.674,0.939,0.001,0.0,EZL
3186,7091,18.675,16.396,27.406,5.473,7.065,5.999,0.0,EZL
3187,560,18.82,69.974,363.031,136.896,60.82,5.543,0.0,EZL
3187,3000,0.0,0.0,4.732,2.522,1.471,0.0,0.0,EZL
3187,3087,10.235,104.705,303.207,149.421,67.488,15.327,0.0,EZL
3187,3186,0.18599999,2.077,25.93,16.458,6.251,0.273,0.0,EZL
3187,3188,0.0,0.0,5.137,1.682,1.625,0.0,0.0,EZL
3187,7090,0.051,1.975,9.114,2.701,0.965,0.001,0.0,EZL
3187,7091,23.61,5.74,33.422,7.5090003,3.272,0.04,0.0,EZL
3188,560,0.0,0.0,47.066,11.356,5.592,0.0,0.0,EZL
3188,3000,0.0,0.0,3.651,1.888,1.688,0.0,0.0,EZL
3188,3087,0.0,0.0,146.248,48.812,15.162,0.0,0.0,EZL
3188,3186,0.0,0.892,5.948,3.633,1.637,0.0,0.0,EZL
3188,3187,0.0,0.823,5.289,1.595,0.8,0.0,0.0,EZL
6872,719,10.698,82.718,348.355,96.241,44.737,8.151,0.0,EZL
6872,6874,0.008,1.299,8.02,6.108,4.189,2.3930001,0.0,EZL
6872,6876,0.03,0.656,5.568,2.401,1.714,0.442,0.0,EZL
6872,6877,0.002,1.48,8.058,5.4379997,2.971,1.564,0.0,EZL
6872,6878,0.126,2.118,7.0,2.861,1.757,1.272,0.0,EZL
6872,6879,0.165,2.461,9.003,6.922,5.972,2.269,0.0,EZL
6872,6881,0.0,3.7,17.241,5.613,4.079,4.308,0.0,EZL
6872,6883,0.0,1.62,8.386,3.957,3.773,0.47800002,0.0,EZL
6872,6886,0.013,13.394,66.19,18.087,11.55,3.237,0.0,EZL
6872,6888,0.0,6.935,16.103,4.369,3.741,0.36900002,0.0,EZL
6872,6893,0.0,1.17,3.565,2.765,1.597,1.14,0.0,EZL
6872,6965,5.045,46.415,157.216,52.458,22.639,5.594,0.0,EZL
6872,6970,0.008,0.934,4.247,2.685,1.857,0.555,0.0,EZL
6874,719,99.086,324.123,989.324,272.522,117.238,18.129,0.0,EZL
6874,6872,0.302,6.747,9.554,3.236,2.154,0.7,0.0,EZL
6874,6876,0.577,8.07,46.462,11.118,7.045,1.841,0.0,EZL
6874,6877,0.009,2.988,7.1809998,4.824,1.106,1.0370001,0.0,EZL
6874,6878,0.048,1.446,9.72,2.365,1.969,0.329,0.0,EZL
6874,6879,0.009,4.582,12.766,3.42,2.77,1.383,0.0,EZL
6874,6881,1.255,17.557,77.165,16.499,7.611,2.582,0.0,EZL
6874,6883,0.0,7.413,35.387,10.023,8.07,0.401,0.0,EZL
6874,6886,0.052,11.357,109.687004,12.708,7.652,1.8529999,0.0,EZL
6874,6888,0.072,4.607,5.405,1.446,0.342,0.0,0.0,EZL
6874,6893,0.801,0.561,12.49,3.353,2.55,0.322,0.0,EZL
6874,6965,45.814,132.327,283.83398,102.917,48.609,15.679,0.0,EZL
6874,6970,0.26500002,6.131,18.973,7.743,5.011,0.56200004,0.0,EZL
6876,719,76.583,416.824,1299.405,397.055,175.405,25.06,0.0,EZL
6876,6872,0.095,1.638,3.455,2.231,0.722,0.847,0.0,EZL
6876,6874,0.023,5.645,34.061,18.592,9.373,2.2979999,0.0,EZL
6876,6877,0.019,1.628,7.261,2.282,2.74,0.124,0.0,EZL
6876,6878,0.314,5.162,36.083,14.959,10.065001,2.955,0.0,EZL
6876,6879,0.031,2.848,8.577,2.748,2.111,0.67,0.0,EZL
6876,6881,0.495,11.964,91.828,34.542,13.495,4.267,0.0,EZL
6876,6883,0.0,1.071,9.844,7.613,4.653,0.735,0.0,EZL
6876,6886,0.084,6.771,50.627,19.443,11.358,2.309,0.0,EZL
6876,6888,0.297,1.435,2.8600001,1.021,0.296,0.139,0.0,EZL
6876,6893,0.0,4.957,23.809,14.352,9.431,2.2810001,0.0,EZL
6876,6965,36.454998,164.977,356.112,123.995,62.663002,25.975,0.0,EZL
6876,6970,0.38,3.273,23.345,6.859,4.027,0.50699997,0.0,EZL
6877,719,50.549,133.858,518.036,143.678,45.943,7.39,0.0,EZL
6877,6872,0.0,2.726,10.257,3.7779999,2.435,0.678,0.0,EZL
6877,6874,0.115,2.321,8.41,3.179,2.161,1.1719999,0.0,EZL
6877,6876,0.552,3.475,8.118,2.747,1.549,1.262,0.0,EZL
6877,6878,0.2,3.12,9.53,3.168,2.025,1.644,0.0,EZL
6877,6879,0.0,0.621,4.118,2.886,1.191,0.199,0.0,EZL
6877,6881,1.678,6.31,22.558,8.964,4.529,1.76,0.0,EZL
6877,6883,0.0,3.126,10.293,5.117,1.834,1.9300001,0.0,EZL
6877,6886,0.43199998,8.097,48.187,6.407,2.534,0.302,0.0,EZL
6877,6888,0.0,1.064,4.424,1.996,1.022,0.231,0.0,EZL
6877,6893,0.235,1.567,4.714,2.973,1.162,0.356,0.0,EZL
6877,6965,23.751,79.439,239.268,63.431,28.655,2.0279999,0.0,EZL
6877,6970,0.30400002,1.1949999,4.973,1.86,2.32,0.318,0.0,EZL
6878,719,95.951004,347.131,915.676,276.498,129.796,29.868,0.0,EZL
6878,6872,0.308,3.4520001,7.091,2.731,1.5929999,0.179,0.0,EZL
6878,6874,0.021,1.263,10.704,4.906,2.413,0.469,0.0,EZL
6878,6876,0.268,7.702,45.438,14.267,7.111,0.763,0.0,EZL
6878,6877,0.006,4.4700003,6.2070003,3.303,1.99,0.414,0.0,EZL
6878,6879,0.0,2.537,9.794,4.87,2.06,0.88600004,0.0,EZL
6878,6881,0.682,8.616,95.992,20.902,9.761,1.022,0.0,EZL
6878,6883,0.0,5.738,31.758,13.019,8.325,1.22,0.0,EZL
6878,6886,0.041,10.398,73.049,15.37,8.061,1.33,0.0,EZL
6878,6888,0.0,0.97,3.478,1.4860001,0.918,0.318,0.0,EZL
6878,6893,0.0,1.71,7.34,2.552,1.227,0.062,0.0,EZL
6878,6965,22.468,126.694,198.385,86.592,35.947,11.442,0.0,EZL
6878,6970,0.0,3.993,21.051,8.071,5.305,0.649,0.0,EZL
6879,719,14.129,170.537,479.489,134.863,56.049,7.389,0.0,EZL
6879,6872,0.0,6.076,16.128,4.167,2.202,0.592,0.0,EZL
6879,6874,0.0,4.3519998,10.051,5.655,4.262,1.4760001,0.0,EZL
6879,6876,0.0,1.405,8.726,3.913,2.962,0.452,0.0,EZL
6879,6877,0.007,1.517,4.0889997,1.591,0.622,0.092999995,0.0,EZL
6879,6878,0.087,4.238,11.01,3.833,0.844,0.846,0.0,EZL
6879,6881,0.716,11.249,25.928,9.283,4.424,0.849,0.0,EZL
6879,6883,0.0,0.792,9.383,5.2269998,2.805,0.92,0.0,EZL
6879,6886,0.06,12.9279995,90.698,12.172,4.64,0.788,0.0,EZL
6879,6888,0.0,5.287,6.9309998,2.444,1.368,0.114,0.0,EZL
6879,6893,0.331,6.616,5.94,1.781,0.90400004,0.936,0.0,EZL
6879,6965,26.293001,89.776,185.226,64.955,27.367,3.066,0.0,EZL
6879,6970,0.108,2.782,5.984,4.074,2.818,0.259,0.0,EZL
6881,719,198.371,836.498,2504.531,802.449,343.449,64.841,0.0,EZL
6881,6872,0.184,6.404,15.86,5.565,4.461,1.212,0.0,EZL
6881,6874,0.069,7.628,54.527,33.778,13.012,4.658,0.0,EZL
6881,6876,1.306,11.044001,92.731,36.835,16.386,2.828,0.0,EZL
6881,6877,0.054,8.079,16.786,8.778,6.388,1.684,0.0,EZL
6881,6878,0.082,7.033,72.91,32.436,14.807,4.132,0.0,EZL
6881,6879,0.027,8.29,19.577,12.166,8.762,2.401,0.0,EZL
6881,6883,0.0,5.223,39.443,18.127,6.272,1.2900001,0.0,EZL
6881,6886,0.247,28.577,155.943,46.193,21.03,5.326,0.0,EZL
6881,6888,0.326,3.925,4.756,3.179,0.551,0.563,0.0,EZL
6881,6893,1.164,4.327,69.662,36.887,13.642,2.342,0.0,EZL
6881,6965,82.239,286.067,588.565,198.436,113.828,41.309,0.0,EZL
6881,6970,0.44700003,9.289,47.985,20.714,13.343,2.918,0.0,EZL
6883,719,54.36,303.651,877.091,266.603,99.146,16.223,0.0,EZL
6883,6872,0.0,2.74,8.1449995,5.634,2.775,0.883,0.0,EZL
6883,6874,0.0,4.581,26.197,13.574,12.603,1.097,0.0,EZL
6883,6876,0.0,1.308,16.79,6.797,2.812,0.35,0.0,EZL
6883,6877,0.012,2.193,9.436,5.25,1.97,1.033,0.0,EZL
6883,6878,0.038,3.071,32.321,12.917,6.238,1.204,0.0,EZL
6883,6879,0.029,5.017,5.675,3.3439999,2.499,0.594,0.0,EZL
6883,6881,0.124,3.25,40.584,15.649,5.999,0.484,0.0,EZL
6883,6886,0.019,12.322,64.487,18.223,10.533,3.027,0.0,EZL
6883,6888,0.143,1.025,3.3240001,0.882,0.384,0.036,0.0,EZL
6883,6893,0.0,3.803,14.942,11.381,8.128,1.357,0.0,EZL
6883,6965,35.309002,126.65,270.052,93.459,41.385002,17.349,0.0,EZL
6883,6970,0.102,10.292,22.897,8.136,3.2319999,0.84,0.0,EZL
6886,719,111.179,245.798,686.176,302.673,122.37,24.576,0.0,EZL
6886,6872,0.0,13.439,44.454998,35.349,17.173,4.955,0.072,EZL
6886,6874,0.26999998,6.1289997,63.690998,40.239002,14.177,5.055,0.0,EZL
6886,6876,1.0139999,6.343,44.11,21.803999,11.858,3.552,0.0,EZL
6886,6877,0.0,2.323,26.208,14.731,5.557,2.577,0.142,EZL
6886,6878,0.417,7.552,54.388,29.105,11.159,3.42,0.0,EZL
6886,6879,0.0,3.29,57.322,29.568,11.919,6.19,0.124,EZL
