mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
514,522,0.0,0.0,50.397,254.054,134.829,86.211,13.055,0.0,LO
514,618,0.0,0.0,0.155,0.82199997,0.318,0.099,0.0,0.0,LO
514,766,0.0,0.0,0.317,4.006,1.445,0.797,0.0,0.0,LO
514,1404,0.0,0.0,0.0,1.402,0.15,0.102,0.0,0.0,LO
514,1409,0.0,0.0,2.407,23.877,9.926,3.6299999,2.5709999,0.0,LO
514,1413,0.0,0.0,0.532,3.619,3.897,0.57,0.0,0.0,LO
514,1421,0.0,0.0,0.191,1.9350001,2.101,0.023,0.0,0.0,LO
514,1437,0.0,0.0,0.205,1.377,1.557,0.354,0.0,0.0,LO
514,1439,0.0,0.0,0.069000006,0.17,0.0,0.04,0.001,0.0,LO
514,1440,0.0,0.0,2.028,5.774,1.066,1.6899999,0.0,0.0,LO
514,1445,0.0,0.0,0.134,1.469,2.451,3.502,0.0,0.0,LO
514,1448,0.0,0.0,0.246,1.964,2.0379999,1.268,0.0,0.0,LO
514,1449,0.0,0.0,0.070999995,0.77,0.484,0.17500001,0.0,0.0,LO
514,1524,0.0,0.0,12.079,93.603,57.368,39.088,7.605,0.0,LO
514,6814,0.0,0.0,0.092,0.155,0.058,0.045,0.0,0.0,LO
514,6913,0.0,0.0,0.036,0.444,0.276,0.281,0.544,0.0,LO
514,6914,0.0,0.0,0.0,0.139,0.085,0.030000001,0.0,0.0,LO
514,6919,0.0,0.0,0.094000004,0.0,0.0,0.042999998,0.062000003,0.0,LO
514,6926,0.0,0.0,0.0,0.077,0.064,0.084,0.0,0.0,LO
514,6934,0.0,0.0,0.022,0.076,0.069,0.065000005,0.0,0.0,LO
514,6941,0.0,0.0,1.08,3.407,1.509,1.212,0.312,0.0,LO
514,6947,0.0,0.0,0.801,1.217,0.586,0.572,0.152,0.0,LO
514,6949,0.0,0.0,0.0,0.606,0.588,1.021,0.0,0.0,LO
514,6952,0.0,0.0,1.863,1.224,0.857,0.616,0.053999998,0.0,LO
514,6954,0.0,0.0,0.012,0.0,0.0,0.0,0.084,0.0,LO
514,6956,0.0,0.0,0.77,1.267,0.62,0.533,0.108,0.0,LO
514,6958,0.0,0.0,0.0,0.273,0.103,0.17,0.005,0.0,LO
514,6959,0.0,0.0,0.526,1.85,1.883,1.317,0.492,0.0,LO
514,6972,0.0,0.0,0.936,2.255,3.653,2.156,0.048,0.0,LO
514,7401,0.0,0.0,27.831,204.16699,93.158,50.644,10.244,0.0,LO
514,7402,0.0,0.0,16.193,155.288,84.761,46.263,9.88,0.0,LO
514,7403,0.0,0.0,5.797,86.021,37.113,22.584,4.779,0.0,LO
514,7404,0.0,0.0,31.052,203.877,93.971,56.379,16.657,0.0,LO
514,7406,0.0,0.0,5.628,56.745,22.737,25.322,6.97,0.0,LO
514,7407,0.0,0.0,157.025,372.758,118.61,75.782,30.451,0.0,LO
514,7408,0.0,0.0,9.853,108.987,48.369,21.3,6.046,0.0,LO
514,7467,0.0,0.0,6.431,65.425,27.97,14.000999,4.711,0.0,LO
514,9586,0.0,0.0,0.017,0.22,0.183,0.0,0.0,0.0,LO
514,9587,0.0,0.0,0.0,0.351,0.601,0.571,0.0,0.0,LO
522,514,0.0,0.0,38.653,238.763,135.251,101.671,22.762,0.0,LO
522,617,0.0,0.0,0.037,0.012,0.0,0.007,0.0,0.0,LO
522,618,0.0,0.0,0.085,2.076,0.25,0.088,0.0,0.0,LO
522,755,0.0,0.0,0.035,0.088,0.023,0.037,0.0,0.0,LO
522,766,0.0,0.0,0.355,3.178,1.444,0.896,0.0,0.0,LO
522,1404,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,LO
522,1409,0.0,0.0,2.197,37.079,8.413,2.596,2.703,0.0,LO
522,1413,0.0,0.0,0.252,5.367,1.88,0.548,0.0,0.0,LO
522,1421,0.0,0.0,0.115,4.664,0.96099997,0.73399997,0.0,0.0,LO
522,1437,0.0,0.0,0.114,2.377,0.907,1.205,0.0,0.0,LO
522,1438,0.0,0.0,0.182,0.88699996,0.512,0.106,0.0,0.0,LO
522,1445,0.0,0.0,0.045,2.655,0.414,0.244,0.0,0.0,LO
522,1448,0.0,0.0,0.049000002,2.366,0.481,0.42000002,0.0,0.0,LO
522,1449,0.0,0.0,0.063,0.102,0.0,0.0,0.0,0.0,LO
522,1524,0.0,0.0,4.686,52.136,24.984,18.372,4.216,0.0,LO
522,7401,0.0,0.0,5.172,48.057,18.789,9.41,5.012,0.0,LO
