Day-id_o_id_d;Early;Morning;AM Peak;Midday;PM Peak;Evening;Late;Night;Total
MTT-0_2;0.629;0.022;0;0.327;0;0;0;0;0.978
FRI-0_2;0.662;0.249;0;0.454;0;0;0;0;1.365
SAT-0_3;0.574;0.014;1.9499999;0.565;1.221;0;0;0;4.3239999
MTT-0_3;0.257;1.586;2.325;1.3970001;0;0;0;0;5.5650001
MTT-0_5;0.211;3.522;0.315;0;0;0.361;0;0;4.409
MTT-0_7;0.189;1.143;2.158;0.67;0.604;0;0;0;4.764
SUN-0_8;0;46.207;117.297;49.327;31.613;12.732;0;0;257.176
SAT-0_8;21.653;55.546;126.005;57.288;27.946;16.206;0;0;304.644
MTT-0_8;13.064;37.389;76.507;7.615;13.927;8.242;0;0;156.744
FRI-0_8;15.703;35.121;78.111;10.922;20.937;11.161;0;0;171.955
SUN-0_9;0;0.117;0.827;0.8;0.168;0;0;0;1.912
MTT-0_9;0;1.406;2.404;0.365;0;0.241;0;0;4.416
FRI-0_9;0;3.811;1.391;0.774;0.342;0.004;0;0;6.322
SUN-0_10;0;0.293;0.796;0.207;0.643;0;0;0;1.939
SAT-0_10;0;0.27;0.788;0.14;0.671;0;0;0;1.869
MTT-0_10;0;0.652;0.386;0.438;1.815;0.39;0;0;3.681
FRI-0_10;0.171;1.014;0.281;2.85;3.5180001;0;0;0;7.8340001
SUN-0_11;0;0;2.0180001;0.28;0;0;0;0;2.2980001
SAT-0_11;0;0.994;2.386;0.232;0;0;0;0;3.612
MTT-0_11;0;2.423;4.242;1.077;0.561;0;0;0;8.303
FRI-0_11;0.34399998;1.714;4.389;0.536;0.325;0;0;0;7.30799998
MTT-0_12;0;7.6679997;3.133;1.324;0.61800003;1.802;0;0;14.54499973
FRI-0_12;0;4.28;1.963;0;0.405;0;0;0;6.648
SUN-0_14;0;0.991;0.646;1.243;0.74300003;0;0;0;3.62300003
MTT-0_14;0;1.062;1.454;2.45;0;0;0;0;4.966
SUN-0_15;0;0.65500003;4.914;0.619;1.173;0.71500003;0;0;8.07600006
SAT-0_15;0;1.064;4.603;0.736;0;0.601;0;0;7.004
MTT-0_15;0.211;2.734;1.103;1.931;0.692;0.558;0;0;7.229
SUN-0_17;0;0;1.302;0.368;0.53400004;0;0;0;2.20400004
SAT-0_17;0;1.2620001;0.875;0.289;1.088;0;0;0;3.5140001
MTT-0_20;0.15100001;2.126;0.024;1.024;0.011;0;0;0;3.33600001
SUN-0_21;0;0;4.212;3.9589999;1.797;0;0;0;9.9679999
SAT-0_21;0;2.458;4.879;2.401;0.469;0.86;0;0;11.067
MTT-0_21;1.191;5.027;8.044;5.027;2.262;0;0;0;21.551
FRI-0_21;0.981;3.978;6.424;5.423;0.451;4.8380003;0;0;22.0950003
MTT-0_22;0.919;8.225;1.555;0.959;0.157;0.134;0;0;11.949
FRI-0_22;1.584;7.025;1.469;3.067;0;0;0;0;13.145
SUN-0_23;0;0.177;3.699;0.397;0;0;0;0;4.273
SAT-0_23;0;1.143;2.416;0.789;0;0;0;0;4.348
MTT-0_23;0.838;0.698;7.403;2.865;0.187;0.016;0;0;12.007
FRI-0_23;1.469;1.632;7.887;1.3180001;1.562;0;0;0;13.8680001
MTT-0_24;10.04;2.275;2.964;3.077;0.317;0;0;0;18.673
FRI-0_24;11.943;1.99;3.294;0.927;0.716;0;0;0;18.87
SUN-0_25;0;0;3.825;2.1790001;8.305;3.1069999;0;0;17.416
SAT-0_25;1.618;1.842;3.09;1.722;0.461;0.9;0;0;9.633
MTT-0_25;0.768;4.265;4.837;4.069;5.396;0.383;0;0;19.718
FRI-0_25;1.8840001;4.785;4.154;5.583;2.421;2.636;0;0;21.4630001
SAT-0_27;0;0.9;3.1529999;2.368;1.103;0;0;0;7.5239999
MTT-0_27;1.353;8.75;1.209;1.05;0.571;0;0;0;12.933
FRI-0_27;0.825;11.656;2.437;1.469;0.97800004;0.376;0;0;17.74100004
