name_o;naptanid_o;name_d;naptanid_d;Mode
504;940GZZDLSIT;523;940GZZDLKGV;dlr
504;940GZZDLSIT;533;940GZZDLLCA;dlr
504;940GZZDLSIT;538;940GZZDLPDK;dlr
504;940GZZDLSIT;559;940GZZDLWSV;dlr
504;940GZZDLSIT;573;940GZZDLWLA;dlr
504;940GZZDLSIT;719;940GZZDLSTD;dlr
504;940GZZDLSIT;749;940GZZDLSHS;dlr
504;940GZZDLSIT;750;940GZZDLABR;dlr
504;940GZZDLSIT;757;940GZZDLWHM;dlr
504;940GZZDLSIT;842;940GZZDLCAN;dlr
504;940GZZDLSIT;850;940GZZDLALL;dlr
504;940GZZDLSIT;851;940GZZDLBOW;dlr
504;940GZZDLSIT;853;940GZZDLLDP;dlr
504;940GZZDLSIT;854;940GZZDLCLA;dlr
504;940GZZDLSIT;856;940GZZDLISL;dlr
504;940GZZDLSIT;857;940GZZDLMUD;dlr
504;940GZZDLSIT;858;940GZZDLPOP;dlr
504;940GZZDLSIT;859;940GZZDLPUD;dlr
504;940GZZDLSIT;860;940GZZDLSHA;dlr
504;940GZZDLSIT;861;940GZZDLSOQ;dlr
504;940GZZDLSIT;862;940GZZDLLIM;dlr
504;940GZZDLSIT;864;940GZZDLTWG;dlr
504;940GZZDLSIT;865;940GZZDLWFE;dlr
504;940GZZDLSIT;866;940GZZDLWIQ;dlr
504;940GZZDLSIT;867;940GZZDLDEV;dlr
504;940GZZDLSIT;879;940GZZDLCUT;dlr
504;940GZZDLSIT;882;940GZZDLBLA;dlr
504;940GZZDLSIT;883;940GZZDLEIN;dlr
504;940GZZDLSIT;884;940GZZDLCGT;dlr
504;940GZZDLSIT;886;940GZZDLRVC;dlr
504;940GZZDLSIT;887;940GZZDLCUS;dlr
504;940GZZDLSIT;888;940GZZDLPRE;dlr
504;940GZZDLSIT;889;940GZZDLSTL;dlr
504;940GZZDLSIT;890;940GZZDLRAL;dlr
504;940GZZDLSIT;891;940GZZDLBPK;dlr
504;940GZZDLSIT;893;940GZZDLCYP;dlr
504;940GZZDLSIT;894;940GZZDLGAL;dlr
504;940GZZDLSIT;895;940GZZDLBEC;dlr
504;940GZZDLSIT;897;940GZZDLDEP;dlr
504;940GZZDLSIT;928;940GZZDLGRE;dlr
504;940GZZDLSIT;940;940GZZDLLEW;dlr
513;940GZZDLBNK;523;940GZZDLKGV;dlr
513;940GZZDLBNK;533;940GZZDLLCA;dlr
513;940GZZDLBNK;538;940GZZDLPDK;dlr
513;940GZZDLBNK;559;940GZZDLWSV;dlr
513;940GZZDLBNK;573;940GZZDLWLA;dlr
513;940GZZDLBNK;842;940GZZDLCAN;dlr
513;940GZZDLBNK;850;940GZZDLALL;dlr
513;940GZZDLBNK;851;940GZZDLBOW;dlr
513;940GZZDLBNK;853;940GZZDLLDP;dlr
513;940GZZDLBNK;854;940GZZDLCLA;dlr
513;940GZZDLBNK;855;940GZZDLHEQ;dlr
513;940GZZDLBNK;856;940GZZDLISL;dlr
513;940GZZDLBNK;857;940GZZDLMUD;dlr
513;940GZZDLBNK;858;940GZZDLPOP;dlr
513;940GZZDLBNK;859;940GZZDLPUD;dlr
513;940GZZDLBNK;860;940GZZDLSHA;dlr
513;940GZZDLBNK;861;940GZZDLSOQ;dlr
513;940GZZDLBNK;862;940GZZDLLIM;dlr
513;940GZZDLBNK;864;940GZZDLTWG;dlr
513;940GZZDLBNK;865;940GZZDLWFE;dlr
513;940GZZDLBNK;866;940GZZDLWIQ;dlr
513;940GZZDLBNK;867;940GZZDLDEV;dlr
513;940GZZDLBNK;879;940GZZDLCUT;dlr
513;940GZZDLBNK;882;940GZZDLBLA;dlr
513;940GZZDLBNK;883;940GZZDLEIN;dlr
513;940GZZDLBNK;884;940GZZDLCGT;dlr
513;940GZZDLBNK;886;940GZZDLRVC;dlr
513;940GZZDLBNK;887;940GZZDLCUS;dlr
513;940GZZDLBNK;888;940GZZDLPRE;dlr
513;940GZZDLBNK;890;940GZZDLRAL;dlr
513;940GZZDLBNK;891;940GZZDLBPK;dlr
513;940GZZDLBNK;893;940GZZDLCYP;dlr
513;940GZZDLBNK;894;940GZZDLGAL;dlr
513;940GZZDLBNK;895;940GZZDLBEC;dlr
513;940GZZDLBNK;897;940GZZDLDEP;dlr
513;940GZZDLBNK;898;940GZZDLELV;dlr
513;940GZZDLBNK;928;940GZZDLGRE;dlr
513;940GZZDLBNK;940;940GZZDLLEW;dlr
523;940GZZDLKGV;504;940GZZDLSIT;dlr
523;940GZZDLKGV;513;940GZZDLBNK;dlr
523;940GZZDLKGV;533;940GZZDLLCA;dlr
523;940GZZDLKGV;538;940GZZDLPDK;dlr
523;940GZZDLKGV;559;940GZZDLWSV;dlr
523;940GZZDLKGV;573;940GZZDLWLA;dlr
523;940GZZDLKGV;719;940GZZDLSTD;dlr
523;940GZZDLKGV;749;940GZZDLSHS;dlr
523;940GZZDLKGV;750;940GZZDLABR;dlr
523;940GZZDLKGV;757;940GZZDLWHM;dlr
523;940GZZDLKGV;842;940GZZDLCAN;dlr
523;940GZZDLKGV;851;940GZZDLBOW;dlr
523;940GZZDLKGV;858;940GZZDLPOP;dlr
523;940GZZDLKGV;860;940GZZDLSHA;dlr
523;940GZZDLKGV;862;940GZZDLLIM;dlr
523;940GZZDLKGV;864;940GZZDLTWG;dlr
523;940GZZDLKGV;865;940GZZDLWFE;dlr
523;940GZZDLKGV;879;940GZZDLCUT;dlr
523;940GZZDLKGV;882;940GZZDLBLA;dlr
523;940GZZDLKGV;883;940GZZDLEIN;dlr
523;940GZZDLKGV;884;940GZZDLCGT;dlr
523;940GZZDLKGV;886;940GZZDLRVC;dlr
523;940GZZDLKGV;888;940GZZDLPRE;dlr
523;940GZZDLKGV;889;940GZZDLSTL;dlr
523;940GZZDLKGV;928;940GZZDLGRE;dlr
523;940GZZDLKGV;940;940GZZDLLEW;dlr
533;940GZZDLLCA;504;940GZZDLSIT;dlr
533;940GZZDLLCA;513;940GZZDLBNK;dlr
533;940GZZDLLCA;523;940GZZDLKGV;dlr
533;940GZZDLLCA;538;940GZZDLPDK;dlr
533;940GZZDLLCA;559;940GZZDLWSV;dlr
533;940GZZDLLCA;573;940GZZDLWLA;dlr
533;940GZZDLLCA;719;940GZZDLSTD;dlr
533;940GZZDLLCA;749;940GZZDLSHS;dlr
533;940GZZDLLCA;750;940GZZDLABR;dlr
533;940GZZDLLCA;757;940GZZDLWHM;dlr
533;940GZZDLLCA;842;940GZZDLCAN;dlr
