Day-id_o_id_d;Early;Morning;AM Peak;Midday;PM Peak;Evening;Late;Night;Total
FRI-0_10;0;40.19;83.209;71.62;80.867;23.879;9.759;0;309.524
FRI-0_100;0;0.141;3.182;2.069;3.512;1.593;0.005;0;10.502
FRI-0_101;0;4.238;4.042;4.597;9.078;1.838;0.577;0;24.37
FRI-0_103;0;13.455;116.934;47.505;33.371;8.703;3.195;0;223.163
FRI-0_104;0;0.142;0.088;0.291;0;0.283;0.017;0;0.821
FRI-0_105;0;12.135;92.216;102.113;79.908;23.028;12.364;0;321.764
FRI-0_14;0;5.056;26.06;6.169;7.071;2.029;0.579;0;46.964
FRI-0_17;0;12.672;48.975002;30.691;18.06;7.926;3.519;0;121.843002
FRI-0_18;0;0.49400002;3.363;6.564;7.697;1.224;0.945;0;20.28700002
FRI-0_19;0;0.694;0.488;0.86800003;3.029;0.035;0.107;0;5.22100003
FRI-0_21;0;1.664;4.682;3.386;3.777;1.757;0.352;0;15.618
FRI-0_22;0;0.149;0.115;0.100999996;0;0.15200001;0;0;0.517000006
FRI-0_25;0;1.6;6.7339997;15.131;15.342;5.813;3.268;0;47.8879997
FRI-0_26;0;0;0;0.18599999;0;0.11;0.027;0;0.32299999
FRI-0_27;0;0.042000003;0.138;0.784;0;0.869;0.045;0;1.878000003
FRI-0_30;0;1.335;12.779;9.562;6.48;1.327;0.57;0;32.053
FRI-0_31;0;5.232;47.83;25.054;25.59;7.529;2.502;0;113.737
FRI-0_33;0;3.8009999;16.747;11.365;6.455;6.714;0.996;0;46.0779999
FRI-0_34;0;10.469;97.809;51.507;33.381;10.797;4.6610003;0;208.6240003
FRI-0_36;0;0.361;0.46400002;0.633;0.893;0.46699998;0.088;0;2.906
FRI-0_37;0;3.083;4.373;3.735;6.4440002;2.086;0.333;0;20.0540002
FRI-0_38;0;19.99;48.253;40.476;39.586;16.335;5.48;0;170.12
FRI-0_39;0;4.18;50.09;24.849;8.724;4.428;0.746;0;93.017
FRI-0_40;0;1.29;3.74;1.76;2.447;0.67;0.33999997;0;10.24699997
FRI-0_41;0;0.38;3.162;2.536;1.541;1.179;0.186;0;8.984
FRI-0_43;0;2.685;10.276;7.867;12.2039995;6.412;2.5379999;0;41.9819994
