name_o;naptanid_o;name_d;naptanid_d;Mode
500;940GZZLUACT;501;940GZZLUBBN;tube
500;940GZZLUACT;502;940GZZLUALD;tube
500;940GZZLUACT;503;940GZZLUADE;tube
500;940GZZLUACT;505;940GZZLUALP;tube
500;940GZZLUACT;506;940GZZLUAMS;tube
500;940GZZLUACT;507;940GZZLUAGL;tube
500;940GZZLUACT;508;940GZZLUACY;tube
500;940GZZLUACT;509;940GZZLUASG;tube
500;940GZZLUACT;510;940GZZLUASL;tube
500;940GZZLUACT;511;940GZZLUBST;tube
500;940GZZLUACT;512;940GZZLUBLM;tube
500;940GZZLUACT;513;940GZZLUBNK;tube
500;940GZZLUACT;514;940GZZLUBKG;tube
500;940GZZLUACT;515;940GZZLUBKE;tube
500;940GZZLUACT;516;940GZZLUBSC;tube
500;940GZZLUACT;517;940GZZLUBWT;tube
500;940GZZLUACT;518;940GZZLUBEC;tube
500;940GZZLUACT;519;940GZZLUBZP;tube
500;940GZZLUACT;520;940GZZLUBLG;tube
500;940GZZLUACT;521;940GZZLUBKF;tube
500;940GZZLUACT;522;940GZZLUBLR;tube
500;940GZZLUACT;524;940GZZLUBND;tube
500;940GZZLUACT;525;940GZZLUBOR;tube
500;940GZZLUACT;526;940GZZLUBOS;tube
500;940GZZLUACT;527;940GZZLUBDS;tube
500;940GZZLUACT;528;940GZZLUBWR;tube
500;940GZZLUACT;530;940GZZLUBBB;tube
500;940GZZLUACT;532;940GZZLUBTK;tube
500;940GZZLUACT;534;940GZZLUCAR;tube
500;940GZZLUACT;535;940GZZLUCTN;tube
500;940GZZLUACT;536;940GZZLUCST;tube
500;940GZZLUACT;537;940GZZLUCPK;tube
500;940GZZLUACT;539;940GZZLUCAL;tube
500;940GZZLUACT;540;940GZZLUCFM;tube
500;940GZZLUACT;541;940GZZLUCHL;tube
500;940GZZLUACT;542;940GZZLUEMB;tube
500;940GZZLUACT;545;940GZZLUCWP;tube
500;940GZZLUACT;546;940GZZLUCYD;tube
500;940GZZLUACT;547;940GZZLUCPC;tube
500;940GZZLUACT;548;940GZZLUCPN;tube
500;940GZZLUACT;549;940GZZLUCPS;tube
500;940GZZLUACT;550;940GZZLUCKS;tube
500;940GZZLUACT;551;940GZZLUCND;tube
500;940GZZLUACT;552;940GZZLUCSD;tube
500;940GZZLUACT;553;940GZZLUCGN;tube
500;940GZZLUACT;554;940GZZLUCXY;tube
500;940GZZLUACT;555;940GZZLUDGE;tube
500;940GZZLUACT;556;940GZZLUDGY;tube
500;940GZZLUACT;558;940GZZLUDOH;tube
500;940GZZLUACT;560;940GZZLUEBY;tube
500;940GZZLUACT;561;940GZZLUECM;tube
500;940GZZLUACT;562;940GZZLUECT;tube
500;940GZZLUACT;563;940GZZLUEAN;tube
500;940GZZLUACT;564;940GZZLUEAE;tube
500;940GZZLUACT;565;940GZZLUEFY;tube
500;940GZZLUACT;566;940GZZLUEHM;tube
500;940GZZLUACT;567;940GZZLUEPY;tube
500;940GZZLUACT;568;940GZZLUEGW;tube
500;940GZZLUACT;569;940GZZLUERC;tube
500;940GZZLUACT;570;940GZZLUEAC;tube
