Day-id_o_id_d;Early;Morning;AM Peak;Midday;PM Peak;Evening;Late;Night;Total
MTT-0_12;0.015;5;9;5;2;0.527;0;0;21.593
MTT-0_2;0;1;4;2;0.70600003;0;0;0;6.93800007
MTT-0_1;0;0.925;17;11;2;1;1;0;33.651
MTT-0_3;0;19;35;41;68;17;6;0;187.195
MTT-0_4;0;0.85899997;0;0;0;0;0;0;1.867999969
MTT-0_5;0;3;12;10;5;0.95600003;0;0;30.71799993
MTT-0_6;0;2;2;2;1.74;0.852;0;0;7.94
MTT-0_7;0;0.394;2;2;4;1;0;0;8.5360001
MTT-0_8;0;0;1;1;2;1;0;0;4.662
MTT-0_9;0;1;20;12;4;0.417;0;0;37.8870005
MTT-0_10;0;0.658;0.546;2.04;3;0.676;1;0;7.606
MTT-0_11;0;8;67;24;14;2;0;0;115.376
MTT-0_13;0;2;1;4;6;0.998;0;0;14.5770003
MTT-0_14;0;0;0.375;0;1;0.152;0;0;1.9330001
MTT-0_15;0;1;84;31;15;9.79;3;0.013;143.954
MTT-0_16;0;4;4;4;4;2;1;0;18.845
MTT-0_17;0;0;0;1;4;0.556;0;0;5.745
MTT-0_18;0;0.097;0.304;1;0;0.351;0;0;1.943
MTT-0_20;0;1;3;3;6;0.94;1;0;14.73
MTT-0_21;0.002;9;39;9;7;2;0;0;66.974
MTT-0_22;0;1;0;2;9;2;0;0;14.86
MTT-0_23;0;4;28;23;11;0.5;0;0;66.552
MTT-0_24;0;0;1.16;1;0.683;0.108;0;0;2.91100004
MTT-0_25;0;1;63;20;24;6.71;4;0;117.885001
MTT-0_26;0;1;1;2;7;2;0;0;14.216
MTT-0_27;0;0.44;1;2;2;0.929;0;0;6.632
MTT-0_30;0;2;2;1;1;0.252;0;0;6.061
MTT-0_32;0;0.16600001;0.006;1;0.80300003;0.456;0;0;2.55100004
MTT-0_33;0;2;3;3;5;1;0;0;13.48
MTT-0_34;0;0;4;9;5;1;0.528;0;19.4010001
MTT-0_38;0;6.42;19;6;6;0.787;0;0;37.981
MTT-0_39;0;0;0;0;2;0.258;0;0;2.473
MTT-0_40;0;0.578;0.185;0;2;0.20199999;0;0;3.18999999
MTT-0_41;0;0;0.536;1;1;0.486;0.115;0;3.527
MTT-0_42;0;3;20;9;3;0.485;0;0;35.737
MTT-0_73;0;3;17;13;14;1.7;0;0;48.404
MTT-0_46;0;1;20;26;10;4;1;0;61.746
MTT-0_47;0;0;1;1;0.87;0.007;0;0;3.342
MTT-0_48;0;2;4;2;1;2;0;0;11.293
MTT-0_49;0;1;1;1;1;1;1;0;5.13100004
MTT-0_50;0;0.701;2;0.867;0.943;0.489;0;0;5.742
MTT-0_51;0;0;0.489;2;3;0.281;0;0;5.137
MTT-0_52;0;0.212;1;2;1;1;0;0;4.783
MTT-0_53;0;0;0;1;3;0;0;0;4.212
MTT-0_54;0;8;44;51;27;5;0;0;134.596
MTT-0_55;0;0;0;0;1.31;1;0;0;2.19200003
MTT-0_56;0;0;0;1;3;0;0;0;3.973
MTT-0_57;0;0;1;1;3;2;0;0;6.831
MTT-0_59;0;0;0.989;1;0.564;0.228;0;0;2.649
MTT-0_60;0;8;108;130;88;24.88;5;0.03;363.566
MTT-0_61;0;0.45999998;13;19;15;6;1;0.007;53.97899998
MTT-0_62;0;14;129;68;32;14;6;0.031;264.594
MTT-0_63;0;0;2;0;1;0.313;0;0;4.115
MTT-0_67;0;1;3;7;21;4;0;0;36.156
MTT-0_64;0;0;0;1;1;0.501;0;0;3.44900001
MTT-0_65;0;3;2;6;8;2;1;0;20.995
MTT-0_66;0;2;14;6;6;2;1;0;30.85
MTT-0_70;0;0;2;0.88600004;1;0.595;0;0;4.37900004
MTT-0_69;0;3;12;8;5.18;0.883;0;0;29.223
MTT-0_71;0;2;21;13;11;3;1;0;50.528
MTT-0_76;0;5;14.04;14;8;5;0.698;0;45.8910003
MTT-0_75;0;1;3;2;0.368;0.423;0.007;0;7.413
MTT-0_78;0;3;20;7;3;0.30200002;0;0;32.85900002
MTT-0_79;0;0.189;1;3;3;2;0;0;9.557
MTT-0_80;0;0;1;1;1;0;0;0;3.18300001
MTT-0_81;0;4;7;10;14;2;1;0;37.406
MTT-0_82;0;1;42;15;10;4;1;0;72.9249999
MTT-0_83;0;0;0;1;4;0.424;0;0;5.745
MTT-0_84;0;2;63;54;17;5;2;0.02;143.181
MTT-0_85;0;0;1;2;2;0.191;0;0;6.103
MTT-0_86;0;0;0.579;2;2;0.761;0;0;5.146
MTT-0_87;0;2;14;6;2;0.41;0;0;24.047
MTT-0_89;0;1;10;3;0.785;0.198;0;0;14.869
MTT-0_91;0;0;3;2;2;0.914;0;0;7.706
MTT-0_90;0;10;80;76;22;5;1;0;193.558
MTT-0_92;0;0.156;1;1;0;0.537;0;0;2.153
MTT-0_94;0;29;392;249;126;41;12;0.178;850.039004
MTT-0_96;0;0;1;0;0;0.01;0;0;1.52900002
MTT-0_100;0;2;6.04;6;13;3;1;0;30.083
MTT-0_265;0;0.428;9;9;7;0.631;0;0;25.824
MTT-0_104;0;0.103;0.938;2;4;0.355;0;0;7.531
MTT-0_107;0;0;4.67;3;5;1;1;0;14.256
MTT-0_108;0;0.168;1.27;1;1;0;0;0;3.352
MTT-0_106;0.002;5;16;22;8;1;0;0;53.062
MTT-0_109;0;0.249;0.713;2;9;2;0;0;14.541
MTT-0_110;0;8;117;39;18;2;1;0.003;185.826
MTT-0_111;0;0;0.371;1;0.767;0.772;0;0;2.92399999
MTT-0_112;0;1;7;6;5;2;0;0;21.125
MTT-0_114;0;5;43;34;37;18;7;0;144.1450003
MTT-0_115;0;8;56;44;63;22;8;0;200.009
MTT-0_116;0;8;20;26;34;12;12;0;112.87
MTT-0_117;0;3;35;36;8;1;0;0;84.045
MTT-0_118;0;0.365;1;2;4;2;0;0;8.281
MTT-0_119;0;0;2;1;4;1;1;0;9.56600004
MTT-0_122;0;0.051;1;0.901;0.65500003;0.339;0;0;3.04200003
MTT-0_124;0;0;4;5;2;1;0;0;11.59
MTT-0_126;0;0;1;2;1;0.16;0;0;3.62000003
MTT-0_128;0;1;0;1;2;0.132;0;0;3.73400002
MTT-0_127;0;22;64;51;40;7;3;0;187.076
MTT-0_129;0;10;64;58;18;4;1;0;154.916
MTT-0_130;0;0.447;9;8;6;2;0;0;26.428
MTT-0_131;0;0.688;7;4;3;0.653;1;0;16.332
MTT-0_132;0;0.323;1;0.86800003;0.236;0.125;0;0;3.00100003
MTT-0_133;0;0.268;6;3;5;1;0;0;15.625
MTT-0_134;0;7;52;80;47;13.61;3;0.006;203.481
MTT-0_135;0;0;0;2;5;1;0;0;8.403
MTT-0_136;0;0;1;1;6;0.212;0;0;8.764
MTT-0_137;0;10;56;24.36;17;4;1;0;111.432002
MTT-0_138;0;8;40;30;26;7;2;0;113.275
MTT-0_141;0;2;2;4;9;1;1;0;18.871
MTT-0_142;0;5;41;8;2;0;0;0;57.261
MTT-0_143;0;4;1;3;0;0;0;0;8.76500002
MTT-0_144;0;1;1;4;3;1;0;0;11.64
MTT-0_145;0;0;3;6;4;1;0;0;15.2780001
MTT-0_146;0;0;3;0;0;0;0;0;3.614
MTT-0_149;0.011;2.52;14;6;2;0.117;0;0;25.238
MTT-0_150;0;0;0.194;1;0.797;0.003;0;0;2.181
MTT-0_151;0;0.118;5;0.764;1;0.799;0;0;8.198
MTT-0_153;0;0;0.246;2;1;0.018;0;0;3.112
MTT-0_154;0;0.769;4;3;2;0.889;0.307;0;10.406
MTT-0_155;0;0;21;13;8;2;1;0;44.497
MTT-0_159;0;0.68799996;30;23;30;13;3;0;100.085
MTT-0_160;0;1;2;3;6;2;1;0;13.455
MTT-0_161;0;0.169;3;4;2;0;0;0;9.587
MTT-0_163;0;1;2;1;2;0;0.001;0;6.196
MTT-0_162;0;0.208;2;0.646;1;0;0;0;4.36
MTT-0_164;0;0;8;9;3;0.162;0;0;20.58
MTT-0_165;0;0;0;0.915;3;0.332;0;0.001;4.693
MTT-0_166;0;1;29;13;6;2;1;0;51.807
MTT-0_167;0;4;23;14;14;9;3;0;66.779
MTT-0_168;0;0;2;2;2;1;0;0;6.988
MTT-0_169;0;11;39;33;13;1.7;0;0;97.93
MTT-0_170;0;6.22;32;17;7;3;0;0;66.305
MTT-0_171;0;9;39;36;22;5;1;0;112.525002
MTT-0_172;0;0.38;29;13;7;2;0;0;51.812
MTT-0_173;0;0.278;2;2;2;1;0;0;7.189
MTT-0_174;0;15;85;91;50;14;5;0.002;258.7630005
MTT-0_176;0;0;0.026;0;2;0.17300001;0;0;2.53200011
MTT-0_177;0;3;3;1;2;0.90999997;0;0;9.76099997
MTT-0_178;0;0;0.17;1;4;0.967;0;0;6.103
MTT-0_179;0;2;22;10;6;3;1;0;42.9659999
MTT-0_181;0;0.19;0.120000005;1;3;0.545;0.453;0;4.724000045
MTT-0_183;0;2;43;14;9;2.71;1;0;71.664
MTT-0_184;0;4;4;11;36;13;3;0;71.879001
MTT-0_185;0;0;0;1;2;0.302;0;0;3.244
MTT-0_186;0;0.212;11;5;1;0.518;0;0;17.5730001
MTT-0_187;0;5;34;21;15;2.02;2;0;78.002
MTT-0_188;0;0.001;0.04;0;1;0.861;0;0;2.386
MTT-0_190;0;1;9;4;3;0.961;0;0;17.931
