name_o;naptanid_o;name_d;naptanid_d;Mode
514;910GBARKING;1404;910GACTNCTL;overground
522;910GBLCHSRD;1404;910GACTNCTL;overground
1437;910GBRBY;1404;910GACTNCTL;overground
1438;910GBRBYPK;1404;910GACTNCTL;overground
1395;910GBUSHYDC;1404;910GACTNCTL;overground
6926;910GCLAPTON;1404;910GACTNCTL;overground
1439;910GCLDNNRB;1404;910GACTNCTL;overground
1440;910GCMDNRD;1404;910GACTNCTL;overground
788;910GCNDAW;1404;910GACTNCTL;overground
1441;910GCNNB;1404;910GACTNCTL;overground
7406;910GCROUCHH;1404;910GACTNCTL;overground
1442;910GCRPNDPK;1404;910GACTNCTL;overground
5356;910GCRYSTLP;1404;910GACTNCTL;overground
1443;910GDALS;1404;910GACTNCTL;overground
1429;910GDALSKLD;1404;910GACTNCTL;overground
5421;910GDENMRKH;1404;910GACTNCTL;overground
6941;910GEDMNGRN;1404;910GACTNCTL;overground
1444;910GEUSTON;1404;910GACTNCTL;overground
1445;910GFNCHLYR;1404;910GACTNCTL;overground
591;910GGNRSBRY;1404;910GACTNCTL;overground
1409;910GGOSPLOK;1404;910GACTNCTL;overground
6977;910GHACKNYC;1404;910GACTNCTL;overground
6978;910GHACKNYW;1404;910GACTNCTL;overground
1022;910GHAGGERS;1404;910GACTNCTL;overground
596;910GHARLSDN;1404;910GACTNCTL;overground
1434;910GHEDSTNL;1404;910GACTNCTL;overground
603;910GHGHI;1404;910GACTNCTL;overground
6919;910GHGHMSPK;1404;910GACTNCTL;overground
1413;910GHMPSTDH;1404;910GACTNCTL;overground
6979;910GHOMRTON;1404;910GACTNCTL;overground
1023;910GHOXTON;1404;910GACTNCTL;overground
7401;910GHRGYGL;1404;910GACTNCTL;overground
597;910GHROW;1404;910GACTNCTL;overground
1398;910GHTCHEND;1404;910GACTNCTL;overground
1448;910GKENR;1404;910GACTNCTL;overground
617;910GKENSLG;1404;910GACTNCTL;overground
621;910GKEWGRDN;1404;910GACTNCTL;overground
1415;910GKLBRNHR;1404;910GACTNCTL;overground
1449;910GKNTSHTW;1404;910GACTNCTL;overground
620;910GKTON;1404;910GACTNCTL;overground
7402;910GLEYTNMR;1404;910GACTNCTL;overground
7403;910GLYTNSHR;1404;910GACTNCTL;overground
5345;910GNEWXGTE;1404;910GACTNCTL;overground
5150;910GNWCRELL;1404;910GACTNCTL;overground
659;910GNWEMBLY;1404;910GACTNCTL;overground
5424;910GPCKHMQD;1404;910GACTNCTL;overground
680;910GQPRK;1404;910GACTNCTL;overground
686;910GRICHMND;1404;910GACTNCTL;overground
1452;910GSACTON;1404;910GACTNCTL;overground
1082;910GSHADWEL;1404;910GACTNCTL;overground
1451;910GSHMPSTD;1404;910GACTNCTL;overground
1024;910GSHRDHST;1404;910GACTNCTL;overground
709;910GSKENTON;1404;910GACTNCTL;overground
719;910GSTFD;1404;910GACTNCTL;overground
717;910GSTNBGPK;1404;910GACTNCTL;overground
7404;910GSTOTNHM;1404;910GACTNCTL;overground
1083;910GSURREYQ;1404;910GACTNCTL;overground
6952;910GTURKYST;1404;910GACTNCTL;overground
1524;910GUPRHLWY;1404;910GACTNCTL;overground
1455;910GWATFDHS;1404;910GACTNCTL;overground
1402;910GWATFDJ;1404;910GACTNCTL;overground
763;910GWCHAPEL;1404;910GACTNCTL;overground
7467;910GWDGRNPK;1404;910GACTNCTL;overground
6956;910GWHHRTLA;1404;910GACTNCTL;overground
1421;910GWHMDSTD;1404;910GACTNCTL;overground
766;910GWLSDJHL;1404;910GACTNCTL;overground
742;910GWLTWCEN;1404;910GACTNCTL;overground
751;910GWMBY;1404;910GACTNCTL;overground
5404;910GBROCKLY;5397;910GANERLEY;overground
5595;910GCLPHMJC;5397;910GANERLEY;overground
1440;910GCMDNRD;5397;910GANERLEY;overground
788;910GCNDAW;5397;910GANERLEY;overground
1441;910GCNNB;5397;910GANERLEY;overground
1443;910GDALS;5397;910GANERLEY;overground
1429;910GDALSKLD;5397;910GANERLEY;overground
5421;910GDENMRKH;5397;910GANERLEY;overground
5362;910GFORESTH;5397;910GANERLEY;overground
6977;910GHACKNYC;5397;910GANERLEY;overground
1022;910GHAGGERS;5397;910GANERLEY;overground
603;910GHGHI;5397;910GANERLEY;overground
1413;910GHMPSTDH;5397;910GANERLEY;overground
6979;910GHOMRTON;5397;910GANERLEY;overground
5418;910GHONROPK;5397;910GANERLEY;overground
1023;910GHOXTON;5397;910GANERLEY;overground
5345;910GNEWXGTE;5397;910GANERLEY;overground
5376;910GNORWDJ;5397;910GANERLEY;overground
5378;910GPENEW;5397;910GANERLEY;overground
1039;910GRTHERHI;5397;910GANERLEY;overground
1082;910GSHADWEL;5397;910GANERLEY;overground
1024;910GSHRDHST;5397;910GANERLEY;overground
1083;910GSURREYQ;5397;910GANERLEY;overground
5437;910GSYDENHM;5397;910GANERLEY;overground
1085;910GWAPPING;5397;910GANERLEY;overground
763;910GWCHAPEL;5397;910GANERLEY;overground
5411;910GWCROYDN;5397;910GANERLEY;overground
1404;910GACTNCTL;514;910GBARKING;overground
6913;910GBHILLPK;514;910GBARKING;overground
522;910GBLCHSRD;514;910GBARKING;overground
1437;910GBRBY;514;910GBARKING;overground
1438;910GBRBYPK;514;910GBARKING;overground
6958;910GBRUCGRV;514;910GBARKING;overground
1395;910GBUSHYDC;514;910GBARKING;overground
6814;910GCHESHNT;514;910GBARKING;overground
6914;910GCHINGFD;514;910GBARKING;overground
6926;910GCLAPTON;514;910GBARKING;overground
1439;910GCLDNNRB;514;910GBARKING;overground
1440;910GCMDNRD;514;910GBARKING;overground
7406;910GCROUCHH;514;910GBARKING;overground
1442;910GCRPNDPK;514;910GBARKING;overground
9586;910GCSEAH;514;910GBARKING;overground
1429;910GDALSKLD;514;910GBARKING;overground
6941;910GEDMNGRN;514;910GBARKING;overground
6959;910GENFLDTN;514;910GBARKING;overground
1445;910GFNCHLYR;514;910GBARKING;overground
591;910GGNRSBRY;514;910GBARKING;overground
1409;910GGOSPLOK;514;910GBARKING;overground
6977;910GHACKNYC;514;910GBARKING;overground
