Mode,Segment,Distress
dlr,"(0, 40)",0.18122737006991116
dlr,"(40, 35)",0.32524416682732504
dlr,"(35, 8)",0.3219137865877758
dlr,"(8, 15)",0.3562094623111192
dlr,"(15, 5)",0.13301833488826723
dlr,"(5, 28)",0.3201684430816317
dlr,"(28, 41)",0.06158410295144934
dlr,"(41, 7)",0.07736704684561471
dlr,"(7, 19)",0.03385391622387442
dlr,"(19, 34)",0.22377712433654562
dlr,"(34, 9)",0.20317833791069398
dlr,"(8, 32)",0.3632820788479628
dlr,"(32, 10)",0.24541096481108476
dlr,"(9, 26)",0.23917625956921487
dlr,"(26, 20)",0.18417353391199592
dlr,"(20, 11)",0.30465867657161155
dlr,"(0, 37)",0.31721563815547726
dlr,"(37, 36)",0.16510565812558703
dlr,"(36, 30)",0.24569770173775793
dlr,"(30, 6)",0.2160014246334072
dlr,"(6, 14)",0.19687949181695458
dlr,"(10, 29)",0.21899219753110435
dlr,"(29, 31)",0.3250437388051595
dlr,"(31, 4)",0.2743393036345815
dlr,"(4, 12)",0.27374272575965647
dlr,"(12, 17)",0.22523791941688598
dlr,"(8, 42)",0.6792010306214312
dlr,"(42, 27)",0.29908851502886225
dlr,"(27, 25)",0.5012715418570484
dlr,"(25, 21)",0.45688006579776635
dlr,"(11, 18)",0.18007182625417445
dlr,"(18, 13)",0.3365585425285529
dlr,"(13, 16)",0.3105974504102656
dlr,"(16, 23)",0.23909706831748775
dlr,"(28, 43)",0.0
dlr,"(43, 24)",0.45051624974702614
dlr,"(24, 33)",0.5060604988935481
dlr,"(36, 38)",0.20244138954501859
dlr,"(33, 39)",0.5040773529071239
dlr,"(21, 44)",0.5777186120473222
dlr,"(1, 28)",0.15680627171831168
dlr,"(28, 5)",0.3146928701806732
dlr,"(5, 15)",0.13139094838392018
dlr,"(15, 8)",0.349386004841803
dlr,"(17, 3)",0.37774901601269345
dlr,"(33, 2)",1.0
dlr,"(1, 22)",0.15698802419153685
dlr,"(22, 14)",0.2431495480456222
dlr,"(14, 6)",0.195115000894554
dlr,"(6, 30)",0.23467275045564923
dlr,"(30, 36)",0.24267402390670756
dlr,"(8, 35)",0.31832054195046017
dlr,"(35, 40)",0.32100259396685343
dlr,"(3, 17)",0.37774901601269345
dlr,"(17, 12)",0.22523791941688598
dlr,"(12, 4)",0.27374272575965647
dlr,"(4, 31)",0.27433930363458164
dlr,"(31, 29)",0.3250437388051595
dlr,"(29, 10)",0.21899219753110463
dlr,"(10, 32)",0.24541096481108468
dlr,"(32, 8)",0.3632820788479626
dlr,"(40, 0)",0.17894099690919246
dlr,"(28, 1)",0.15650687369037508
dlr,"(2, 33)",1.0
dlr,"(33, 24)",0.5060604988935481
dlr,"(24, 43)",0.45051624974702625
dlr,"(43, 28)",0.05210427167563169
dlr,"(43, 41)",0.052104271675631704
dlr,"(14, 22)",0.2494935612268534
dlr,"(22, 1)",0.15704406891532707
dlr,"(36, 37)",0.1674161787686153
dlr,"(37, 0)",0.32212035142608053
dlr,"(7, 41)",0.07736704684561464
dlr,"(41, 28)",0.05210427167563177
dlr,"(41, 43)",0.10420854335126348
dlr,"(9, 34)",0.20317833791069403
dlr,"(34, 19)",0.22377712433654542
dlr,"(19, 7)",0.03385391622387444
dlr,"(11, 20)",0.3046586765716119
dlr,"(20, 26)",0.18417353391199617
dlr,"(26, 9)",0.2391762595692148
dlr,"(13, 18)",0.33655854252855316
dlr,"(18, 11)",0.1800718262541746
dlr,"(16, 13)",0.31059745041026565
dlr,"(21, 25)",0.4047757941221347
dlr,"(25, 27)",0.5012715418570481
dlr,"(27, 42)",0.299088515028862
dlr,"(42, 8)",0.7313053022970626
dlr,"(23, 16)",0.23909706831748787
dlr,"(38, 36)",0.20244138954501864
dlr,"(39, 33)",0.5561816245827558
dlr,"(44, 21)",0.5777186120473223
