Mode,Segment,Distress
overground,"(7, 102)",0.8509872786322865
overground,"(102, 107)",0.4133577050584334
overground,"(107, 58)",0.5675171652186951
overground,"(58, 57)",0.4554388917093941
overground,"(57, 106)",0.5378305755611054
overground,"(106, 6)",0.34946507541352484
overground,"(6, 88)",0.3975031077569193
overground,"(88, 48)",0.3461248786321295
overground,"(48, 21)",0.34492812219873586
overground,"(21, 93)",0.3487147385385696
overground,"(93, 33)",0.36200546824434293
overground,"(33, 39)",0.3657866824807093
overground,"(39, 31)",0.4521483049573244
overground,"(31, 103)",0.2476573940226158
overground,"(103, 10)",0.29953794267551287
overground,"(10, 9)",0.3062113988137303
overground,"(9, 55)",0.344823667862889
overground,"(55, 105)",0.5053030611330696
overground,"(105, 0)",0.846313459521192
overground,"(8, 19)",0.6041687415218978
overground,"(19, 49)",0.7524123712839493
overground,"(49, 40)",0.3830086729572369
overground,"(40, 37)",0.6118750954449912
overground,"(37, 52)",0.5290358566491888
overground,"(52, 80)",0.48110151581296223
overground,"(80, 61)",0.3268690111213207
overground,"(61, 99)",0.4329030182731575
overground,"(99, 86)",0.5344824705707609
overground,"(86, 36)",0.48505904583377246
overground,"(36, 105)",0.35698908371361754
overground,"(20, 35)",0.2813121993416339
overground,"(35, 43)",0.11661766833672949
overground,"(43, 25)",0.38325419952783535
overground,"(25, 18)",0.14652515456618484
overground,"(18, 38)",0.30253011519373674
overground,"(38, 14)",0.35445522612272573
overground,"(14, 17)",0.36809643437451495
overground,"(17, 56)",0.2819787505195221
overground,"(56, 33)",0.3430616235179561
overground,"(22, 73)",0.16258994446405767
overground,"(73, 108)",0.23036762288714246
overground,"(108, 77)",0.2856785559925828
overground,"(77, 97)",0.33078900535560424
overground,"(97, 76)",0.39212865273129405
overground,"(76, 46)",0.3235437526018687
overground,"(46, 41)",0.29623624616898747
overground,"(41, 24)",0.3024950937746146
overground,"(24, 25)",0.11661766833672949
overground,"(26, 16)",0.6052172612393322
overground,"(16, 110)",0.23884819320803102
overground,"(110, 15)",0.4356979523577325
overground,"(15, 50)",0.35405528279287046
overground,"(50, 96)",0.4514114517364153
overground,"(96, 65)",0.45462701364313823
overground,"(65, 85)",0.33075861252375427
overground,"(85, 105)",0.8029295945115278
overground,"(27, 82)",0.4205962838163553
overground,"(82, 104)",0.38697191235657036
overground,"(104, 2)",0.4262145300798413
overground,"(2, 89)",0.46179069739272893
overground,"(89, 88)",0.11661766833672949
overground,"(30, 84)",1.0
overground,"(84, 51)",0.36669170254485717
overground,"(51, 68)",0.34348262337029106
overground,"(68, 54)",0.4894847039378479
overground,"(54, 105)",0.4660568512717961
overground,"(34, 74)",0.3142382417189575
overground,"(74, 0)",0.392154556089011
overground,"(44, 45)",0.40820789831569454
overground,"(45, 43)",0.3411166823561141
overground,"(42, 109)",0.7829406655728461
overground,"(109, 95)",0.4677879979107463
overground,"(95, 106)",0.11661766833672949
overground,"(53, 34)",0.5537514726156038
overground,"(63, 87)",0.6395471955957324
overground,"(87, 69)",0.538081097214354
overground,"(69, 66)",0.31253661568038454
overground,"(66, 26)",0.39582909565172286
overground,"(71, 53)",0.6059406130295663
overground,"(100, 8)",0.3207927149365267
overground,"(101, 100)",0.4115108835304768
overground,"(3, 47)",0.5422593571309963
overground,"(47, 32)",0.4472079880242994
overground,"(32, 90)",0.42804072163852086
overground,"(90, 67)",0.40744778427211037
overground,"(67, 1)",0.26503840740185575
overground,"(15, 110)",0.48358831177397327
overground,"(110, 16)",0.2553275025574706
overground,"(16, 26)",0.5778595449780479
overground,"(26, 66)",0.4182834223490137
overground,"(66, 69)",0.32188012447284675
overground,"(69, 87)",0.5249406912389963
overground,"(87, 64)",0.6163657147980728
overground,"(64, 3)",0.41066570969213123
overground,"(17, 14)",0.38603392714815976
overground,"(14, 38)",0.3003193474038911
overground,"(38, 18)",0.3190205302669694
overground,"(18, 24)",0.14653999107597987
overground,"(24, 41)",0.30100005175536604
overground,"(41, 46)",0.29392391238251947
overground,"(46, 76)",0.32431104190713306
overground,"(76, 97)",0.39621199661218204
overground,"(97, 77)",0.33098704109488336
overground,"(77, 108)",0.2843549181387785
overground,"(108, 73)",0.2296385211933068
overground,"(73, 22)",0.1625899442887617
overground,"(22, 87)",0.22229821889457832
overground,"(25, 24)",0.11661766833672949
overground,"(39, 33)",0.33623409511008495
overground,"(33, 56)",0.33907658531615753
overground,"(56, 17)",0.2807112210527248
overground,"(62, 1)",0.5668606380527019
overground,"(98, 62)",0.8083763429368054
overground,"(0, 105)",0.8762357852963374
overground,"(105, 55)",0.5363409753973507
overground,"(55, 9)",0.3450117473200057
overground,"(9, 10)",0.3063574943423236
overground,"(10, 103)",0.29960041229946166
overground,"(103, 31)",0.2477599868062108
overground,"(31, 39)",0.45152952198261775
overground,"(33, 93)",0.381851677861645
overground,"(93, 21)",0.32171395652069656
overground,"(21, 48)",0.3529886791574351
overground,"(48, 88)",0.3589412100921715
overground,"(88, 6)",0.318461211105344
overground,"(6, 106)",0.29797632925833845
overground,"(106, 57)",0.5677529013362507
overground,"(57, 58)",0.42551656593424897
overground,"(58, 107)",0.5974394909938407
overground,"(107, 102)",0.41335770505843344
overground,"(102, 7)",0.7911426270819955
overground,"(5, 27)",0.6340675930081954
overground,"(13, 91)",0.4402505755689817
overground,"(91, 92)",0.7649384499482815
overground,"(92, 75)",0.8305916119964077
overground,"(75, 27)",0.8385387307698358
overground,"(12, 42)",0.8467419822450241
overground,"(20, 79)",0.2907636786106262
overground,"(79, 95)",0.2812260753348232
overground,"(25, 43)",0.3402388455982002
overground,"(43, 35)",0.11661766833672949
overground,"(35, 20)",0.2956889755138261
overground,"(29, 5)",0.4344985823211057
overground,"(81, 83)",0.2501359612078147
overground,"(83, 89)",0.24064135110894355
overground,"(88, 89)",0.11661766833672949
overground,"(89, 2)",0.46179069739272866
overground,"(2, 104)",0.42621453007984145
overground,"(104, 82)",0.3869719123565704
overground,"(82, 27)",0.4205962838163547
overground,"(27, 5)",0.6041452672330501
overground,"(4, 11)",0.0
overground,"(11, 59)",0.36254408626537593
overground,"(59, 35)",0.3177968997480143
overground,"(35, 70)",0.261915505055835
overground,"(70, 81)",0.2438286145219989
overground,"(60, 4)",0.521827425815598
overground,"(23, 90)",0.4854816876256898
overground,"(90, 32)",0.42804072163852097
overground,"(32, 47)",0.4472079880242993
overground,"(47, 3)",0.5422593571309963
overground,"(3, 64)",0.4106657096921313
overground,"(64, 87)",0.6163657147980728
overground,"(87, 22)",0.22279398392465793
overground,"(1, 67)",0.29496073317700117
overground,"(67, 90)",0.4074477842721102
overground,"(50, 15)",0.3575916846904461
overground,"(105, 85)",0.8489216961661236
overground,"(85, 65)",0.3406681121043187
overground,"(65, 96)",0.47678004765491155
overground,"(96, 50)",0.5057016123873784
overground,"(95, 79)",0.1942861017236839
overground,"(79, 20)",0.2414060775157135
overground,"(89, 83)",0.312228197949193
overground,"(83, 81)",0.35409478700349384
overground,"(81, 70)",0.32200826781954034
overground,"(70, 35)",0.34681013075290057
overground,"(35, 59)",0.3177968997480142
overground,"(59, 11)",0.3625440862653759
overground,"(11, 4)",0.3291455835265995
overground,"(105, 36)",0.356989083713618
overground,"(36, 86)",0.5149813716089182
overground,"(86, 99)",0.5344824705707607
overground,"(99, 61)",0.43290301827315747
overground,"(61, 80)",0.3268690111213206
overground,"(80, 52)",0.48110151581296245
overground,"(52, 37)",0.5290358566491892
overground,"(37, 40)",0.6118750954449912
overground,"(40, 49)",0.4129309987323824
overground,"(49, 19)",0.7524123712839492
overground,"(19, 8)",0.6340910672970433
overground,"(27, 75)",0.8684610565449811
overground,"(75, 92)",0.8305916119964081
overground,"(92, 91)",0.7649384499482818
overground,"(91, 13)",0.38040592401869094
overground,"(106, 95)",0.11661766833672949
overground,"(95, 109)",0.43786567213560107
overground,"(109, 42)",0.7530183397977009
overground,"(42, 12)",0.8467419822450245
overground,"(90, 23)",0.45555936185054424
overground,"(72, 28)",0.7592633117067992
overground,"(94, 28)",0.7112077379487098
overground,"(5, 29)",0.3746539307708148
overground,"(105, 54)",0.43613452549665066
overground,"(54, 68)",0.4894847039378481
overground,"(68, 51)",0.343482623370291
overground,"(51, 84)",0.3666917025448572
overground,"(84, 30)",0.8803106968994185
overground,"(0, 74)",0.36223223031386564
overground,"(74, 34)",0.31423824171895737
overground,"(43, 45)",0.34111668235611414
overground,"(45, 44)",0.40820789831569454
overground,"(34, 53)",0.5537514726156038
overground,"(4, 60)",0.40213812271501626
overground,"(1, 62)",0.5668606380527019
overground,"(87, 63)",0.6395471955957323
overground,"(53, 71)",0.5760182872544213
