Mode,Segment,Distress
tube,"(0, 231)",0.08276732855958063
tube,"(231, 213)",0.0837710710976314
tube,"(213, 183)",0.08410570404649913
tube,"(183, 94)",0.0852870961809655
tube,"(94, 15)",0.18108486490176182
tube,"(15, 62)",0.08276732855958052
tube,"(62, 84)",0.0917044676769872
tube,"(84, 202)",0.10561527825845077
tube,"(202, 198)",0.12096193407623379
tube,"(198, 239)",0.12371862516893303
tube,"(239, 90)",0.10729006003734219
tube,"(90, 169)",0.07670780910121931
tube,"(169, 242)",0.09531958593444986
tube,"(242, 76)",0.1160516769399292
tube,"(76, 34)",0.08276732855958058
tube,"(34, 122)",0.2925826783963813
tube,"(122, 230)",0.1926831091473619
tube,"(230, 6)",0.24412060072727404
tube,"(90, 257)",0.08522085945099338
tube,"(257, 244)",0.09368271764799711
tube,"(244, 11)",0.09375026660330456
tube,"(11, 137)",0.10094608139451063
tube,"(137, 1)",0.08878792159673538
tube,"(76, 127)",0.11655532192255975
tube,"(127, 5)",0.08869187259868815
tube,"(0, 61)",0.1900184169082435
tube,"(61, 155)",0.17866894591265753
tube,"(155, 171)",0.224160928595807
tube,"(171, 3)",0.3148814651235067
tube,"(3, 220)",0.2847492315379053
tube,"(220, 219)",0.2909435607945228
tube,"(219, 201)",0.2547887379284962
tube,"(201, 184)",0.2594972889035745
tube,"(184, 253)",0.27422627970346103
tube,"(253, 100)",0.22041226473790831
tube,"(100, 157)",0.37829593781165965
tube,"(157, 176)",0.3419189210609737
tube,"(176, 162)",0.45592164569799515
tube,"(162, 163)",0.33298548554485013
tube,"(163, 148)",0.4631432669835533
tube,"(148, 188)",0.5859833097927486
tube,"(188, 47)",0.7067879791599792
tube,"(47, 40)",0.6493183797498012
tube,"(40, 4)",0.6761585450454445
tube,"(127, 107)",0.11709953459118055
tube,"(107, 81)",0.10862747247711714
tube,"(81, 141)",0.23346920379308342
tube,"(141, 232)",0.4529820584762754
tube,"(232, 264)",0.21157741801342236
tube,"(264, 26)",0.31725159244478274
tube,"(26, 7)",0.24766968129920144
tube,"(127, 33)",0.11261877307383701
tube,"(33, 112)",0.09834002867393815
tube,"(112, 8)",0.11121154185795178
tube,"(137, 20)",0.15161069291434812
tube,"(20, 145)",0.1481834245617328
tube,"(145, 27)",0.09228722151263127
tube,"(27, 30)",0.07534260530509948
tube,"(127, 78)",0.08777325887918379
tube,"(78, 12)",0.07561619475091164
tube,"(90, 174)",0.09140429216407932
tube,"(174, 43)",0.07824354288293892
tube,"(43, 73)",0.07592742371510117
tube,"(73, 222)",0.1546326698792217
tube,"(222, 21)",0.14529003771209284
tube,"(244, 209)",0.1662671731961826
tube,"(209, 138)",0.22373844549671168
tube,"(138, 19)",0.26397282008140943
tube,"(19, 35)",0.20095068068221553
tube,"(35, 36)",0.23649941439841532
tube,"(36, 156)",0.20719777839356182
tube,"(156, 37)",0.20392488681226967
tube,"(37, 251)",0.22757512251964057
tube,"(251, 177)",0.23114714794241814
tube,"(177, 236)",0.2884558662280785
tube,"(236, 65)",0.2604225744606775
tube,"(65, 13)",0.40189231515193
tube,"(145, 218)",0.13999362508631186
tube,"(218, 135)",0.35691286019289575
tube,"(135, 136)",0.32939994809048984
tube,"(136, 199)",0.35039678367966365
tube,"(199, 206)",0.283753114026218
tube,"(206, 266)",0.3568936576171464
tube,"(266, 31)",0.5017317136146877
tube,"(239, 175)",0.15974092960199407
tube,"(175, 238)",0.14946725772514538
tube,"(238, 216)",0.14062725983426239
tube,"(216, 49)",0.23226948820715798
tube,"(49, 48)",0.1820834915519769
tube,"(48, 50)",0.26514906862667936
tube,"(50, 10)",0.24672035531055794
tube,"(81, 195)",0.6492207551148806
tube,"(195, 227)",0.24657077043232736
tube,"(227, 22)",0.31202178724282265
tube,"(62, 106)",0.09886246189657492
tube,"(106, 164)",0.14612653111664295
tube,"(164, 182)",0.10570772553983787
tube,"(182, 132)",0.11277051969907731
tube,"(132, 143)",0.12236262508907873
tube,"(143, 23)",0.12555692136253885
tube,"(138, 24)",0.0
tube,"(0, 200)",0.3843288741472303
tube,"(200, 159)",0.13149076368483953
tube,"(159, 25)",0.20849480849763807
tube,"(164, 16)",0.13990282426363268
tube,"(16, 170)",0.15865146608491004
tube,"(170, 68)",0.08422760714218952
tube,"(68, 144)",0.08624318791670606
tube,"(144, 9)",0.08965723983673618
tube,"(34, 41)",0.22750320928291504
tube,"(41, 18)",0.2582374012971452
tube,"(18, 96)",0.24206105023906913
tube,"(96, 85)",0.4116730551660965
tube,"(85, 28)",0.3146833952259843
tube,"(28, 104)",0.25636289073061225
tube,"(104, 52)",0.4509547092638738
tube,"(52, 32)",0.28074235462404423
tube,"(216, 29)",0.28426757933763147
tube,"(174, 134)",0.07907090529323713
tube,"(134, 54)",0.07805927918575056
tube,"(54, 110)",0.07475421049465877
tube,"(110, 42)",0.1062985703913058
tube,"(7, 208)",0.3876790093467309
tube,"(208, 165)",0.35490533832164356
tube,"(165, 51)",0.25511869286500843
tube,"(100, 161)",0.28407580885994504
tube,"(161, 178)",0.3576043542380176
tube,"(178, 247)",0.3108055990841853
tube,"(247, 128)",0.49037458404991224
tube,"(128, 181)",0.25728698295938857
tube,"(181, 39)",0.3494185893243684
tube,"(10, 224)",0.23854951287751217
tube,"(224, 225)",0.2406919272118627
tube,"(225, 53)",0.275865485244755
tube,"(21, 142)",0.14181814826758168
tube,"(142, 38)",0.09347461079607224
tube,"(0, 46)",0.10305991400040798
tube,"(13, 235)",0.31098631814719946
tube,"(235, 17)",0.3834260492336984
tube,"(17, 57)",0.3121625062917674
tube,"(9, 211)",0.09139744285500859
tube,"(211, 221)",0.08675992636951253
tube,"(221, 80)",0.08460973194424681
tube,"(80, 252)",0.18933124073130705
tube,"(252, 126)",0.20515186552061945
tube,"(126, 260)",0.19028022471028222
tube,"(260, 59)",0.15642600572140675
tube,"(244, 131)",0.14934092619725192
tube,"(131, 71)",0.1926689156033563
tube,"(184, 67)",0.3923878248503994
tube,"(61, 60)",0.19427627261606012
tube,"(60, 248)",0.302143738797585
tube,"(248, 154)",0.29352640833436516
tube,"(154, 63)",0.07459812583770228
tube,"(6, 108)",0.33522829255785197
tube,"(108, 64)",0.3676659152198855
tube,"(32, 70)",0.31123912160371064
tube,"(62, 249)",0.15487420378264602
tube,"(249, 82)",0.18416985236759267
tube,"(82, 172)",0.1775720557094104
tube,"(172, 179)",0.2128061045165972
tube,"(179, 66)",0.22885755094886936
tube,"(170, 69)",0.14102411667693784
tube,"(136, 241)",0.2751891398687869
tube,"(241, 185)",0.2217891679873216
tube,"(185, 83)",0.23807405609391086
tube,"(83, 153)",0.19728524036546222
tube,"(153, 14)",0.13612993600936957
tube,"(14, 77)",0.11735903709817665
tube,"(64, 79)",0.49822966436357946
tube,"(231, 92)",0.3031082301024367
tube,"(169, 226)",0.07342096768572497
tube,"(226, 87)",0.06440171774697176
tube,"(154, 97)",0.48932330469899094
tube,"(97, 173)",0.47925634933327094
tube,"(173, 91)",0.36522714268005424
