Mode,Segment,Distress
dlr,"(0, 40)",3.478167225868126
dlr,"(40, 35)",6.242178546359687
dlr,"(35, 8)",6.17826094167111
dlr,"(8, 15)",6.836473303545135
dlr,"(15, 5)",2.552925712432089
dlr,"(5, 28)",6.144763812740694
dlr,"(28, 41)",1.1819396178269808
dlr,"(41, 7)",1.4848503655756493
dlr,"(7, 19)",0.6497339879276599
dlr,"(19, 34)",4.294794210533075
dlr,"(34, 9)",3.899456443332592
dlr,"(8, 32)",6.97221297151081
dlr,"(32, 10)",4.70999702939633
dlr,"(9, 26)",4.590338793298468
dlr,"(26, 20)",3.5347108401887657
dlr,"(20, 11)",5.84709596303781
dlr,"(0, 37)",6.088092740845921
dlr,"(37, 36)",3.168754745358126
dlr,"(36, 30)",4.715500166038527
dlr,"(30, 6)",4.145560770489138
dlr,"(6, 14)",3.77856719776455
dlr,"(10, 29)",4.202960534491518
dlr,"(29, 31)",6.238331874758301
dlr,"(31, 4)",5.265197935064608
dlr,"(4, 12)",5.253748242827492
dlr,"(12, 17)",4.322830205152371
dlr,"(8, 42)",13.0354193385469
dlr,"(42, 27)",5.740191838603913
dlr,"(27, 25)",9.620545988583206
dlr,"(25, 21)",8.76857215550412
dlr,"(11, 18)",3.4559897003299054
dlr,"(18, 13)",6.459327262527605
dlr,"(13, 16)",5.961074599484839
dlr,"(16, 23)",4.588818932274019
dlr,"(28, 43)",0.0
dlr,"(43, 24)",8.646435988044429
dlr,"(24, 33)",9.7124570139654
dlr,"(36, 38)",3.8853127207168496
dlr,"(33, 39)",9.674395912204492
dlr,"(21, 44)",11.087739900556201
dlr,"(1, 28)",3.0094705611564527
dlr,"(28, 5)",6.039675060420231
dlr,"(5, 15)",2.5216924478261054
dlr,"(15, 8)",6.705515567262115
dlr,"(17, 3)",7.249866543847309
dlr,"(33, 2)",19.1922843912946
dlr,"(1, 22)",3.0129588063114117
dlr,"(22, 14)",4.666595275706331
dlr,"(14, 6)",3.7447025861759804
dlr,"(6, 30)",4.503906165632129
dlr,"(30, 36)",4.657468881197356
dlr,"(8, 35)",6.109298368704255
dlr,"(35, 40)",6.160773073755119
dlr,"(3, 17)",7.24986654384731
dlr,"(17, 12)",4.322830205152371
dlr,"(12, 4)",5.253748242827493
dlr,"(4, 31)",5.26519793506461
dlr,"(31, 29)",6.238331874758301
dlr,"(29, 10)",4.202960534491523
dlr,"(10, 32)",4.7099970293963285
dlr,"(32, 8)",6.972212971510806
dlr,"(40, 0)",3.4342865019429896
dlr,"(28, 1)",3.003724429058101
dlr,"(2, 33)",19.1922843912946
dlr,"(33, 24)",9.7124570139654
dlr,"(24, 43)",8.64643598804443
dlr,"(43, 28)",0.9999999999999993
dlr,"(43, 41)",0.9999999999999996
dlr,"(14, 22)",4.7883513808626414
dlr,"(22, 1)",3.014034432589025
dlr,"(36, 37)",3.213098914631082
dlr,"(37, 0)",6.182225392793097
dlr,"(7, 41)",1.484850365575648
dlr,"(41, 28)",1.0000000000000009
dlr,"(41, 43)",2.0000000000000004
dlr,"(9, 34)",3.8994564433325927
dlr,"(34, 19)",4.294794210533071
dlr,"(19, 7)",0.6497339879276604
dlr,"(11, 20)",5.847095963037816
dlr,"(20, 26)",3.5347108401887706
dlr,"(26, 9)",4.590338793298466
dlr,"(13, 18)",6.45932726252761
dlr,"(18, 11)",3.455989700329908
dlr,"(16, 13)",5.9610745994848395
dlr,"(21, 25)",7.768572155504121
dlr,"(25, 27)",9.620545988583201
dlr,"(27, 42)",5.740191838603908
dlr,"(42, 8)",14.035419338546893
dlr,"(23, 16)",4.5888189322740205
dlr,"(38, 36)",3.8853127207168505
dlr,"(39, 33)",10.674395912204496
dlr,"(44, 21)",11.087739900556203
