Mode,Segment,Distress
overground,"(7, 102)",24.54253107910321
overground,"(102, 107)",9.9170110957146
overground,"(107, 58)",15.068998989928101
overground,"(58, 57)",11.323358549023691
overground,"(57, 106)",14.07687725846
overground,"(106, 6)",7.781728226159715
overground,"(6, 88)",9.387152640838625
overground,"(88, 48)",7.670099310463268
overground,"(48, 21)",7.630103875536624
overground,"(21, 93)",7.756652071298168
overground,"(93, 33)",8.200826424777505
overground,"(33, 39)",8.327194082986319
overground,"(39, 31)",11.213387593664232
overground,"(31, 103)",4.379329557154037
overground,"(103, 10)",6.113170336870129
overground,"(10, 9)",6.336196320490715
overground,"(9, 55)",7.626613026040774
overground,"(55, 105)",12.989812213033138
overground,"(105, 0)",24.3863326891045
overground,"(8, 19)",16.293889614361007
overground,"(19, 49)",21.2481712726801
overground,"(49, 40)",8.902750629156698
overground,"(40, 37)",16.551434899476998
overground,"(37, 52)",13.782958965543688
overground,"(52, 80)",12.1809999067314
overground,"(80, 61)",7.026570874354755
overground,"(61, 99)",10.5702127673226
overground,"(99, 86)",13.964984051511312
overground,"(86, 36)",12.313260014135802
overground,"(36, 105)",8.03317954570729
overground,"(20, 35)",5.504068508662043
overground,"(35, 43)",0.0
overground,"(43, 25)",8.910956093278822
overground,"(25, 18)",0.9995040644299656
overground,"(18, 38)",6.21316832969692
overground,"(38, 14)",7.948498374533204
overground,"(14, 17)",8.404385672676323
overground,"(17, 56)",5.526344557084786
overground,"(56, 33)",7.567725747084787
overground,"(22, 73)",1.5363871268828466
overground,"(73, 108)",3.8015077907111725
overground,"(108, 77)",5.649991545653233
overground,"(77, 97)",7.157576540951019
overground,"(97, 76)",9.20753909522014
overground,"(76, 46)",6.915441193311907
overground,"(46, 41)",6.002828095049211
overground,"(41, 24)",6.211997918700617
overground,"(24, 25)",0.0
overground,"(26, 16)",16.328930998687667
overground,"(16, 110)",4.084927281048144
overground,"(110, 15)",10.663619078903386
overground,"(15, 50)",7.935132323616551
overground,"(50, 96)",11.188762060661006
overground,"(96, 65)",11.296225696037702
overground,"(65, 85)",7.156560816702899
overground,"(85, 105)",22.936449904735497
overground,"(27, 82)",10.15892339933421
overground,"(82, 104)",9.03520154320381
overground,"(104, 2)",10.346684414494092
overground,"(2, 89)",11.535635018809701
overground,"(89, 88)",0.0
overground,"(30, 84)",29.52251567279709
overground,"(84, 51)",8.357439728694102
overground,"(51, 68)",7.581795504078231
overground,"(68, 54)",12.461164897510596
overground,"(54, 105)",11.678209292986303
overground,"(34, 74)",6.604452303182227
overground,"(74, 0)",9.208404781862
overground,"(44, 45)",9.744905264722796
overground,"(45, 43)",7.502726081735995
overground,"(42, 109)",22.268422656824
overground,"(109, 95)",11.736063974870296
overground,"(95, 106)",0.0
overground,"(53, 34)",14.608951441935503
overground,"(63, 87)",17.476232669499495
overground,"(87, 69)",14.085249657555288
overground,"(69, 66)",6.5475841956908525
overground,"(66, 26)",9.3312073871917
overground,"(71, 53)",16.353105315740084
overground,"(100, 8)",6.823501894006937
overground,"(101, 100)",9.8552905749959
overground,"(3, 47)",14.224886527631504
overground,"(47, 32)",11.048282883216602
overground,"(32, 90)",10.407715484485198
overground,"(90, 67)",9.719502358234307
overground,"(67, 1)",4.960200626797869
overground,"(15, 110)",12.264108284726424
overground,"(110, 16)",4.635663526394685
overground,"(16, 26)",15.414639894885545
overground,"(26, 66)",10.081627888125563
overground,"(66, 69)",6.859842970716398
overground,"(69, 87)",13.646099102411188
overground,"(87, 64)",16.701510778832997
overground,"(64, 3)",9.827044981899402
overground,"(17, 14)",9.003854206921892
overground,"(14, 38)",6.139284775107658
overground,"(38, 18)",6.764275726800731
overground,"(18, 24)",0.9999998985408073
overground,"(24, 41)",6.162033820639419
overground,"(41, 46)",5.925550218862571
overground,"(46, 76)",6.941083896056015
overground,"(76, 97)",9.344003884473914
overground,"(97, 77)",7.164194868041209
overground,"(77, 108)",5.605755751158147
overground,"(108, 73)",3.7771413126735176
overground,"(73, 22)",1.536387121024479
overground,"(22, 87)",3.5318294223516213
overground,"(25, 24)",0.0
overground,"(39, 33)",7.339550689464689
overground,"(33, 56)",7.434546320066159
overground,"(56, 17)",5.483983897144036
overground,"(62, 1)",15.047057942600203
overground,"(98, 62)",23.118479485798407
overground,"(0, 105)",25.386332689104503
overground,"(105, 55)",14.027095026458772
overground,"(55, 9)",7.6328986155544385
overground,"(9, 10)",6.34107881290428
overground,"(10, 103)",6.115258063085606
overground,"(103, 31)",4.382758193830408
overground,"(31, 39)",11.1927079520028
overground,"(33, 93)",8.864084012654816
overground,"(93, 21)",6.8542896606763
overground,"(21, 48)",7.899486577244747
overground,"(48, 88)",8.098419340007487
overground,"(88, 6)",6.745583357570195
overground,"(6, 106)",6.060981431872927
overground,"(106, 57)",15.076877258459998
overground,"(57, 58)",10.3233585490237
overground,"(58, 107)",16.068998989928108
overground,"(107, 102)",9.917011095714601
overground,"(102, 7)",22.5425310791032
overground,"(5, 27)",17.293105106865692
overground,"(13, 91)",10.815767118646697
overground,"(91, 92)",21.66679109382839
overground,"(92, 75)",23.86091071345569
overground,"(75, 27)",24.126502326659406
overground,"(12, 42)",24.400653859425695
overground,"(20, 79)",5.819935642120067
overground,"(79, 95)",5.501190256234146
overground,"(25, 43)",7.473388898372959
overground,"(43, 35)",0.0
overground,"(35, 20)",5.9845383852427645
overground,"(29, 5)",10.623536297717203
overground,"(81, 83)",4.462162930596476
overground,"(83, 89)",4.14485437075325
overground,"(88, 89)",0.0
overground,"(89, 2)",11.535635018809693
overground,"(2, 104)",10.346684414494097
overground,"(104, 82)",9.035201543203812
