Mode,Segment,Distress
tube,"(0, 231)",0.998766433556811
tube,"(231, 213)",1.0636777824842667
tube,"(213, 183)",1.0891104661632616
tube,"(183, 94)",1.1580107908664683
tube,"(94, 15)",5.92070091939138
tube,"(15, 62)",0.9991445060375267
tube,"(62, 84)",2.6717774980418136
tube,"(84, 202)",3.7449408045856427
tube,"(202, 198)",4.102751231252447
tube,"(198, 239)",4.229227747792559
tube,"(239, 90)",2.7751249441625285
tube,"(90, 169)",1.0296996063259654
tube,"(169, 242)",1.8194627063532165
tube,"(242, 76)",2.542410482498156
tube,"(76, 34)",1.0734523043022388
tube,"(34, 122)",11.40394560189868
tube,"(122, 230)",6.47728870598261
tube,"(230, 6)",9.012082728814383
tube,"(239, 210)",1.6514370932393412
tube,"(210, 257)",1.2771153909148514
tube,"(257, 244)",1.8611524490810882
tube,"(244, 11)",2.416014278255259
tube,"(11, 137)",2.372297549551594
tube,"(137, 1)",1.0193913329343776
tube,"(76, 127)",2.96078215057847
tube,"(127, 5)",1.1790929469866476
tube,"(137, 2)",3.8024093284517475
tube,"(0, 61)",6.175152038926478
tube,"(61, 155)",5.714165333624713
tube,"(155, 171)",8.070905821394451
tube,"(171, 3)",12.724976289946953
tube,"(3, 220)",11.171043695900124
tube,"(220, 219)",11.518925491663408
tube,"(219, 201)",9.644747686863155
tube,"(201, 184)",10.266443917942297
tube,"(184, 253)",10.760141347911366
tube,"(253, 100)",8.002969439822435
tube,"(100, 157)",15.564949243508718
tube,"(157, 176)",13.772259644291754
tube,"(176, 162)",19.390213109994967
tube,"(162, 163)",13.332016464630067
tube,"(163, 148)",19.746073334857126
tube,"(148, 188)",25.79976509288874
tube,"(188, 47)",31.753051995398554
tube,"(47, 40)",28.921291459671483
tube,"(40, 4)",30.24326826878017
tube,"(127, 107)",2.7965000099970716
tube,"(107, 81)",2.489779248869379
tube,"(81, 141)",8.561553188414132
tube,"(141, 232)",19.372945782837345
tube,"(232, 264)",7.4738383992530455
tube,"(264, 26)",12.670556817517573
tube,"(26, 7)",9.2408603113838
tube,"(127, 33)",2.750589532480603
tube,"(33, 112)",2.1032109322004193
tube,"(112, 8)",3.192775284591774
tube,"(137, 20)",4.431896775058275
tube,"(20, 145)",4.307948052500954
tube,"(145, 27)",1.1086260014237614
tube,"(27, 30)",0.5011832524499703
tube,"(127, 78)",2.0649009455236476
tube,"(78, 12)",1.657878695013691
tube,"(244, 209)",5.220401359269777
tube,"(209, 138)",8.120141054428371
tube,"(138, 19)",10.602277348391908
tube,"(19, 35)",7.257499261042361
tube,"(35, 36)",9.940585580923567
tube,"(36, 156)",7.275032149193681
tube,"(156, 37)",6.614182686547261
tube,"(37, 251)",7.298195301449454
tube,"(251, 177)",8.430645383785123
tube,"(177, 236)",11.252496403498885
tube,"(236, 65)",9.869710616660127
tube,"(65, 13)",17.836944967016894
tube,"(13, 235)",13.108383121273928
tube,"(235, 17)",16.669068075021055
tube,"(145, 218)",3.984273711459097
tube,"(218, 135)",14.56976201526421
tube,"(135, 136)",13.210004769220175
tube,"(136, 241)",10.290519054206062
tube,"(241, 185)",7.721998152029863
tube,"(185, 83)",8.511766700318022
tube,"(83, 153)",6.3912842816696465
tube,"(153, 14)",3.674440710427846
tube,"(90, 174)",2.0156489145683074
tube,"(174, 43)",1.4407101832174365
tube,"(43, 73)",1.2730920647471118
tube,"(73, 222)",5.970857577362854
tube,"(222, 21)",5.270947462175461
tube,"(239, 175)",4.980561134693229
tube,"(175, 238)",4.444505380776833
tube,"(238, 216)",3.9733234749187494
tube,"(216, 49)",8.4142058252746
tube,"(49, 48)",5.938716995057042
tube,"(48, 50)",10.029405893065556
tube,"(50, 10)",9.119978357200033
tube,"(81, 195)",29.009233671003194
tube,"(195, 227)",9.160108013452108
tube,"(227, 22)",12.378485879397594
tube,"(90, 23)",0.8222291778456103
tube,"(138, 24)",-3.0439706396123083
tube,"(0, 200)",15.8606764015849
tube,"(200, 159)",3.401046198244915
tube,"(159, 25)",7.195734905474453
tube,"(23, 9)",1.5913004139840108
tube,"(34, 41)",8.192849843138921
tube,"(41, 18)",9.705482002550978
tube,"(18, 96)",8.908215102703485
tube,"(96, 85)",17.266341925157043
tube,"(85, 28)",12.484980920326993
tube,"(28, 104)",9.611341974183285
tube,"(104, 52)",19.19560487939866
tube,"(52, 32)",10.802185771025915
tube,"(62, 106)",1.8255830261211157
tube,"(106, 164)",5.09874489110263
tube,"(164, 16)",4.503025401214566
tube,"(216, 29)",11.034444720595712
tube,"(174, 134)",1.6175582927922558
tube,"(134, 54)",1.0757046907599321
tube,"(54, 110)",0.9395073373620172
tube,"(110, 42)",2.6077330811075132
tube,"(7, 208)",16.131851818126293
tube,"(208, 165)",14.52375725310449
tube,"(165, 51)",9.608633955986596
tube,"(100, 161)",11.136345157667453
tube,"(161, 178)",14.835720562794352
tube,"(178, 247)",12.459618669198255
tube,"(247, 128)",21.089285611905957
tube,"(128, 181)",9.602716320298573
tube,"(181, 39)",14.14208630723101
tube,"(10, 224)",8.717393995658643
tube,"(224, 225)",8.818503762631044
tube,"(225, 53)",10.537001420376004
tube,"(21, 142)",5.129156858688978
