0,1,2
940GZZDLABR,940GZZDLSHS,dlr
940GZZDLABR,940GZZDLWHM,dlr
940GZZDLALL,940GZZDLPOP,dlr
940GZZDLALL,940GZZDLLDP,dlr
940GZZDLBNK,940GZZDLSHA,dlr
940GZZDLBEC,940GZZDLGAL,dlr
940GZZDLBPK,940GZZDLRAL,dlr
940GZZDLBPK,940GZZDLCYP,dlr
940GZZDLBLA,940GZZDLEIN,dlr
940GZZDLBLA,940GZZDLPOP,dlr
940GZZDLBOW,940GZZDLDEV,dlr
940GZZDLBOW,940GZZDLPUD,dlr
940GZZDLCAN,940GZZDLWIQ,dlr
940GZZDLCAN,940GZZDLHEQ,dlr
940GZZDLCGT,940GZZDLSTL,dlr
940GZZDLCGT,940GZZDLRVC,dlr
940GZZDLCGT,940GZZDLEIN,dlr
940GZZDLCGT,940GZZDLWSV,dlr
940GZZDLCLA,940GZZDLSOQ,dlr
940GZZDLCLA,940GZZDLMUD,dlr
940GZZDLCUS,940GZZDLRVC,dlr
940GZZDLCUS,940GZZDLPRE,dlr
940GZZDLCUT,940GZZDLISL,dlr
940GZZDLCUT,940GZZDLGRE,dlr
940GZZDLCYP,940GZZDLGAL,dlr
940GZZDLCYP,940GZZDLBPK,dlr
940GZZDLDEP,940GZZDLELV,dlr
940GZZDLDEP,940GZZDLGRE,dlr
940GZZDLDEV,940GZZDLBOW,dlr
940GZZDLDEV,940GZZDLLDP,dlr
940GZZDLEIN,940GZZDLBLA,dlr
940GZZDLEIN,940GZZDLCGT,dlr
940GZZDLELV,940GZZDLDEP,dlr
940GZZDLELV,940GZZDLLEW,dlr
940GZZDLGAL,940GZZDLCYP,dlr
940GZZDLGAL,940GZZDLBEC,dlr
940GZZDLGRE,940GZZDLDEP,dlr
940GZZDLGRE,940GZZDLCUT,dlr
940GZZDLHEQ,940GZZDLSOQ,dlr
940GZZDLHEQ,940GZZDLCAN,dlr
940GZZDLISL,940GZZDLCUT,dlr
940GZZDLISL,940GZZDLMUD,dlr
940GZZDLKGV,940GZZDLLCA,dlr
940GZZDLKGV,940GZZDLWLA,dlr
940GZZDLLDP,940GZZDLDEV,dlr
940GZZDLLDP,940GZZDLALL,dlr
940GZZDLLEW,940GZZDLELV,dlr
940GZZDLLIM,940GZZDLWFE,dlr
940GZZDLLIM,940GZZDLSHA,dlr
940GZZDLLCA,940GZZDLKGV,dlr
940GZZDLLCA,940GZZDLPDK,dlr
940GZZDLMUD,940GZZDLCLA,dlr
940GZZDLMUD,940GZZDLISL,dlr
940GZZDLPDK,940GZZDLWSV,dlr
940GZZDLPDK,940GZZDLLCA,dlr
940GZZDLPOP,940GZZDLALL,dlr
940GZZDLPOP,940GZZDLWIQ,dlr
940GZZDLPOP,940GZZDLBLA,dlr
940GZZDLPOP,940GZZDLWFE,dlr
940GZZDLPRE,940GZZDLCUS,dlr
940GZZDLPRE,940GZZDLRAL,dlr
940GZZDLPUD,940GZZDLBOW,dlr
940GZZDLPUD,940GZZDLSTD,dlr
940GZZDLRAL,940GZZDLBPK,dlr
940GZZDLRAL,940GZZDLPRE,dlr
940GZZDLRVC,940GZZDLCUS,dlr
940GZZDLRVC,940GZZDLCGT,dlr
940GZZDLSHA,940GZZDLLIM,dlr
940GZZDLSHA,940GZZDLTWG,dlr
940GZZDLSHA,940GZZDLBNK,dlr
940GZZDLSOQ,940GZZDLCLA,dlr
940GZZDLSOQ,940GZZDLHEQ,dlr
940GZZDLSTL,940GZZDLWHM,dlr
940GZZDLSTL,940GZZDLCGT,dlr
940GZZDLSTD,940GZZDLSHS,dlr
940GZZDLSTD,940GZZDLPUD,dlr
940GZZDLSTD,940GZZDLSIT,dlr
940GZZDLSHS,940GZZDLABR,dlr
940GZZDLSHS,940GZZDLSTD,dlr
940GZZDLSIT,940GZZDLSTD,dlr
940GZZDLTWG,940GZZDLSHA,dlr
940GZZDLWHM,940GZZDLABR,dlr
940GZZDLWHM,940GZZDLSTL,dlr
940GZZDLWIQ,940GZZDLPOP,dlr
940GZZDLWIQ,940GZZDLCAN,dlr
940GZZDLWIQ,940GZZDLWFE,dlr
940GZZDLWSV,940GZZDLPDK,dlr
940GZZDLWSV,940GZZDLCGT,dlr
940GZZDLWFE,940GZZDLLIM,dlr
940GZZDLWFE,940GZZDLPOP,dlr
940GZZDLWFE,940GZZDLWIQ,dlr
940GZZDLWLA,940GZZDLKGV,dlr
