0,1,2
0,61,tube
0,46,tube
0,231,tube
0,200,tube
1,229,tube
1,259,tube
1,137,tube
2,229,tube
2,137,tube
3,171,tube
3,220,tube
4,40,tube
5,127,tube
5,166,tube
6,230,tube
6,108,tube
7,26,tube
7,208,tube
8,81,tube
8,112,tube
9,186,tube
9,144,tube
9,89,tube
9,69,tube
9,23,tube
9,211,tube
9,80,tube
10,224,tube
10,50,tube
11,212,tube
11,137,tube
11,138,tube
11,149,tube
11,244,tube
12,149,tube
12,78,tube
13,235,tube
13,65,tube
14,153,tube
14,77,tube
15,94,tube
15,254,tube
15,62,tube
16,164,tube
16,170,tube
17,235,tube
17,57,tube
18,41,tube
18,96,tube
19,35,tube
19,138,tube
20,137,tube
20,145,tube
21,222,tube
21,142,tube
22,240,tube
22,227,tube
23,169,tube
23,143,tube
23,90,tube
23,9,tube
24,138,tube
24,71,tube
25,159,tube
25,167,tube
26,264,tube
26,7,tube
27,30,tube
27,145,tube
28,104,tube
28,85,tube
29,216,tube
30,251,tube
30,27,tube
31,266,tube
31,139,tube
32,52,tube
32,70,tube
33,112,tube
33,127,tube
34,122,tube
34,76,tube
34,151,tube
34,41,tube
35,19,tube
35,36,tube
36,35,tube
36,156,tube
37,251,tube
37,156,tube
38,142,tube
38,147,tube
39,214,tube
39,181,tube
40,44,tube
40,4,tube
40,47,tube
41,18,tube
41,34,tube
42,110,tube
42,212,tube
43,73,tube
43,174,tube
43,134,tube
44,40,tube
45,88,tube
45,189,tube
46,231,tube
46,0,tube
47,188,tube
47,40,tube
48,49,tube
48,50,tube
49,216,tube
49,48,tube
50,10,tube
50,48,tube
51,165,tube
52,104,tube
52,32,tube
53,205,tube
53,225,tube
54,134,tube
54,110,tube
55,148,tube
55,245,tube
56,72,tube
56,57,tube
57,56,tube
57,17,tube
58,139,tube
58,223,tube
59,260,tube
59,152,tube
60,248,tube
60,61,tube
61,0,tube
61,60,tube
61,155,tube
62,121,tube
62,249,tube
62,254,tube
62,84,tube
62,106,tube
62,15,tube
63,154,tube
63,258,tube
64,108,tube
64,79,tube
65,236,tube
65,13,tube
66,179,tube
66,207,tube
67,192,tube
67,184,tube
68,144,tube
68,170,tube
69,170,tube
69,9,tube
70,32,tube
71,131,tube
71,24,tube
71,119,tube
72,113,tube
72,56,tube
73,43,tube
73,244,tube
73,257,tube
73,222,tube
74,223,tube
75,89,tube
75,127,tube
76,242,tube
76,151,tube
76,127,tube
76,34,tube
77,93,tube
77,14,tube
78,12,tube
78,127,tube
79,146,tube
79,250,tube
79,64,tube
80,252,tube
80,221,tube
80,247,tube
80,9,tube
81,8,tube
81,141,tube
81,195,tube
81,107,tube
82,172,tube
82,249,tube
83,153,tube
83,185,tube
84,202,tube
84,62,tube
84,106,tube
85,96,tube
85,28,tube
86,95,tube
86,197,tube
87,226,tube
87,242,tube
88,93,tube
88,45,tube
89,75,tube
89,9,tube
90,257,tube
90,23,tube
90,117,tube
90,174,tube
90,239,tube
90,169,tube
91,173,tube
91,160,tube
92,124,tube
92,231,tube
93,88,tube
93,77,tube
94,15,tube
94,183,tube
94,231,tube
95,86,tube
96,18,tube
96,85,tube
97,154,tube
97,173,tube
98,217,tube
98,261,tube
99,123,tube
100,157,tube
100,253,tube
100,161,tube
101,103,tube
101,116,tube
102,103,tube
103,102,tube
103,101,tube
104,52,tube
104,28,tube
105,228,tube
106,62,tube
106,164,tube
106,84,tube
107,127,tube
107,81,tube
108,6,tube
108,64,tube
109,118,tube
109,237,tube
110,42,tube
110,226,tube
110,54,tube
110,194,tube
111,164,tube
111,196,tube
112,8,tube
112,33,tube
113,72,tube
113,233,tube
114,116,tube
114,115,tube
115,114,tube
115,167,tube
116,101,tube
116,114,tube
117,129,tube
117,90,tube
118,193,tube
118,109,tube
119,244,tube
119,71,tube
119,168,tube
120,180,tube
120,261,tube
121,62,tube
122,34,tube
122,230,tube
123,99,tube
123,203,tube
124,187,tube
124,92,tube
125,140,tube
125,180,tube
126,252,tube
126,260,tube
127,75,tube
127,78,tube
127,5,tube
127,76,tube
127,194,tube
127,33,tube
127,107,tube
128,247,tube
128,181,tube
129,202,tube
129,117,tube
130,256,tube
130,133,tube
131,244,tube
131,71,tube
132,182,tube
132,143,tube
133,130,tube
133,265,tube
134,43,tube
134,226,tube
134,174,tube
134,54,tube
135,218,tube
135,136,tube
136,241,tube
136,135,tube
136,199,tube
137,11,tube
137,20,tube
137,149,tube
137,2,tube
137,1,tube
138,19,tube
138,209,tube
138,11,tube
138,24,tube
139,58,tube
139,31,tube
140,125,tube
140,243,tube
141,232,tube
141,81,tube
142,38,tube
142,21,tube
143,132,tube
143,23,tube
144,68,tube
144,9,tube
145,218,tube
145,20,tube
145,215,tube
145,27,tube
146,79,tube
147,38,tube
147,229,tube
148,188,tube
148,55,tube
148,163,tube
149,12,tube
149,137,tube
149,166,tube
149,11,tube
150,205,tube
151,76,tube
151,34,tube
152,59,tube
152,247,tube
153,14,tube
153,83,tube
154,97,tube
154,248,tube
154,63,tube
155,61,tube
155,171,tube
156,37,tube
156,36,tube
157,100,tube
157,176,tube
158,246,tube
158,203,tube
159,200,tube
159,25,tube
160,91,tube
160,204,tube
161,178,tube
161,100,tube
162,163,tube
162,176,tube
163,148,tube
163,162,tube
164,182,tube
164,111,tube
164,16,tube
164,106,tube
165,208,tube
165,51,tube
166,149,tube
166,5,tube
167,25,tube
167,115,tube
168,216,tube
168,119,tube
169,186,tube
169,174,tube
169,226,tube
169,23,tube
169,242,tube
169,90,tube
170,68,tube
170,243,tube
170,69,tube
170,16,tube
170,190,tube
171,3,tube
171,155,tube
172,82,tube
172,179,tube
173,91,tube
173,97,tube
174,43,tube
174,169,tube
174,134,tube
174,90,tube
175,238,tube
175,239,tube
176,162,tube
176,157,tube
177,236,tube
177,251,tube
178,247,tube
178,161,tube
179,66,tube
179,172,tube
180,120,tube
180,125,tube
181,39,tube
181,128,tube
182,164,tube
182,132,tube
183,213,tube
183,94,tube
184,253,tube
184,67,tube
184,201,tube
185,241,tube
185,83,tube
186,169,tube
186,9,tube
187,124,tube
188,148,tube
188,47,tube
189,45,tube
189,266,tube
190,170,tube
190,256,tube
191,255,tube
191,204,tube
192,193,tube
192,67,tube
193,192,tube
193,118,tube
194,127,tube
194,110,tube
195,227,tube
195,81,tube
196,111,tube
196,258,tube
197,86,tube
197,265,tube
198,202,tube
198,239,tube
199,206,tube
199,136,tube
200,0,tube
200,159,tube
201,184,tube
201,219,tube
202,198,tube
202,84,tube
202,129,tube
203,123,tube
203,158,tube
204,191,tube
204,160,tube
205,150,tube
205,53,tube
206,266,tube
206,199,tube
207,262,tube
207,66,tube
208,7,tube
208,165,tube
209,138,tube
209,244,tube
210,239,tube
210,257,tube
211,9,tube
211,221,tube
212,42,tube
212,11,tube
213,183,tube
213,231,tube
214,39,tube
215,145,tube
215,259,tube
216,49,tube
216,168,tube
216,238,tube
216,29,tube
217,98,tube
217,246,tube
218,135,tube
218,145,tube
218,251,tube
219,220,tube
219,201,tube
220,3,tube
220,219,tube
221,80,tube
221,211,tube
222,21,tube
222,73,tube
223,58,tube
223,74,tube
224,225,tube
224,10,tube
225,53,tube
225,224,tube
226,110,tube
226,169,tube
226,87,tube
226,134,tube
227,195,tube
227,22,tube
228,105,tube
228,267,tube
229,1,tube
229,147,tube
229,2,tube
230,6,tube
230,122,tube
231,46,tube
231,213,tube
231,92,tube
231,0,tube
231,94,tube
232,264,tube
232,141,tube
233,113,tube
233,234,tube
234,233,tube
235,17,tube
235,13,tube
236,65,tube
236,177,tube
237,109,tube
238,216,tube
238,175,tube
239,210,tube
239,198,tube
239,175,tube
239,90,tube
240,22,tube
241,136,tube
241,185,tube
242,76,tube
242,87,tube
242,169,tube
243,170,tube
243,140,tube
244,131,tube
244,73,tube
244,209,tube
244,257,tube
244,119,tube
244,11,tube
245,55,tube
246,217,tube
246,158,tube
247,128,tube
247,152,tube
247,80,tube
247,178,tube
248,60,tube
248,154,tube
249,62,tube
249,82,tube
250,267,tube
250,79,tube
251,177,tube
251,30,tube
251,37,tube
251,218,tube
252,126,tube
252,80,tube
253,100,tube
253,184,tube
254,62,tube
254,15,tube
255,191,tube
256,190,tube
256,130,tube
257,73,tube
257,210,tube
257,90,tube
257,244,tube
258,63,tube
258,196,tube
259,215,tube
259,1,tube
260,59,tube
260,126,tube
261,98,tube
261,120,tube
262,263,tube
262,207,tube
263,262,tube
264,26,tube
264,232,tube
265,133,tube
265,197,tube
266,31,tube
266,189,tube
266,206,tube
267,228,tube
267,250,tube
