,alpha,alpha_rnk,distance,distance_rnk
"(0, 105)",0.02099307064660305,27.0,0.8258426966292135,7.0
"(0, 74)",0.37972036573865253,211.0,0.31460674157303375,143.0
"(105, 85)",0.025034232666066636,31.0,1.0,1.0
"(105, 55)",0.20288453200573253,174.0,0.48314606741573035,59.0
"(105, 54)",0.2874184536652229,201.0,0.38483146067415736,97.0
"(105, 36)",0.40954707031864024,212.0,0.2808988764044944,159.0
"(105, 0)",0.05356600720790072,52.0,0.8258426966292135,8.0
"(74, 0)",0.09831588529813395,103.0,0.31460674157303375,144.0
"(74, 34)",0.15612198452435155,146.0,0.2696629213483146,165.0
"(1, 67)",0.373248,210.0,0.19662921348314608,207.0
"(1, 62)",0.021952000000000083,28.0,0.5056179775280899,53.0
"(67, 90)",0.05245287537334453,51.0,0.32865168539325845,137.0
"(67, 1)",0.2449248019980419,191.0,0.19662921348314608,208.0
"(62, 1)",0.22647286988538107,185.0,0.5056179775280899,54.0
"(62, 98)",0.05952710188211485,60.0,0.7893258426966293,11.0
"(2, 104)",0.14326568729797384,135.0,0.3455056179775281,125.0
"(2, 89)",0.10835681134994424,114.0,0.37921348314606745,103.0
"(104, 82)",0.14711182095947017,140.0,0.30898876404494385,145.0
"(104, 2)",0.10522290614915242,109.0,0.3455056179775281,126.0
"(89, 2)",0.009243392416299456,16.0,0.37921348314606745,104.0
"(89, 88)",0.9995000999900006,220.0,0.0,219.0
"(89, 83)",0.08315798745447989,86.0,0.24438202247191013,187.0
"(3, 64)",0.20863700848743294,176.0,0.3314606741573034,135.0
"(3, 47)",0.06736774775513565,69.0,0.48314606741573035,60.0
"(64, 87)",0.04786256167501146,47.0,0.5814606741573034,39.0
"(64, 3)",0.2583812253072372,194.0,0.3314606741573034,136.0
"(47, 32)",0.18474151970213926,163.0,0.36516853932584276,113.0
"(47, 3)",0.07976442301967124,82.0,0.48314606741573035,61.0
"(4, 60)",0.04491633176803589,42.0,0.46348314606741575,69.0
"(4, 11)",0.2677515149116516,197.0,0.2556179775280899,179.0
"(60, 4)",9.999999999998899e-05,1.0,0.46348314606741575,70.0
"(11, 59)",0.10482195369990821,108.0,0.2865168539325843,155.0
"(11, 4)",0.14761435331504547,141.0,0.2556179775280899,180.0
"(5, 29)",0.20187578719770582,172.0,0.3820224719101124,101.0
"(5, 27)",0.07063647710140475,71.0,0.5421348314606742,45.0
"(29, 5)",9.999999999998899e-05,2.0,0.3820224719101124,102.0
"(27, 75)",0.04488122362548497,41.0,0.7612359550561798,17.0
"(27, 5)",0.13566714064190788,128.0,0.5421348314606742,46.0
"(27, 82)",0.3112445981317624,204.0,0.34269662921348315,127.0
"(6, 106)",0.24825526878184534,192.0,0.37359550561797755,107.0
"(6, 88)",0.051275020534967686,50.0,0.6320224719101124,35.0
"(106, 6)",0.056313514709472545,55.0,0.37359550561797755,108.0
"(106, 95)",0.9995000999900006,221.0,0.0,220.0
"(106, 57)",0.016028404235839733,23.0,0.4803370786516854,63.0
"(88, 89)",0.9995000999900006,222.0,0.0,221.0
"(88, 48)",0.05038439528577421,49.0,0.5168539325842697,49.0
"(88, 6)",0.018427761169864998,25.0,0.6320224719101124,36.0
"(7, 102)",9.999999999998899e-05,3.0,0.7724719101123596,13.0
"(102, 7)",0.032555549907260284,35.0,0.7724719101123596,14.0
"(102, 107)",0.3153944059794176,205.0,0.3623595505617978,115.0
"(8, 100)",0.32400593635102815,207.0,0.24719101123595508,185.0
"(8, 19)",0.030713482096053513,33.0,0.5421348314606742,47.0
"(100, 101)",0.06669124345672339,68.0,0.3623595505617978,116.0
"(100, 8)",0.2100825253640205,178.0,0.24719101123595508,186.0
"(19, 49)",0.08733818372885171,91.0,0.6797752808988764,25.0
"(19, 8)",0.17217826494336408,156.0,0.5421348314606742,48.0
"(9, 55)",0.08104138005376182,83.0,0.27247191011235955,161.0
"(9, 10)",0.1825268973649311,162.0,0.20786516853932585,205.0
"(55, 9)",0.26141379429213574,195.0,0.27247191011235955,162.0
"(55, 105)",0.04688763880027591,45.0,0.48314606741573035,62.0
"(10, 103)",0.10881783088852348,115.0,0.22752808988764048,195.0
"(10, 9)",0.14271182571917707,134.0,0.20786516853932585,206.0
"(103, 31)",0.17432153839845843,157.0,0.17977528089887643,211.0
"(103, 10)",0.08598761736848592,90.0,0.22752808988764048,196.0
"(59, 35)",0.1571864489475978,148.0,0.24438202247191013,188.0
"(59, 11)",0.09753766291937116,101.0,0.2865168539325843,156.0
"(12, 42)",9.999999999998899e-05,4.0,0.7977528089887641,9.0
"(42, 109)",0.15650318290768528,147.0,0.6825842696629214,23.0
"(42, 12)",0.09803631422801184,102.0,0.7977528089887641,10.0
"(13, 91)",9.999999999998899e-05,5.0,0.38764044943820225,95.0
"(91, 92)",0.049836032000000086,48.0,0.6657303370786518,29.0
"(91, 13)",0.2524359680000001,193.0,0.38764044943820225,96.0
"(14, 38)",0.23199373193164596,188.0,0.2696629213483146,166.0
"(14, 17)",0.05730805352342738,57.0,0.42977528089887646,77.0
"(38, 18)",0.1492031439484457,142.0,0.23876404494382023,191.0
"(38, 14)",0.10356691801547502,107.0,0.2696629213483146,167.0
"(17, 56)",0.29824134238111144,202.0,0.21348314606741575,203.0
"(17, 14)",0.03655395137758899,37.0,0.42977528089887646,78.0
"(15, 110)",0.06002190106778449,61.0,0.6460674157303371,31.0
"(15, 50)",0.22527246359165964,184.0,0.4157303370786517,83.0
"(110, 16)",0.46442347114614124,215.0,0.18820224719101125,209.0
"(110, 15)",0.011480348192021705,19.0,0.6460674157303371,32.0
"(50, 15)",0.14144975182544506,132.0,0.4157303370786517,84.0
"(50, 96)",0.1098777374132518,117.0,0.452247191011236,73.0
"(16, 110)",0.5472125268721234,217.0,0.18820224719101125,210.0
"(16, 26)",0.006035051105192313,15.0,0.8455056179775281,5.0
"(26, 66)",0.317968221974269,206.0,0.39325842696629215,93.0
"(26, 16)",0.031993985130795544,34.0,0.8455056179775281,6.0
"(56, 33)",0.07783604669141475,79.0,0.2865168539325843,157.0
"(56, 17)",0.18816572076218951,165.0,0.21348314606741575,204.0
"(18, 38)",0.21600428748089429,180.0,0.23876404494382023,192.0
"(18, 24)",0.0924422739220061,97.0,0.34269662921348315,128.0
"(18, 25)",0.10979242280002377,116.0,0.32303370786516855,141.0
"(24, 41)",0.07465000619379869,75.0,0.23314606741573035,193.0
"(24, 25)",0.9995000999900006,223.0,0.0,222.0
"(24, 18)",0.010879806129323932,18.0,0.34269662921348315,129.0
"(25, 24)",0.9995000999900006,224.0,0.0,223.0
"(25, 43)",0.019791854877495796,26.0,0.38483146067415736,98.0
"(25, 18)",0.047489777177661896,46.0,0.32303370786516855,142.0
"(49, 40)",0.3277364525406343,208.0,0.3061797752808989,147.0
"(49, 19)",0.02994733249357817,32.0,0.6797752808988764,26.0
"(20, 79)",0.04261178450245362,39.0,0.7640449438202248,15.0
"(20, 35)",0.27553569380619336,199.0,0.4101123595505618,87.0
"(79, 95)",0.4138358580730406,213.0,0.2612359550561798,173.0
"(79, 20)",0.016541323386895734,24.0,0.7640449438202248,16.0
"(35, 20)",0.02384347114472818,29.0,0.4101123595505618,88.0
"(35, 59)",0.137958517469431,130.0,0.24438202247191013,189.0
"(35, 43)",0.9993002099650037,219.0,0.0,224.0
"(35, 70)",0.05458439605725551,53.0,0.33707865168539325,133.0
"(21, 93)",0.16502419471477536,152.0,0.3398876404494382,131.0
"(21, 48)",0.09203472709409077,96.0,0.41292134831460675,85.0
"(93, 33)",0.06900650991581414,70.0,0.48876404494382025,57.0
"(93, 21)",0.2052020508425887,175.0,0.3398876404494382,132.0
"(48, 21)",0.17177876960264205,155.0,0.41292134831460675,86.0
"(48, 88)",0.0875927220777919,92.0,0.5168539325842697,50.0
"(22, 73)",0.2282235939643349,186.0,0.09831460674157304,217.0
"(22, 87)",0.05881344307270242,59.0,0.15449438202247193,213.0
"(73, 22)",0.19341468064156764,169.0,0.09831460674157304,218.0
"(73, 108)",0.07498421615041972,76.0,0.1348314606741573,215.0
"(87, 64)",0.08811927432209277,94.0,0.5814606741573034,40.0
"(87, 63)",0.07869326007967237,81.0,0.6039325842696629,37.0
"(87, 69)",0.06426814219739674,66.0,0.6432584269662922,33.0
"(87, 22)",0.5668054436713419,218.0,0.15449438202247193,214.0
"(23, 90)",9.999999999998899e-05,6.0,0.45786516853932585,71.0
"(90, 32)",0.14151043015391207,133.0,0.3764044943820225,105.0
"(90, 67)",0.19001178639019078,167.0,0.32865168539325845,138.0
"(90, 23)",0.08191565378606847,85.0,0.45786516853932585,72.0
"(41, 46)",0.13202964754117474,127.0,0.22471910112359553,199.0
"(41, 24)",0.11822440793701428,120.0,0.23314606741573035,194.0
"(43, 25)",0.01151272423197347,20.0,0.38483146067415736,99.0
"(43, 45)",0.07180635987597372,72.0,0.26685393258426965,171.0
"(43, 35)",0.9995000999900006,225.0,0.0,225.0
"(66, 26)",0.06358886635718553,64.0,0.39325842696629215,94.0
"(66, 69)",0.21692836549457117,181.0,0.2612359550561798,174.0
"(75, 27)",0.12361624879337507,123.0,0.7612359550561798,18.0
"(75, 92)",0.1263940392724685,124.0,0.7556179775280899,19.0
"(82, 104)",0.14541711939808932,138.0,0.30898876404494385,146.0
"(82, 27)",0.10658942043544228,111.0,0.34269662921348315,130.0
"(28, 94)",0.14536036756339799,137.0,0.6713483146067416,27.0
"(28, 72)",0.10663556970039645,112.0,0.7443820224719101,21.0
"(94, 28)",9.999999999998899e-05,7.0,0.6713483146067416,28.0
"(72, 28)",9.999999999998899e-05,8.0,0.7443820224719101,22.0
"(30, 84)",9.999999999998899e-05,9.0,0.9691011235955057,3.0
"(84, 51)",0.45364722876668484,214.0,0.2921348314606742,151.0
"(84, 30)",0.012426848246822164,21.0,0.9691011235955057,4.0
"(31, 103)",0.3077203689080965,203.0,0.17977528089887643,212.0
"(31, 39)",0.03428792813640369,36.0,0.37359550561797755,109.0
"(39, 31)",0.08449966357555827,88.0,0.37359550561797755,110.0
"(39, 33)",0.17672984024327443,159.0,0.2921348314606742,152.0
"(32, 47)",0.1307683411247461,126.0,0.36516853932584276,114.0
"(32, 90)",0.11940383518379394,121.0,0.3764044943820225,106.0
"(33, 93)",0.046818567201876826,44.0,0.48876404494382025,58.0
"(33, 56)",0.20955884517945367,177.0,0.2865168539325843,158.0
"(33, 39)",0.20212844142338415,173.0,0.2921348314606742,153.0
"(34, 74)",0.2709139018929372,198.0,0.2696629213483146,168.0
"(34, 53)",0.04396499084062688,40.0,0.49438202247191015,55.0
"(53, 34)",0.14414514441395376,136.0,0.49438202247191015,56.0
"(53, 71)",0.10762987384755107,113.0,0.5449438202247191,43.0
"(70, 35)",0.0654435552245457,67.0,0.33707865168539325,134.0
"(70, 81)",0.21279213201091884,179.0,0.22752808988764048,197.0
"(36, 86)",0.06175020965739941,62.0,0.42977528089887646,79.0
"(36, 105)",0.22116313065411952,183.0,0.2808988764044944,160.0
"(86, 99)",0.10628371482723442,110.0,0.47752808988764045,65.0
"(86, 36)",0.14579384749963542,139.0,0.42977528089887646,80.0
"(37, 52)",0.15612198452435133,145.0,0.4719101123595506,67.0
"(37, 40)",0.09831588529813395,104.0,0.550561797752809,41.0
"(52, 37)",0.09611251720318226,99.0,0.4719101123595506,68.0
"(52, 80)",0.1591632372192946,150.0,0.39887640449438205,91.0
"(40, 37)",0.045643608936430824,43.0,0.550561797752809,42.0
"(40, 49)",0.26538030936510115,196.0,0.3061797752808989,148.0
