,alpha,alpha_rnk,distance,distance_rnk
"(0, 231)",0.05349204150410536,137.0,0.25327510917030566,85.0
"(0, 61)",0.3549990291399655,556.0,0.10189228529839882,369.0
"(0, 200)",0.06706689730765825,173.0,0.2372634643377001,93.0
"(0, 46)",0.20899523679000165,434.0,0.148471615720524,245.0
"(231, 0)",0.043344816312768986,104.0,0.25327510917030566,86.0
"(231, 94)",0.029802492957344495,74.0,0.2780203784570596,57.0
"(231, 92)",0.12244057198088121,296.0,0.17903930131004364,181.0
"(231, 213)",0.568001549122152,599.0,0.05240174672489082,537.0
"(231, 46)",0.33860569242770777,551.0,0.0975254730713246,391.0
"(61, 155)",0.2047011080130391,423.0,0.08151382823871905,435.0
"(61, 0)",0.12541758676678094,302.0,0.10189228529839882,370.0
"(61, 60)",0.08560844799356504,222.0,0.11644832605531295,321.0
"(200, 159)",0.6215308808099347,604.0,0.040756914119359534,575.0
"(200, 0)",0.003150460162078317,30.0,0.2372634643377001,94.0
"(46, 0)",0.06231093875891913,157.0,0.148471615720524,246.0
"(46, 231)",0.21985705255791155,452.0,0.0975254730713246,392.0
"(1, 259)",0.04977294142632893,124.0,0.10771470160116448,351.0
"(1, 137)",0.14203509094777267,327.0,0.07714701601164484,451.0
"(1, 229)",0.2784834333038715,507.0,0.05385735080058224,533.0
"(259, 215)",0.13570869770233196,320.0,0.10189228529839882,371.0
"(259, 1)",0.11487000600137176,281.0,0.10771470160116448,352.0
"(137, 149)",0.7363444169736483,611.0,0.016011644832605528,605.0
"(137, 2)",0.3417295868242105,553.0,0.05385735080058224,534.0
"(137, 1)",0.205787341661808,426.0,0.07714701601164484,452.0
"(137, 11)",0.38624450864490956,568.0,0.04803493449781658,549.0
"(137, 20)",0.00030844668263152464,24.0,0.2838427947598253,53.0
"(229, 147)",0.07517684323565499,199.0,0.05822416302765648,515.0
"(229, 2)",0.2846280207962878,514.0,0.032023289665211056,589.0
"(229, 1)",0.09633463905288331,247.0,0.05385735080058224,535.0
"(2, 137)",0.051845612258312634,134.0,0.05385735080058224,536.0
"(2, 229)",0.24663183675059308,478.0,0.032023289665211056,590.0
"(3, 220)",0.16006349440558632,356.0,0.19359534206695778,159.0
"(3, 171)",0.09547198580839322,245.0,0.22998544395924309,97.0
"(220, 3)",0.1250000000000001,300.0,0.19359534206695778,160.0
"(220, 219)",0.1250000000000001,301.0,0.19359534206695778,161.0
"(171, 155)",0.2715199730373907,504.0,0.12518195050946143,299.0
"(171, 3)",0.043785052493380605,105.0,0.22998544395924309,98.0
"(4, 40)",9.999999999998899e-05,3.0,0.445414847161572,7.0
"(40, 44)",0.046486179080537426,114.0,0.7510917030567685,3.0
"(40, 4)",0.20448285330636806,422.0,0.445414847161572,8.0
"(40, 47)",0.20825549787746178,431.0,0.4410480349344978,9.0
"(5, 166)",0.08658337242165137,225.0,0.17612809315866082,189.0
"(5, 127)",0.17337118172050525,379.0,0.13973799126637554,269.0
"(166, 149)",0.2987585798435378,524.0,0.08733624454148471,425.0
"(166, 5)",0.03642654881553853,88.0,0.17612809315866082,190.0
"(127, 33)",0.038929584795944994,97.0,0.25473071324599705,81.0
"(127, 194)",0.3655310800536282,560.0,0.08588064046579329,427.0
"(127, 76)",0.4924578485698685,589.0,0.061135371179039305,503.0
"(127, 107)",0.02481841349345537,67.0,0.2852983988355167,49.0
"(127, 5)",0.18642010758469918,405.0,0.13973799126637554,270.0
"(127, 75)",0.25980612916288504,491.0,0.11353711790393013,329.0
"(127, 78)",0.07072865073347634,185.0,0.21251819505094613,125.0
"(6, 230)",0.25443438373834437,486.0,0.10771470160116448,353.0
"(6, 108)",0.04916330276297898,123.0,0.1863173216885007,167.0
"(230, 122)",0.22315964772381824,458.0,0.06986899563318777,469.0
"(230, 6)",0.06090377608698527,154.0,0.10771470160116448,354.0
"(108, 64)",0.1042133116222268,261.0,0.20960698689956328,129.0
"(108, 6)",0.14838184408711586,338.0,0.1863173216885007,168.0
"(7, 208)",0.055535767041974715,139.0,0.22416302765647741,101.0
"(7, 26)",0.2365724247613833,474.0,0.13828238719068411,273.0
"(208, 7)",0.11769670843413116,286.0,0.22416302765647741,102.0
"(208, 165)",0.13259933121325296,314.0,0.21542940320232895,113.0
"(26, 7)",0.1738714830140744,380.0,0.13828238719068411,274.0
"(26, 264)",0.0862691335354121,224.0,0.17467248908296942,195.0
"(8, 112)",0.06740758675336767,175.0,0.074235807860262,461.0
"(8, 81)",0.20855239161331718,432.0,0.05094614264919941,547.0
"(112, 8)",0.060632288629737685,153.0,0.074235807860262,462.0
"(112, 33)",0.22380648688046667,459.0,0.04803493449781658,550.0
"(81, 141)",0.3638564392006228,558.0,0.11353711790393013,330.0
"(81, 8)",0.6468142227312441,605.0,0.05094614264919941,548.0
"(81, 107)",0.08235429999999999,214.0,0.25327510917030566,87.0
"(81, 195)",0.007264024866292629,37.0,0.4264919941775836,13.0
"(9, 80)",0.0011387331732137795,27.0,0.4133915574963609,15.0
"(9, 89)",0.2869823212836605,516.0,0.09315866084425035,415.0
"(9, 211)",0.045369866397098724,109.0,0.21542940320232895,114.0
"(9, 23)",0.1974712374779547,413.0,0.11935953420669577,313.0
"(9, 69)",0.33770645608878547,550.0,0.08151382823871905,436.0
"(9, 186)",0.3965971296449776,571.0,0.06986899563318777,470.0
"(9, 144)",0.7260952335477402,609.0,0.024745269286754,599.0
"(80, 9)",0.10888373443805288,272.0,0.4133915574963609,16.0
"(80, 247)",0.0005609696279935683,25.0,0.9999999999999999,1.0
"(80, 252)",0.6998144393116537,608.0,0.07569141193595341,455.0
"(80, 221)",0.8558696857415995,612.0,0.03347889374090247,587.0
"(89, 9)",0.04665600000000003,115.0,0.09315866084425035,416.0
"(89, 75)",0.26214400000000004,495.0,0.05240174672489082,538.0
"(211, 9)",0.03905680575801762,98.0,0.21542940320232895,115.0
"(211, 221)",0.2884304391399417,518.0,0.1106259097525473,341.0
"(23, 90)",0.07071800647451065,184.0,0.10043668122270741,377.0
"(23, 9)",0.03749170284630665,92.0,0.11935953420669577,314.0
"(23, 143)",0.25339540301374186,485.0,0.056768558951965066,523.0
"(23, 169)",0.3699699090318225,564.0,0.042212518195050945,573.0
"(69, 170)",0.19849537037037035,415.0,0.05822416302765648,516.0
"(69, 9)",0.07233796296296313,190.0,0.08151382823871905,437.0
"(186, 9)",0.20876038932899665,433.0,0.06986899563318777,471.0
"(186, 169)",0.06730970547134829,174.0,0.10189228529839882,372.0
"(144, 68)",0.05767515026296022,143.0,0.039301310043668124,583.0
"(144, 9)",0.23106451915852755,469.0,0.024745269286754,600.0
"(10, 224)",0.1617644114870448,364.0,0.10334788937409023,363.0
"(10, 50)",0.09427602243800481,241.0,0.12372634643377002,305.0
"(224, 225)",0.0999311197274273,254.0,0.11935953420669577,315.0
"(224, 10)",0.15394559435689925,347.0,0.10334788937409023,364.0
"(50, 48)",0.1070773671791676,270.0,0.1368267831149927,277.0
"(50, 10)",0.14481864106027564,329.0,0.12372634643377002,306.0
"(11, 244)",0.0008862207755713225,26.0,0.272197962154294,63.0
"(11, 138)",0.18489384010095777,404.0,0.08588064046579329,428.0
"(11, 149)",0.46683295266048885,585.0,0.040756914119359534,576.0
"(11, 212)",0.34984326992778425,554.0,0.05531295487627365,527.0
"(11, 137)",0.4045940488841624,573.0,0.04803493449781658,551.0
"(244, 11)",0.0054125346948167286,34.0,0.272197962154294,64.0
"(244, 73)",0.368015062810337,563.0,0.0625909752547307,497.0
"(244, 119)",0.01825936541516837,56.0,0.2197962154294032,107.0
"(244, 257)",0.3337343934062016,547.0,0.06841339155749634,479.0
"(244, 209)",0.3957930601109776,569.0,0.05822416302765648,517.0
"(244, 131)",0.5395692552703186,596.0,0.039301310043668124,584.0
"(138, 11)",0.27353190907326685,505.0,0.08588064046579329,429.0
