,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun
,Morning,Morning,Morning,Morning,AM Peak,AM Peak,AM Peak,AM Peak,Midday,Midday,Midday,Midday,PM Peak,PM Peak,PM Peak,PM Peak,Evening,Evening,Evening,Evening,Late,Late,Late,Late,Morning,Morning,Morning,Morning,AM Peak,AM Peak,AM Peak,AM Peak,Midday,Midday,Midday,Midday,PM Peak,PM Peak,PM Peak,PM Peak,Evening,Evening,Evening,Evening,Late,Late,Late,Late,Morning,Morning,Morning,Morning,AM Peak,AM Peak,AM Peak,AM Peak,Midday,Midday,Midday,Midday,PM Peak,PM Peak,PM Peak,PM Peak,Evening,Evening,Evening,Evening,Late,Late,Late,Late,Morning,Morning,Morning,Morning,AM Peak,AM Peak,AM Peak,AM Peak,Midday,Midday,Midday,Midday,PM Peak,PM Peak,PM Peak,PM Peak,Evening,Evening,Evening,Evening,Late,Late,Late,Late
,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk
(7, 102),9.999999999998899e-05,2,0.850987278632286,7,9.999999999998899e-05,2,0.8509872786322858,8,9.999999999998899e-05,2,0.850987278632286,8,9.999999999998899e-05,2,0.8509872786322862,8,9.999999999998899e-05,2,0.8509872786322861,8,9.999999999998899e-05,2,0.8509872786322862,8,9.999999999998899e-05,2,0.8509872786322858,8,9.999999999998899e-05,2,0.8509872786322864,8,9.999999999998899e-05,2,0.8509872786322854,8,9.999999999998899e-05,2,0.8509872786322863,8,9.999999999998899e-05,2,0.8509872786322861,8,9.999999999998899e-05,2,0.8509872786322862,7,9.999999999998899e-05,2,0.8509872786322863,8,9.999999999998899e-05,2,0.850987278632286,8,9.999999999998899e-05,2,0.8509872786322861,8,9.999999999998899e-05,2,0.8509872786322858,8,9.999999999998899e-05,2,0.8509872786322861,7,9.999999999998899e-05,2,0.1377251521502845,10,0.9999,216,0.0,89,9.999999999998899e-05,2,0.8509872786322856,8,9.999999999998899e-05,2,0.8509872786322857,8,9.999999999998899e-05,2,0.8509872786322857,8,9.999999999998899e-05,2,0.8509872786322862,8,9.999999999998899e-05,2,0.8509872786322861,8
(102, 107),0.2833632878944359,202,0.4133577050584333,107,0.2833632878944359,202,0.4133577050584333,110,0.28336328789443577,202,0.41335770505843317,107,0.2833632878944359,202,0.41335770505843356,106,0.2833632878944359,202,0.4133577050584333,107,0.2833632878944359,202,0.4133577050584335,103,0.28336328789443577,202,0.41335770505843317,105,0.283363287894436,202,0.41335770505843333,107,0.28336328789443577,202,0.4133577050584332,107,0.2833632878944359,202,0.41335770505843344,107,0.2833632878944359,202,0.4133577050584333,107,0.2833632878944359,202,0.4133577050584332,105,0.2833632878944359,202,0.4133577050584333,109,0.2833632878944359,202,0.4133577050584333,107,0.2833632878944359,202,0.4133577050584332,105,0.2833632878944359,202,0.4133577050584332,107,0.2833632878944359,202,0.4133577050584334,105,0.1250000000000001,26,0.1377251521502845,11,0.9997000299990002,120,0.0,90,0.28336328789443577,202,0.41335770505843317,108,0.2833632878944359,202,0.41335770505843306,108,0.2833632878944359,202,0.41335770505843333,108,0.2833632878944359,202,0.4133577050584334,109,0.2833632878944359,202,0.4133577050584333,106
(102, 7),0.040416373264971606,32,0.7911426270819955,17,0.040416373264971606,33,0.7911426270819951,17,0.040416373264971606,33,0.7911426270819949,17,0.040416373264971606,33,0.7911426270819957,17,0.040416373264971606,33,0.7911426270819952,17,0.040416373264971606,32,0.7911426270819956,17,0.040416373264971606,32,0.7911426270819949,17,0.040416373264971606,33,0.7911426270819957,17,0.040416373264971606,33,0.7911426270819948,17,0.040416373264971606,33,0.7911426270819957,17,0.040416373264971606,33,0.7911426270819952,17,0.040416373264971606,33,0.7911426270819951,17,0.040416373264971606,33,0.7911426270819952,17,0.040416373264971606,33,0.7911426270819953,17,0.040416373264971606,33,0.7911426270819952,17,0.040416373264971606,33,0.7911426270819953,17,0.040416373264971606,33,0.7911426270819956,17,0.1250000000000001,27,0.1377251521502845,12,0.9997000299990002,121,0.0,91,0.040416373264971606,33,0.7911426270819949,17,0.040416373264971606,33,0.7911426270819949,17,0.040416373264971606,33,0.7911426270819952,17,0.040416373264971606,33,0.7911426270819955,17,0.040416373264971606,33,0.7911426270819956,17
(107, 58),0.07484060464386655,60,0.567517165218695,46,0.07484060464386655,59,0.5675171652186952,46,0.07484060464386655,60,0.5675171652186949,46,0.07484060464386655,59,0.5675171652186952,46,0.07484060464386655,58,0.5675171652186952,46,0.07484060464386655,59,0.5675171652186953,42,0.07484060464386655,61,0.567517165218695,46,0.07484060464386677,60,0.5675171652186949,46,0.07484060464386655,59,0.5675171652186949,46,0.07484060464386655,59,0.5675171652186951,46,0.07484060464386655,59,0.5675171652186949,46,0.07484060464386677,58,0.5675171652186951,42,0.07484060464386655,59,0.567517165218695,46,0.07484060464386655,60,0.5675171652186951,46,0.07484060464386677,58,0.5675171652186947,46,0.07484060464386677,58,0.567517165218695,46,0.07484060464386655,59,0.5675171652186952,42,0.1250000000000001,28,0.1377251521502845,13,0.9997000299990002,122,0.0,92,0.07484060464386655,58,0.567517165218695,46,0.07484060464386655,59,0.5675171652186948,46,0.07484060464386655,58,0.5675171652186952,46,0.07484060464386677,59,0.5675171652186951,46,0.07484060464386655,58,0.567517165218695,42
(107, 102),0.19368508604636714,177,0.41335770505843344,106,0.19368508604636714,177,0.4133577050584334,109,0.19368508604636714,176,0.4133577050584331,108,0.19368508604636714,179,0.4133577050584334,107,0.19368508604636714,179,0.41335770505843344,106,0.19368508604636725,178,0.41335770505843333,104,0.19368508604636747,177,0.41335770505843306,106,0.19368508604636703,177,0.41335770505843356,106,0.19368508604636714,177,0.4133577050584331,108,0.19368508604636714,178,0.4133577050584333,108,0.19368508604636714,178,0.4133577050584333,108,0.19368508604636714,179,0.4133577050584335,104,0.19368508604636747,177,0.4133577050584329,110,0.19368508604636714,176,0.4133577050584333,108,0.19368508604636714,179,0.4133577050584332,106,0.19368508604636714,179,0.41335770505843356,106,0.19368508604636714,178,0.41335770505843344,104,0.1250000000000001,29,0.1377251521502845,14,0.9997000299990002,123,0.0,93,0.19368508604636714,178,0.4133577050584332,107,0.19368508604636714,177,0.41335770505843306,109,0.19368508604636714,179,0.4133577050584334,107,0.19368508604636714,178,0.41335770505843344,108,0.19368508604636714,179,0.41335770505843344,105
(58, 57),0.18270361975304583,170,0.45543889170939433,81,0.18270361975304583,169,0.4554388917093942,82,0.18270361975304605,169,0.45543889170939417,82,0.18270361975304583,170,0.4554388917093943,82,0.18270361975304583,171,0.45543889170939433,82,0.18270361975304583,171,0.45543889170939467,78,0.18270361975304572,169,0.45543889170939444,79,0.18270361975304583,169,0.45543889170939456,82,0.18270361975304572,169,0.4554388917093942,81,0.18270361975304583,170,0.4554388917093944,82,0.18270361975304583,171,0.4554388917093943,82,0.18270361975304583,172,0.4554388917093945,78,0.18270361975304583,169,0.45543889170939417,82,0.1827036197530456,169,0.45543889170939433,82,0.18270361975304605,172,0.45543889170939417,81,0.18270361975304583,172,0.4554388917093943,81,0.18270361975304583,171,0.4554388917093945,78,0.1250000000000001,30,0.1377251521502845,15,0.9997000299990002,124,0.0,94,0.18270361975304583,169,0.4554388917093943,82,0.1827036197530456,169,0.4554388917093944,82,0.18270361975304583,171,0.45543889170939444,82,0.18270361975304583,171,0.45543889170939444,82,0.18270361975304583,172,0.45543889170939433,78
(58, 107),0.0809386049898091,69,0.5974394909938407,42,0.0809386049898091,70,0.5974394909938405,43,0.0809386049898091,69,0.5974394909938406,43,0.0809386049898091,68,0.5974394909938409,43,0.0809386049898091,68,0.5974394909938407,43,0.0809386049898092,68,0.5974394909938407,39,0.0809386049898092,70,0.5974394909938404,43,0.0809386049898092,69,0.5974394909938409,43,0.0809386049898092,69,0.5974394909938402,43,0.0809386049898091,68,0.5974394909938406,43,0.0809386049898091,67,0.5974394909938405,43,0.0809386049898092,67,0.5974394909938405,39,0.0809386049898091,70,0.5974394909938405,43,0.0809386049898092,69,0.5974394909938401,43,0.08093860498980887,67,0.597439490993841,43,0.0809386049898091,67,0.5974394909938407,43,0.0809386049898091,68,0.597439490993841,39,0.1250000000000001,31,0.1377251521502845,16,0.9997000299990002,125,0.0,95,0.0809386049898091,69,0.5974394909938404,43,0.0809386049898092,69,0.5974394909938402,43,0.0809386049898091,68,0.5974394909938406,43,0.0809386049898091,67,0.5974394909938407,43,0.0809386049898091,67,0.5974394909938406,39
(57, 106),0.08617890629259262,74,0.5378305755611048,54,0.08617890629259228,74,0.5378305755611051,54,0.08617890629259262,72,0.5378305755611049,53,0.0861789062925924,73,0.5378305755611054,53,0.08617890629259262,73,0.5378305755611053,53,0.08617890629259262,72,0.5378305755611053,49,0.08617890629259262,72,0.5378305755611051,53,0.0861789062925924,72,0.5378305755611057,53,0.08617890629259262,72,0.5378305755611049,53,0.0861789062925924,72,0.5378305755611054,53,0.0861789062925924,72,0.5378305755611051,53,0.0861789062925924,72,0.5378305755611053,49,0.08617890629259262,72,0.5378305755611053,54,0.0861789062925924,72,0.5378305755611053,53,0.08617890629259262,74,0.537830575561105,53,0.08617890629259262,72,0.5378305755611051,53,0.08617890629259262,72,0.5378305755611054,49,0.1250000000000001,32,0.1377251521502845,17,0.9997000299990002,126,0.0,96,0.0861789062925924,73,0.5378305755611053,53,0.08617890629259262,73,0.5378305755611048,53,0.08617890629259262,72,0.537830575561105,53,0.08617890629259262,72,0.537830575561105,53,0.0861789062925924,73,0.5378305755611053,50
(57, 58),0.17401553668709613,165,0.4255165659342492,102,0.17401553668709657,167,0.4255165659342485,103,0.17401553668709624,166,0.4255165659342491,103,0.17401553668709635,165,0.4255165659342491,102,0.17401553668709624,166,0.42551656593424936,103,0.17401553668709624,167,0.42551656593424914,99,0.17401553668709624,167,0.425516565934249,102,0.17401553668709657,166,0.4255165659342492,103,0.17401553668709635,166,0.42551656593424886,104,0.17401553668709635,166,0.4255165659342489,104,0.17401553668709635,166,0.42551656593424897,104,0.17401553668709657,168,0.4255165659342488,100,0.17401553668709624,167,0.42551656593424914,103,0.17401553668709635,166,0.4255165659342489,103,0.17401553668709635,164,0.4255165659342489,102,0.17401553668709624,167,0.425516565934249,103,0.17401553668709624,168,0.42551656593424925,99,0.1250000000000001,33,0.1377251521502845,18,0.9997000299990002,127,0.0,97,0.17401553668709657,165,0.4255165659342488,102,0.17401553668709624,166,0.42551656593424886,104,0.17401553668709635,167,0.4255165659342489,104,0.17401553668709624,167,0.42551656593424914,104,0.17401553668709635,165,0.42551656593424897,100
(106, 6),0.08909191581761444,78,0.42563118543549344,101,0.08609635395022397,73,0.4332499658909048,96,0.08441879045468192,70,0.4376569271277727,93,0.08227045020179946,69,0.4434565939284794,89,0.08210601340615908,69,0.4439079808301246,90,0.0864629448485077,73,0.4323006433012136,94,0.08761061788469093,74,0.42935957968417743,97,0.08646439478526646,74,0.43229689814460037,98,0.0854105413160331,71,0.4350390384333058,94,0.08384285256828117,69,0.43919420739386766,92,0.0825462825029134,69,0.44270184689857683,91,0.08418532160698622,69,0.4382785755374187,89,0.08665115633879361,74,0.4318151259661816,98,0.08471272241588912,70,0.43687721324881895,93,0.08206105687526244,68,0.44403157752679495,89,0.08223274528483338,68,0.44356000001637685,90,0.08466596950437721,71,0.43700101747275255,90,0.13168724279835398,180,0.1377251521502845,19,0.9995000999900006,97,0.0,98,0.08171120171083412,70,0.4449962015437144,90,0.08486231320458715,71,0.4364816389965403,94,0.08255359133754858,69,0.4426818892504099,91,0.08172961056585193,68,0.4449453210307702,89,0.08245773524777622,68,0.4429438043774841,87
