,alpha,alpha_rnk,distance,distance_rnk
"(0, 37)",0.03345541838134447,19.0,0.2961165048543689,35.0
"(0, 40)",0.31135939643347066,80.0,0.14077669902912623,77.0
"(37, 0)",0.026690842714459873,15.0,0.2961165048543689,36.0
"(37, 36)",0.34469243116584125,83.0,0.1262135922330097,83.0
"(40, 0)",0.32111320580258074,81.0,0.14077669902912623,78.0
"(40, 35)",0.03132063162653087,17.0,0.30582524271844663,31.0
"(1, 28)",0.1250000000000001,44.0,0.15048543689320384,73.0
"(1, 22)",0.1250000000000001,45.0,0.15048543689320384,74.0
"(28, 1)",0.18567692866158814,59.0,0.15048543689320384,75.0
"(28, 41)",0.7439223149212238,90.0,0.02912621359223301,89.0
"(28, 5)",0.032821167904107273,18.0,0.27184466019417475,39.0
"(28, 43)",0.044648268809664104,26.0,0.2524271844660194,43.0
"(22, 14)",0.02807272466849109,16.0,0.3446601941747573,27.0
"(22, 1)",0.3372675290800674,82.0,0.15048543689320384,76.0
"(2, 33)",9.999999999998899e-05,3.0,1.0,1.0
"(33, 24)",0.25085046026363866,70.0,0.49029126213592233,9.0
"(33, 39)",0.21370292599385765,66.0,0.5388349514563108,7.0
"(33, 2)",0.033558141099971905,20.0,1.0,2.0
"(3, 17)",9.999999999998899e-05,4.0,0.36893203883495146,19.0
"(17, 12)",0.3042323880360136,79.0,0.1796116504854369,63.0
"(17, 3)",0.03510506986985207,21.0,0.36893203883495146,20.0
"(4, 31)",0.1250000000000001,46.0,0.22815533980582522,49.0
"(4, 12)",0.1250000000000001,47.0,0.22815533980582522,50.0
"(31, 4)",0.19924914945418848,64.0,0.22815533980582522,51.0
"(31, 29)",0.07195454699815729,33.0,0.3203883495145631,29.0
"(12, 17)",0.17516838084440134,58.0,0.1796116504854369,64.0
"(12, 4)",0.08546087085627918,36.0,0.22815533980582522,52.0
"(5, 15)",0.4000583175390001,85.0,0.0970873786407767,85.0
"(5, 28)",0.01822423093745451,13.0,0.27184466019417475,40.0
"(15, 5)",0.4878784084451423,88.0,0.0970873786407767,86.0
"(15, 8)",0.009631777159203603,10.0,0.3592233009708738,23.0
"(6, 14)",0.23813743924143738,69.0,0.2233009708737864,53.0
"(6, 30)",0.054943634455714485,30.0,0.3640776699029126,21.0
"(14, 6)",0.22346909022341865,68.0,0.2233009708737864,54.0
"(14, 22)",0.060773732480942644,31.0,0.3446601941747573,28.0
"(30, 6)",0.16228399699474094,54.0,0.3640776699029126,22.0
"(30, 36)",0.09391435011269733,40.0,0.4368932038834952,13.0
"(7, 41)",1.000088900582341e-12,1.0,0.043689320388349516,87.0
"(7, 19)",0.9997000299990002,91.0,0.0,91.0
"(41, 28)",0.5348249858964669,89.0,0.02912621359223301,90.0
"(41, 7)",0.378787441270494,84.0,0.043689320388349516,88.0
"(41, 43)",0.0022009258678865606,9.0,0.17475728155339806,67.0
"(19, 34)",1.000088900582341e-12,2.0,0.1796116504854369,65.0
"(19, 7)",0.9997000299990002,92.0,0.0,92.0
"(8, 35)",0.25473081713765877,71.0,0.30582524271844663,32.0
"(8, 32)",0.1946909516469736,61.0,0.3592233009708738,24.0
"(8, 15)",0.1946909516469736,62.0,0.3592233009708738,25.0
"(8, 42)",0.026204671253328815,14.0,0.6990291262135924,3.0
"(35, 40)",0.1250000000000001,48.0,0.30582524271844663,33.0
"(35, 8)",0.1250000000000001,49.0,0.30582524271844663,34.0
"(32, 10)",0.26644135777102007,74.0,0.1990291262135922,57.0
"(32, 8)",0.04531667625544511,27.0,0.3592233009708738,26.0
"(42, 27)",0.4027018661811562,86.0,0.24757281553398058,47.0
