,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun
,Morning,Morning,Morning,Morning,AM Peak,AM Peak,AM Peak,AM Peak,Midday,Midday,Midday,Midday,PM Peak,PM Peak,PM Peak,PM Peak,Evening,Evening,Evening,Evening,Late,Late,Late,Late,Morning,Morning,Morning,Morning,AM Peak,AM Peak,AM Peak,AM Peak,Midday,Midday,Midday,Midday,PM Peak,PM Peak,PM Peak,PM Peak,Evening,Evening,Evening,Evening,Late,Late,Late,Late,Morning,Morning,Morning,Morning,AM Peak,AM Peak,AM Peak,AM Peak,Midday,Midday,Midday,Midday,PM Peak,PM Peak,PM Peak,PM Peak,Evening,Evening,Evening,Evening,Late,Late,Late,Late,Morning,Morning,Morning,Morning,AM Peak,AM Peak,AM Peak,AM Peak,Midday,Midday,Midday,Midday,PM Peak,PM Peak,PM Peak,PM Peak,Evening,Evening,Evening,Evening,Late,Late,Late,Late
,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk
"(38, 36)",0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,87,0.0,1,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,87,0.0,4,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,87,0.0,1,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,92,0.0,90,0.9999,87,0.0,1
"(36, 37)",0.16101215379342138,59,0.16795088210089276,70,0.1890179590373201,63,0.1678326274048934,72,0.19880592862095947,63,0.16896386767882593,72,0.21422623985152456,68,0.16877088247637934,72,0.22301921765303234,68,0.1687838317043759,72,0.9995000999900006,9,0.0,2,0.18879437907298036,63,0.1674519539277415,71,0.200006572366774,64,0.16745079866279236,72,0.20236804564027366,64,0.16758697743890585,72,0.21148804069383909,65,0.1675117741953108,72,0.223071116827935,68,0.1682004682063804,72,0.9995000999900006,12,0.0,5,0.16006495239555485,59,0.16797285470173617,70,0.18725233713735512,63,0.16754813690508738,72,0.201702576798661,63,0.16889948244597244,72,0.22048320260001264,68,0.16881405399532926,72,0.2277118803239535,68,0.16870970348800057,72,0.9995000999900006,9,0.0,2,0.1966152930274102,65,0.1678525165635989,71,0.19912587210264165,65,0.1675959060164291,72,0.20972658660177512,66,0.167371398431795,72,0.2289767384394722,68,0.16831818489252443,72,0.23260945142286615,69,0.1682212492557213,72,0.9995000999900006,9,0.0,2
"(36, 30)",0.13991562578838979,49,0.1785019673002486,69,0.09548439322642088,35,0.22201920002214193,58,0.0823204035380184,31,0.24058787528101727,48,0.0675176020703856,28,0.2652005535034497,44,0.060279930331798126,25,0.2798076640422099,40,0.9995000999900006,10,0.0,3,0.09636716384284894,35,0.2207029273574119,56,0.08304332000945014,34,0.23854285388782687,53,0.08032605630109024,31,0.24269399405596495,48,0.07140124438217677,29,0.2572461716772197,44,0.06081169931335739,25,0.27822715727969216,40,0.9995000999900006,13,0.0,6,0.14174632052784808,50,0.17708726442935244,69,0.09822484252441743,37,0.21850870510771828,60,0.07932313763016619,30,0.24510191607377604,48,0.06224285842196231,25,0.2756710311038892,39,0.05683877317499353,25,0.2874490258907374,39,0.9995000999900006,10,0.0,3,0.08627737722546036,33,0.23416555286361385,50,0.08381364727149465,34,0.23751343891563423,53,0.07322154817428594,29,0.25399981318928794,44,0.05628560620081369,24,0.2884339090116749,36,0.05382952060127244,25,0.29426549808741576,39,0.9995000999900006,10,0.0,3
"(36, 38)",0.10017914594443433,37,0.2024413895450185,62,0.12354184310545357,45,0.20244138954501847,64,0.13421811928458172,49,0.20244138954501834,65,0.14743856972006886,52,0.20244138954501867,64,0.1553247089367944,55,0.2024413895450183,66,0.9995000999900006,11,0.0,4,0.12262294952954722,44,0.2024413895450185,63,0.1322894237526011,47,0.20244138954501847,64,0.13461337903298198,49,0.20244138954501878,64,0.1424556281155751,50,0.20244138954501847,64,0.1541594409247502,55,0.20244138954501836,65,0.9995000999900006,14,0.0,7,0.09943682259343067,37,0.20244138954501856,62,0.12148718198134145,45,0.2024413895450187,63,0.1366297145170181,49,0.20244138954501853,65,0.15311274434866684,54,0.20244138954501856,66,0.1593936175127817,57,0.20244138954501853,66,0.9995000999900006,11,0.0,4,0.13013435920340255,48,0.2024413895450185,62,0.1318100595349272,47,0.20244138954501853,64,0.14062210286041132,49,0.20244138954501847,64,0.15971224255446415,58,0.20244138954501847,65,0.16278819518533394,58,0.20244138954501856,64,0.9995000999900006,11,0.0,4
"(37, 0)",0.030523794955262695,15,0.32239967507533723,28,0.026834607623682505,14,0.3233996385603017,28,0.025037188437094238,14,0.32409385802426866,29,0.028997824834876118,15,0.3225999162551507,28,0.0277732089586481,14,0.32414096094126343,27,0.9997000299990002,21,0.0,5,0.03035926987706783,15,0.32064973381043155,28,0.027933540721559513,14,0.3234727643133956,27,0.028941314958971454,15,0.3233457861913823,27,0.028969219850628725,15,0.3208348704080097,27,0.02769425938840664,14,0.325463208387964,25,0.9997000299990002,24,0.0,8,0.030620758243785184,15,0.3222051499671559,28,0.025667436670718802,14,0.32272495379041033,28,0.024008449375158225,13,0.32379254415850994,29,0.02758105890012441,14,0.321836314033797,28,0.025912805117844107,14,0.3236728652160782,28,0.9997000299990002,21,0.0,5,0.028099718167928445,14,0.32292117914951535,28,0.029348849780447717,15,0.3220978899973336,28,0.029178196659229494,15,0.3195332344365909,27,0.025554448446129197,14,0.32287629125674006,28,0.02144411198270424,13,0.3275945753905322,25,0.9997000299990002,21,0.0,5
"(37, 36)",0.3249210853880977,80,0.14655978059413965,73,0.3439031059964367,82,0.1381950796692136,77,0.3540734413063852,82,0.13401956460546993,77,0.33248993253491244,81,0.1430627463102957,77,0.3388467413591356,82,0.1408017863411625,77,0.9997000299990002,22,0.0,6,0.3257193169940983,81,0.14538295307836874,75,0.3379993679083819,82,0.14089894890050383,75,0.33277754469786647,81,0.14325901291680374,77,0.3326354527422062,80,0.14221246110702235,77,0.33926572026344104,81,0.1411838952180585,77,0.9997000299990002,25,0.0,9,0.32445259706733753,81,0.1466968222710764,73,0.35043083179542256,82,0.13502865565345265,77,0.3602089094823937,83,0.1312814599647513,78,0.339868462279207,82,0.13933762445163017,77,0.34903550529017136,82,0.13603622322943248,77,0.9997000299990002,22,0.0,6,0.33712599774830876,81,0.14105866503468267,75,0.3307153553378188,81,0.14367023042640364,75,0.33157550935447766,81,0.14212638267041403,77,0.3510776045762196,82,0.13481057191662466,77,0.3766427577477488,84,0.12602678291946098,78,0.9997000299990002,22,0.0,6
"(0, 40)",0.18681412736409253,63,0.18109613852071402,65,0.1821326181591738,62,0.18099288746681974,69,0.17056909196637127,60,0.18260201375839383,69,0.1845146118821328,62,0.18232271944075795,69,0.17055704107223568,60,0.18252983908719936,69,0.9997000299990002,23,0.0,7,0.19961099937390347,65,0.18116688756883267,68,0.19733258692476274,63,0.18099476166303538,69,0.19586522680057272,62,0.18109742989805774,69,0.1873204976209768,62,0.18094893299536072,69,0.15858070294561388,57,0.1817083169210663,69,0.9997000299990002,26,0.0,10,0.18717553384174979,63,0.1812001028481073,65,0.1771565245773885,60,0.18064225691497288,69,0.167694116676393,60,0.18240340665986426,69,0.17832048632509245,60,0.18236241678511447,69,0.14592093625843006,52,0.18244241256707822,69,0.9997000299990002,23,0.0,7,0.1799030486220502,61,0.1816339292853973,68,0.19800802175548737,63,0.18104392639864114,68,0.184071791014619,63,0.18078908512144928,69,0.15363158483818784,55,0.1819342460879533,69,0.13522573356709744,49,0.18185186370778647,69,0.9997000299990002,23,0.0,7
"(0, 37)",0.07859064156386308,30,0.2416882203711642,47,0.08127123134546066,30,0.2368527721930098,52,0.08836891439466832,33,0.22735569395109742,54,0.07989416857607967,31,0.24099758139515742,48,0.0883766883437005,33,0.22725381400755498,54,0.9997000299990002,24,0.0,8,0.07177131361655298,28,0.25477492429379167,41,0.07293401168806479,29,0.25220609318826,45,0.07369423298492883,30,0.25085353908385283,44,0.078306940930436,31,0.24200130501990935,48,0.09652980690172641,36,0.21440641380414993,60,0.9997000299990002,27,0.0,11,0.0783880366747729,30,0.24219111369856866,47,0.08423924364131452,32,0.23143742124954675,52,0.0902471128283957,33,0.22424758858346944,56,0.08353366565100295,33,0.2348092704524184,54,0.10618083604185302,40,0.20283814441304648,65,0.9997000299990002,24,0.0,8,0.08258553052785622,31,0.23545531486785473,49,0.07258709945546793,29,0.2529638178814463,43,0.08014808544738372,30,0.23852664640086946,52,0.10016687886934206,37,0.20981341140716225,62,0.11530322609912436,43,0.19177429081781616,66,0.9997000299990002,24,0.0,8
