,alpha,alpha_rnk,speed,speed_rnk
"(0, 37)",0.032802336008386,17.0,0.681283821608509,13.0
"(0, 40)",0.3142770310525673,80.0,0.3207688001492815,69.0
"(37, 0)",0.026793236383447327,13.0,0.681283821608509,14.0
"(37, 36)",0.3441298371389756,85.0,0.29091248367232686,77.0
"(40, 0)",0.3229484963484762,83.0,0.3207688001492815,70.0
"(40, 35)",0.03093408764510841,16.0,0.7010636312744915,9.0
"(1, 28)",0.12644786214155668,49.0,0.33830938607949246,62.0
"(1, 22)",0.12356323253299961,44.0,0.340921813771226,60.0
"(28, 1)",0.10237503496340883,40.0,0.33830938607949246,63.0
"(28, 41)",0.7040359472342633,90.0,0.05952603097592833,89.0
"(28, 5)",0.006422950631748581,11.0,0.6254898301922001,19.0
"(28, 43)",0.2965408009500945,77.0,0.19406605710020525,84.0
"(22, 14)",0.02762118298874927,14.0,0.7869005411457362,6.0
"(22, 1)",0.3396545494406754,84.0,0.340921813771226,61.0
"(2, 33)",9.999999999998899e-05,3.0,0.6434036200783728,17.0
"(33, 24)",0.12929599691069793,50.0,0.4709833924239597,35.0
"(33, 39)",0.3165018435564575,81.0,0.2883000559805934,79.0
"(33, 2)",0.04647460401125114,25.0,0.6434036200783728,18.0
"(3, 17)",9.999999999998899e-05,4.0,0.3330845306960254,64.0
"(17, 12)",0.0896030003892272,36.0,0.4112707594700503,46.0
"(17, 3)",0.16867187069804013,59.0,0.3330845306960254,65.0
"(4, 31)",0.12452600267267067,45.0,0.5167008770292966,29.0
"(4, 12)",0.1254751986233169,48.0,0.5153946631834297,31.0
"(31, 4)",0.04231539365438641,22.0,0.5167008770292966,30.0
"(31, 29)",0.27656809423488715,74.0,0.2763575293898115,80.0
"(12, 17)",0.17204849464513594,62.0,0.4112707594700503,47.0
"(12, 4)",0.08742076948830546,33.0,0.5153946631834297,32.0
"(5, 15)",0.41303322757819516,87.0,0.2144056727001306,82.0
"(5, 28)",0.01663539231081146,12.0,0.6254898301922001,20.0
"(15, 5)",0.21275854680522022,67.0,0.2144056727001306,83.0
"(15, 8)",0.06545885948185381,28.0,0.3175965665236052,71.0
"(6, 14)",0.23983520146573034,69.0,0.5114760216458295,33.0
"(6, 30)",0.05430894549863852,26.0,0.8391490949804067,5.0
"(14, 6)",0.22261659194119865,68.0,0.5114760216458295,34.0
"(14, 22)",0.06113273603916658,27.0,0.7869005411457362,7.0
"(30, 6)",0.17071105948974852,60.0,0.32711326740063446,66.0
"(30, 36)",0.0882773939710294,35.0,0.40753871991043095,50.0
"(7, 41)",1.000088900582341e-12,1.0,0.09348759096846425,87.0
"(7, 19)",0.9997000299990002,91.0,0.0,91.0
"(41, 28)",0.5648584156047931,88.0,0.05952603097592833,90.0
"(41, 7)",0.39498933168162065,86.0,0.09348759096846425,88.0
"(41, 43)",0.0016454391861939754,9.0,0.3983952229893637,51.0
"(19, 34)",1.000088900582341e-12,2.0,0.40809852584437384,48.0
"(19, 7)",0.9997000299990002,92.0,0.0,92.0
"(8, 35)",0.02795876352440696,15.0,0.6995708154506437,11.0
"(8, 32)",0.2458088942819313,70.0,0.3175965665236052,72.0
"(8, 15)",0.2458088942819313,71.0,0.3175965665236052,73.0
"(8, 42)",0.15109164135424957,54.0,0.4136965851838029,45.0
"(35, 40)",0.12460074557768297,46.0,0.7010636312744915,10.0
"(35, 8)",0.12540010639195398,47.0,0.6995708154506437,12.0
"(32, 10)",0.06958365038374881,30.0,0.4545624183616346,39.0
"(32, 8)",0.20401419822307598,65.0,0.3175965665236052,74.0
"(42, 27)",0.17167735182829158,61.0,0.569882440753872,26.0
"(42, 8)",0.08765748189071676,34.0,0.7130061578652733,8.0
"(9, 34)",0.16455155637448404,57.0,0.36387385706288483,55.0
"(9, 26)",0.09235563778523015,38.0,0.441127075947005,41.0
"(34, 9)",0.14773717369104422,53.0,0.36387385706288483,56.0
"(34, 19)",0.10472425304512756,41.0,0.40809852584437384,49.0
"(26, 9)",0.07553173927379941,31.0,0.441127075947005,42.0
"(26, 20)",0.1923892042515396,64.0,0.3230080238850532,67.0
"(10, 32)",0.10166777411676942,39.0,0.4545624183616346,40.0
"(10, 29)",0.15165389401699303,55.0,0.39783541705542075,53.0
"(29, 10)",0.06887494909240799,29.0,0.39783541705542075,54.0
"(29, 31)",0.20547439782801014,66.0,0.2763575293898115,81.0
"(11, 20)",0.04312804722070007,23.0,0.5818249673446538,23.0
"(11, 18)",0.2737548772722703,73.0,0.31423773091994767,75.0
"(20, 11)",0.045491960279701704,24.0,0.5818249673446538,24.0
"(20, 26)",0.2658714965879001,72.0,0.3230080238850532,68.0
"(18, 13)",0.034558479979070356,18.0,0.6504944952416495,15.0
"(18, 11)",0.3065564929528499,79.0,0.31423773091994767,76.0
"(13, 16)",0.14256692213872957,52.0,0.5947005038253406,21.0
"(13, 18)",0.10893885739618803,42.0,0.6504944952416495,16.0
"(16, 13)",0.07718132242980758,32.0,0.5947005038253406,22.0
"(16, 23)",0.1893508421672221,63.0,0.4409404739690241,43.0
"(23, 16)",9.999999999998899e-05,5.0,0.4409404739690241,44.0
"(21, 25)",0.11409067822311159,43.0,0.36219443926105604,57.0
"(21, 44)",0.13658348627013872,51.0,0.3411084157492069,58.0
"(25, 21)",0.03889213042276107,20.0,0.9089382347452882,2.0
"(25, 27)",0.2890562599730051,76.0,0.4657585370404926,37.0
"(44, 21)",9.999999999998899e-05,6.0,0.3411084157492069,59.0
"(24, 43)",0.040961785411323226,21.0,0.8953162903526777,3.0
"(24, 33)",0.2813789192753643,75.0,0.4709833924239597,36.0
"(43, 24)",0.03816386962732521,19.0,0.8953162903526777,4.0
"(43, 28)",0.15985918176014957,56.0,0.5730546743795484,25.0
"(43, 41)",0.30111286512818214,78.0,0.3983952229893637,52.0
"(27, 42)",0.09096090940319435,37.0,0.569882440753872,27.0
"(27, 25)",0.16662039081594382,58.0,0.4657585370404926,38.0
"(36, 37)",0.32233831063706253,82.0,0.29091248367232686,78.0
"(36, 30)",0.002574385108889521,10.0,1.0,1.0
