,alpha,alpha_rnk,speed,speed_rnk
"(0, 105)",0.0383214460641399,32.0,0.5416564266404522,27.0
"(0, 74)",0.29124590087463553,210.0,0.27549766527402314,191.0
"(105, 85)",0.1444938772747978,137.0,0.37466207913492255,119.0
"(105, 55)",0.1088468292554291,112.0,0.4230769230769231,84.0
"(105, 54)",0.17984646806332827,174.0,0.3362005406733841,145.0
"(105, 36)",0.1485319484268839,145.0,0.369869746866552,121.0
"(105, 0)",0.10242269617193789,96.0,0.4332759891865323,74.0
"(74, 0)",0.048050030509110164,39.0,0.4132464979110347,90.0
"(74, 34)",0.25780549810024656,203.0,0.2360530842958958,200.0
"(1, 67)",0.09962877615752275,94.0,0.5131481936593757,35.0
"(1, 62)",0.1543496394260251,153.0,0.4434750552961416,68.0
"(67, 90)",0.05172459551143116,43.0,0.4320471860407962,77.0
"(67, 1)",0.24697455942072977,199.0,0.25657409682968785,194.0
"(62, 1)",0.0323222301607089,29.0,0.4434750552961416,69.0
"(62, 98)",0.31645846478320383,212.0,0.20729909068567218,204.0
"(2, 104)",0.1430456278575123,135.0,0.45514868518063406,59.0
"(2, 89)",0.10853968424638993,111.0,0.4990169574834112,41.0
"(104, 82)",0.14720749007628542,141.0,0.4068567215532072,93.0
"(104, 2)",0.10514642620838921,105.0,0.45514868518063406,60.0
"(89, 2)",0.009274683492658364,16.0,0.4990169574834112,42.0
"(89, 88)",0.9995000999900006,220.0,0.0,219.0
"(89, 83)",0.0829769731839134,75.0,0.3219464241828459,157.0
"(3, 64)",0.11955757400851141,119.0,0.4359793561071516,72.0
"(3, 47)",0.1306051338976545,126.0,0.42332268370607035,82.0
"(64, 87)",0.15166950282376113,152.0,0.3815433767510445,111.0
"(64, 3)",0.10165581889562403,95.0,0.4359793561071516,73.0
"(47, 32)",0.1025914740694649,97.0,0.4809535512410912,48.0
"(47, 3)",0.15045480259025124,151.0,0.42332268370607035,83.0
"(4, 60)",0.011931947945749144,19.0,0.17424428606537232,215.0
"(4, 11)",0.45918973539032715,216.0,0.051609732120914235,218.0
"(60, 4)",9.999999999998899e-05,1.0,0.4064880806094863,95.0
"(11, 59)",0.10455750209855674,103.0,0.3767510444826739,113.0
"(11, 4)",0.1479471319300547,143.0,0.3355861391005161,146.0
"(5, 29)",0.4740751440510992,217.0,0.2009093143278447,208.0
"(5, 27)",0.010685993097786506,17.0,0.7112312607520276,6.0
"(29, 5)",9.999999999998899e-05,2.0,0.33484885721307445,147.0
"(27, 75)",0.025436317772078,26.0,1.0,1.0
"(27, 5)",0.24263550199985906,198.0,0.47419513393954293,53.0
"(27, 82)",0.26514623024572936,205.0,0.4482673875645121,63.0
"(6, 106)",0.14844589883029125,144.0,0.4911526173507004,43.0
"(6, 88)",0.1041627159384283,102.0,0.5527156549520766,23.0
"(106, 6)",0.05593035652707601,45.0,0.4911526173507004,44.0
"(106, 95)",0.9995000999900006,221.0,0.0,220.0
"(106, 57)",0.01616949847271687,21.0,0.62951585156058,14.0
"(88, 89)",0.9995000999900006,222.0,0.0,221.0
"(88, 48)",0.050364817748226653,42.0,0.4520766773162939,61.0
"(88, 6)",0.01843652006546992,22.0,0.5527156549520766,24.0
"(7, 102)",9.999999999998899e-05,3.0,0.6769476529859917,8.0
"(102, 7)",0.0844247560772694,78.0,0.4061194396657655,96.0
"(102, 107)",0.17685241206685576,171.0,0.3173998525436225,161.0
"(8, 100)",0.20868063946764126,184.0,0.3252641926763332,155.0
"(8, 19)",0.06734721592352333,62.0,0.47419513393954293,54.0
"(100, 101)",0.25212723147761484,201.0,0.189604325387073,209.0
"(100, 8)",0.04994082463963223,40.0,0.3252641926763332,156.0
"(19, 49)",0.08700004235702086,82.0,0.5959695256819858,18.0
"(19, 8)",0.1727111373582788,167.0,0.47419513393954293,55.0
"(9, 55)",0.2200729346509902,189.0,0.3559842713197346,126.0
"(9, 10)",0.062217869246678714,56.0,0.5423937085278938,25.0
"(55, 9)",0.10465616403457279,104.0,0.3559842713197346,127.0
"(55, 105)",0.14782285447879673,142.0,0.31727697222904894,163.0
"(10, 103)",0.2672112822270484,206.0,0.29970508724502337,172.0
"(10, 9)",0.045080965159646325,36.0,0.5423937085278938,26.0
"(103, 31)",0.17553825940794598,170.0,0.2355615630376014,202.0
"(103, 10)",0.08523200901634209,79.0,0.29970508724502337,173.0
"(59, 35)",0.15703030832700993,155.0,0.3215777832391251,159.0
"(59, 11)",0.097651338337431,92.0,0.3767510444826739,114.0
"(12, 42)",9.999999999998899e-05,4.0,0.5234701400835586,30.0
"(42, 109)",0.050291949898140675,41.0,0.8946915704104202,3.0
"(42, 12)",0.25109772045964185,200.0,0.5234701400835586,31.0
"(13, 91)",9.999999999998899e-05,5.0,0.3395183091668715,143.0
"(91, 92)",0.006784826650193754,15.0,0.8724502334725976,4.0
"(91, 13)",0.5327951018643213,218.0,0.20373556156303757,207.0
"(14, 38)",0.08663577719195548,81.0,0.23703612681248462,199.0
"(14, 17)",0.17328795898366012,168.0,0.18812976161218972,211.0
"(38, 18)",0.14981150144496713,150.0,0.6279184074711232,15.0
"(38, 14)",0.10309136492454951,98.0,0.7112312607520276,7.0
"(17, 56)",0.1867719113854427,178.0,0.2818874416318506,184.0
"(17, 14)",0.0786143476933523,69.0,0.37613664290980586,116.0
"(15, 110)",0.05987921831997167,50.0,0.28299336446301304,182.0
"(15, 50)",0.22561750383723123,193.0,0.18186286556893586,213.0
"(110, 16)",0.08084256421289093,74.0,0.2476038338658147,196.0
"(110, 15)",0.18286900095275072,175.0,0.18862128287048416,210.0
"(50, 15)",0.3222287609173562,213.0,0.18186286556893586,214.0
"(50, 96)",0.031085120216244322,28.0,0.39653477512902435,100.0
"(16, 110)",0.2648851355659524,204.0,0.2476038338658147,197.0
"(16, 26)",0.0457970193180709,37.0,0.44445809781273043,66.0
"(26, 66)",0.13921799253773637,131.0,0.5164659621528631,34.0
"(26, 16)",0.11178457065961023,115.0,0.5556647825018431,22.0
"(56, 33)",0.07887919086588502,70.0,0.3753993610223642,117.0
"(56, 17)",0.18630128484062514,177.0,0.2818874416318506,185.0
"(18, 38)",0.16740731983052337,160.0,0.3139592037355616,165.0
"(18, 24)",0.060195907770963286,51.0,0.44912754976652736,62.0
"(18, 25)",0.20802135454910164,183.0,0.2815188006881298,186.0
