,alpha,alpha_rnk,speed,speed_rnk
"(0, 231)",0.1018355971509941,241.0,0.3728143830880173,274.0
"(0, 61)",0.2197719794705384,486.0,0.2605946853699496,468.0
"(0, 200)",0.12008178749286014,295.0,0.34979749086239253,316.0
"(0, 46)",0.11513454774169585,281.0,0.35572458757285386,306.0
"(231, 0)",0.1158599076322514,282.0,0.3728143830880173,275.0
"(231, 94)",0.27388151061386345,544.0,0.23461424478909412,514.0
"(231, 92)",0.22040035518946965,487.0,0.2707695347229082,446.0
"(231, 213)",0.14156496592097234,343.0,0.3417959103032697,335.0
"(231, 46)",0.038780069955097196,68.0,0.530573940531463,81.0
"(61, 155)",0.10608567249580114,257.0,0.2202904277388126,528.0
"(61, 0)",0.134269266953417,335.0,0.20152128815568507,543.0
"(61, 60)",0.15900747820970418,383.0,0.1874938259409266,553.0
"(200, 159)",0.27668061555760814,550.0,0.13721228884717968,590.0
"(200, 0)",0.042283217803751105,80.0,0.2566432875629754,481.0
"(46, 0)",0.14481297476124466,351.0,0.22957621258520203,519.0
"(46, 231)",0.1070820005126828,259.0,0.2538773090980935,489.0
"(1, 259)",0.027733514295055328,45.0,0.27215252395534917,444.0
"(1, 137)",0.37493302206377677,590.0,0.09473476242220685,597.0
"(1, 229)",0.15634629639954256,380.0,0.16487207349599922,576.0
"(259, 215)",0.13162210816637798,326.0,0.2628667391089598,462.0
"(259, 1)",0.11860381442416279,291.0,0.27215252395534917,445.0
"(137, 149)",0.1482354421582901,359.0,0.19519905166452634,550.0
"(137, 2)",0.20483973656063048,468.0,0.1649708584411736,575.0
"(137, 1)",0.41640767680597357,596.0,0.09473476242220685,598.0
"(137, 11)",0.2337246455326043,503.0,0.15232638545885607,582.0
"(137, 20)",0.009282438919456348,29.0,0.4141064901708979,209.0
"(229, 147)",0.009209335030982757,28.0,0.36787513582929954,289.0
"(229, 2)",0.5309335920736931,602.0,0.07191544008693074,599.0
"(229, 1)",0.20354661331339985,467.0,0.16487207349599922,577.0
"(2, 137)",0.07572102694379823,170.0,0.16260001975698904,579.0
"(2, 229)",0.1920366749310709,444.0,0.11923342882544699,595.0
"(3, 220)",0.15522541055828354,377.0,0.44927393065296845,157.0
"(3, 171)",0.09897733552713128,230.0,0.521979650301294,88.0
"(220, 3)",0.1245052776200195,307.0,0.44927393065296845,158.0
"(220, 219)",0.12549603116858332,308.0,0.4480885113108762,159.0
"(171, 155)",0.24900363270423054,520.0,0.30771510421811715,383.0
"(171, 3)",0.05101423861408405,108.0,0.521979650301294,89.0
"(4, 40)",9.999999999998899e-05,2.0,0.6339029931838388,33.0
"(40, 44)",0.2690858512332446,541.0,0.37874147979847866,267.0
"(40, 4)",0.08692964523738134,198.0,0.6339029931838388,34.0
"(40, 47)",0.08969485746430372,204.0,0.62758075669268,35.0
"(5, 166)",0.09202781711390873,211.0,0.4115380815963646,217.0
"(5, 127)",0.16503439378416918,396.0,0.3387335770028647,339.0
"(166, 149)",0.09683863790388958,227.0,0.4846389410253876,117.0
"(166, 5)",0.15815156977040112,381.0,0.4115380815963646,218.0
"(127, 33)",0.16389986244897015,392.0,0.3748888669366788,271.0
"(127, 194)",0.09417322405629003,221.0,0.4796996937666699,124.0
"(127, 76)",0.21854039192343966,484.0,0.31868023313247057,374.0
"(127, 107)",0.03927917805142511,70.0,0.6362738318680232,29.0
"(127, 5)",0.19736461702329577,451.0,0.3387335770028647,340.0
"(127, 75)",0.12833163793295044,315.0,0.4217129309493233,190.0
"(127, 78)",0.2208466650480576,488.0,0.3166057492838091,375.0
"(6, 230)",0.08173569457686658,185.0,0.5670255853008,67.0
"(6, 108)",0.18133988210529628,424.0,0.4347525437123382,172.0
"(230, 122)",0.19146459616922828,443.0,0.4167736836906055,198.0
"(230, 6)",0.07602936776147007,171.0,0.5670255853008,68.0
"(108, 64)",0.10659317870093599,258.0,0.48216931739602875,119.0
"(108, 6)",0.14541249652425325,353.0,0.4347525437123382,173.0
"(7, 208)",0.06252407477876187,134.0,0.511409661167638,93.0
"(7, 26)",0.21936400575686266,485.0,0.33656030820902894,344.0
"(208, 7)",0.18321120588516715,427.0,0.24429516941618096,503.0
"(208, 165)",0.08064426235551148,183.0,0.32114985676182944,363.0
"(26, 7)",0.2789526299085685,553.0,0.2167341697125358,531.0
"(26, 264)",0.0416388512651098,76.0,0.408574533241134,227.0
"(8, 112)",0.08435729086885102,191.0,0.4365306727254766,170.0
"(8, 81)",0.17696291661027808,419.0,0.3410056307418749,337.0
"(112, 8)",0.07862559853631401,178.0,0.4365306727254766,171.0
"(112, 33)",0.18675188103017448,432.0,0.3271757384174651,353.0
"(81, 141)",0.298376080624301,563.0,0.2861799861701077,425.0
"(81, 8)",0.2306172537438751,500.0,0.3410056307418749,338.0
"(81, 107)",0.07054087899968975,153.0,0.5687049293687642,65.0
