naptanid,stopType,commonName,line,lat,lon
490000073K,NaptanPublicBusCoachTram,Elephant & Castle / New Kent Road,1,51.495076,-0.099071
490000073N,NaptanPublicBusCoachTram,Elephant & Castle / New Kent Road,1,51.495006,-0.099218
490000112M,NaptanPublicBusCoachTram,Kingsway / Holborn Station,1,51.51674,-0.11976
490000112P,NaptanPublicBusCoachTram,Holborn Station,1,51.516927,-0.120214
490000229L,NaptanPublicBusCoachTram,Surrey Quays Station,1,51.493421,-0.046011
490000229O,NaptanPublicBusCoachTram,Surrey Quays Station,1,51.49271,-0.048101
490000235N,NaptanPublicBusCoachTram,Tottenham Court Road,1,51.51602,-0.12874
490000235Z,NaptanPublicBusCoachTram,New Oxford Street,1,51.516726,-0.128466
490000254E,NaptanPublicBusCoachTram,Waterloo Station   / Waterloo Road,1,51.503512,-0.111414
490000254K,NaptanPublicBusCoachTram,Waterloo Station / Tenison Way,1,51.504359,-0.113742
490003191F,NaptanPublicBusCoachTram,Aldwych / Kingsway,1,51.513141,-0.117948
490003275E,NaptanPublicBusCoachTram,Alscot Road,1,51.493684,-0.074365
490003275W,NaptanPublicBusCoachTram,Alscot Road,1,51.493622,-0.07444
490003311E,NaptanPublicBusCoachTram,Anchor Street,1,51.492166,-0.061392
490003311N,NaptanPublicBusCoachTram,Anchor Street,1,51.491578,-0.060625
490003533E,NaptanPublicBusCoachTram,Harris Academy,1,51.492803,-0.071118
490003658BC,NaptanPublicBusCoachTram,Bricklayer's Arms / New Kent Road,1,51.494414,-0.087689
490003658BS,NaptanPublicBusCoachTram,Bricklayer's Arms / New Kent Road,1,51.494033,-0.09024
490003716E,NaptanPublicBusCoachTram,Beamish House,1,51.48961,-0.056401
490004315BH,NaptanPublicBusCoachTram,Bricklayer's Arms / Tower Bridge Road,1,51.495631,-0.08346
490004733C,NaptanPublicBusCoachTram,Canada Water Bus Station,1,51.497775,-0.049844
490004733D,NaptanPublicBusCoachTram,Canada Water Bus Station,1,51.498145,-0.049944
490005603E,NaptanPublicBusCoachTram,Corbetts Lane,1,51.490942,-0.053175
490005603W,NaptanPublicBusCoachTram,Corbetts Lane,1,51.490641,-0.054038
490006203RA,NaptanPublicBusCoachTram,Drury Lane,1,51.516364,-0.12384
490006792E,NaptanPublicBusCoachTram,Fendall Street,1,51.495681,-0.078243
490007086B,NaptanPublicBusCoachTram,Galleywall Road / South Bermondsey Stn,1,51.489053,-0.058024
490007362S,NaptanPublicBusCoachTram,Grange Road / Caledonian Market,1,51.496403,-0.082275
490007533E,NaptanPublicBusCoachTram,Griggs Place,1,51.49644,-0.08066
490008932T,NaptanPublicBusCoachTram,Lancaster Place,1,51.510522,-0.118935
490009281A,NaptanPublicBusCoachTram,Elephant & Castle / London Road,1,51.496135,-0.101706
490009281E,NaptanPublicBusCoachTram,Elephant & Castle / London Road,1,51.496102,-0.101333
490009482N,NaptanPublicBusCoachTram,Lynton Road,1,51.490197,-0.059776
490009482S,NaptanPublicBusCoachTram,Lynton Road,1,51.490568,-0.059904
490010131WB,NaptanPublicBusCoachTram,Museum Street,1,51.517577,-0.124338
490011538W,NaptanPublicBusCoachTram,Reverdy Road,1,51.492687,-0.069523
490011632BA,NaptanPublicBusCoachTram,Rodney Place,1,51.494218,-0.094439
490011632BT,NaptanPublicBusCoachTram,Rodney Place,1,51.494168,-0.094672
490011719A,NaptanPublicBusCoachTram,Rotherhithe New Rd / Sth Bermondsey Stn,1,51.488924,-0.057309
490011722Q,NaptanPublicBusCoachTram,Warndon Street,1,51.491062,-0.049079
490011723E,NaptanPublicBusCoachTram,Rotherhithe Police Station,1,51.495006,-0.050452
490011723P,NaptanPublicBusCoachTram,Rotherhithe Police Station,1,51.495358,-0.05159
490012353E,NaptanPublicBusCoachTram,Southwark Park Road / St James's Road,1,51.492371,-0.065662
490012353W,NaptanPublicBusCoachTram,Southwark Park Road / St James's Road,1,51.49225,-0.064874
490012367E,NaptanPublicBusCoachTram,Spa Road,1,51.49482,-0.07619
490012367W,NaptanPublicBusCoachTram,Spa Road,1,51.495374,-0.077665
490012693N1,NaptanPublicBusCoachTram,St George's Circus,1,51.499668,-0.107236
490012693S2,NaptanPublicBusCoachTram,St George's Circus,1,51.499158,-0.106278
490013042J,NaptanPublicBusCoachTram,Surrey Quays Shopping Centre,1,51.494019,-0.046259
490013485N,NaptanPublicBusCoachTram,The Old Vic,1,51.50129,-0.109085
490013485S1,NaptanPublicBusCoachTram,The Old Vic,1,51.501338,-0.108752
490014228E,NaptanPublicBusCoachTram,Warndon Street,1,51.491123,-0.050531
490014270P,NaptanPublicBusCoachTram,Waterloo Bridge / South Bank,1,51.506259,-0.115004
490014271N,NaptanPublicBusCoachTram,Waterloo Bridge / South Bank,1,51.506509,-0.114864
490015272BJ,NaptanPublicBusCoachTram,Bricklayer's Arms / Tower Bridge Road,1,51.495154,-0.083955
490019703Z,NaptanPublicBusCoachTram,Aldwych / Drury Lane,1,51.512264,-0.118806
490G00000350,NaptanOnstreetBusCoachStopPair,Kingsway / Holborn Station,1,51.51674,-0.11976
490G00003195,NaptanOnstreetBusCoachStopPair,Aldwych / Kingsway,1,51.513141,-0.117948
490G00003275,NaptanOnstreetBusCoachStopPair,Alscot Road,1,51.493622,-0.07444
490G00003311,NaptanOnstreetBusCoachStopPair,Anchor Street,1,51.492166,-0.061392
490G00003533,NaptanOnstreetBusCoachStopPair,Harris Academy,1,51.492803,-0.071118
490G00003658,NaptanOnstreetBusCoachStopCluster,Bricklayer's Arms / New Kent Road,1,51.494033,-0.09024
490G00005603,NaptanOnstreetBusCoachStopPair,Corbetts Lane,1,51.490942,-0.053175
490G00006203,NaptanOnstreetBusCoachStopPair,Drury Lane,1,51.516364,-0.12384
490G00006792,NaptanOnstreetBusCoachStopPair,Fendall Street,1,51.495681,-0.078243
490G00007362,NaptanOnstreetBusCoachStopCluster,Grange Road / Caledonian Market,1,51.496188,-0.082327
490G00007533,NaptanOnstreetBusCoachStopPair,Griggs Place,1,51.49644,-0.08066
490G00008932,NaptanOnstreetBusCoachStopPair,Lancaster Place,1,51.510522,-0.118935
490G00009482,NaptanOnstreetBusCoachStopPair,Lynton Road,1,51.490197,-0.059776
490G00010131,NaptanOnstreetBusCoachStopCluster,Museum Street,1,51.517577,-0.124338
490G00011538,NaptanOnstreetBusCoachStopPair,Reverdy Road,1,51.492687,-0.069523
490G00011632,NaptanOnstreetBusCoachStopPair,Rodney Place,1,51.494168,-0.094672
490G00011722,NaptanOnstreetBusCoachStopPair,Warndon Street,1,51.491062,-0.049079
490G00011723,NaptanOnstreetBusCoachStopPair,Rotherhithe Police Station,1,51.495006,-0.050452
490G00012353,NaptanOnstreetBusCoachStopCluster,Southwark Park Road / St James's Road,1,51.49188,-0.065308
490G00012367,NaptanOnstreetBusCoachStopPair,Spa Road,1,51.495374,-0.077665
490G00012693,NaptanOnstreetBusCoachStopCluster,St George's Circus,1,51.498613,-0.108173
490G00013485,NaptanOnstreetBusCoachStopPair,The Old Vic,1,51.50129,-0.109085
490G00018892,NaptanOnstreetBusCoachStopCluster,New Oxford Street,1,51.516726,-0.128466
490G00019012,NaptanOnstreetBusCoachStopPair,Bricklayer's Arms / Tower Bridge Road,1,51.495154,-0.083955
490G00019703,NaptanOnstreetBusCoachStopCluster,Aldwych / Drury Lane,1,51.512637,-0.118517
490G000401,NaptanOnstreetBusCoachStopCluster,Waterloo Station   / Waterloo Road,1,51.502979,-0.110687
490G000402,NaptanOnstreetBusCoachStopCluster,Waterloo Station / Tenison Way,1,51.504359,-0.113742
490G000403,NaptanOnstreetBusCoachStopPair,Beamish House,1,51.48961,-0.056401
490G000438,NaptanBusCoachStation,Canada Water Bus Station,1,51.497775,-0.049844
490G000529,NaptanOnstreetBusCoachStopPair,Galleywall Road / South Bermondsey Stn,1,51.489053,-0.058024
490G000642,NaptanOnstreetBusCoachStopCluster,Elephant & Castle / London Road,1,51.496634,-0.102003
490G000645,NaptanOnstreetBusCoachStopCluster,Elephant & Castle / New Kent Road,1,51.495006,-0.099218
490G000728,NaptanOnstreetBusCoachStopPair,Rotherhithe New Rd / Sth Bermondsey Stn,1,51.488924,-0.057309
490G000775,NaptanOnstreetBusCoachStopCluster,Surrey Quays Shopping Centre,1,51.494019,-0.046259
490G000819,NaptanOnstreetBusCoachStopPair,Waterloo Bridge / South Bank,1,51.506259,-0.115004
490G00112L,NaptanOnstreetBusCoachStopCluster,Holborn Station,1,51.516927,-0.120214
490G00229O,NaptanOnstreetBusCoachStopCluster,Surrey Quays Station,1,51.49271,-0.048101
490G00229S,NaptanOnstreetBusCoachStopCluster,Surrey Quays Station,1,51.493421,-0.046011
490G00235Z,NaptanOnstreetBusCoachStopCluster,Tottenham Court Road Station,1,51.51602,-0.12874
910GSURREYQ,NaptanRailStation,Surrey Quays Rail Station,1,51.493196,-0.047519
940GZZLUHBN,NaptanMetroStation,Holborn Underground Station,1,51.51758,-0.120475
490000003B,NaptanPublicBusCoachTram,St Botolph Street,100,51.514955,-0.07514
490000003R,NaptanPublicBusCoachTram,Aldgate Station,100,51.514079,-0.074932
490000202A,NaptanPublicBusCoachTram,Shadwell Station,100,51.510971,-0.055535
490000225W,NaptanPublicBusCoachTram,St Paul's Station,100,51.515308,-0.097321
490000251W,NaptanPublicBusCoachTram,Wapping Station,100,51.504426,-0.056174
490002076RV,NaptanPublicBusCoachTram,Tower Gateway Station,100,51.510792,-0.075214
490003172A,NaptanPublicBusCoachTram,All Hallows Church,100,51.516686,-0.084781
490003335E,NaptanPublicBusCoachTram,Garnet Street,100,51.506479,-0.05577
490004043N,NaptanPublicBusCoachTram,Bishopsgate,100,51.515916,-0.081138
490004043P,NaptanPublicBusCoachTram,Wormwood Street,100,51.516203,-0.082178
