mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
560,3000,0.0,0.016,7.021,21.617,26.148,17.34,3.629,0.0,EZL
560,3087,0.0,140.509,927.685,712.366,449.29102,168.388,66.921,0.0,EZL
560,3186,1.766,33.119,210.50099,120.352,276.369,148.815,83.062,0.0,EZL
560,3187,0.922,9.684,125.256,179.06,236.257,201.828,62.277,0.0,EZL
560,3188,0.0,3.266,23.864,69.671,107.635,66.563,22.411,0.0,EZL
560,3191,0.0,0.011,4.4440002,24.398,64.83,30.564,11.427,0.0,EZL
560,7090,0.557,45.187,25.483,45.864,48.949,7.929,0.87700003,0.0,EZL
560,7091,24.03,205.20601,36.076,89.008,68.895004,22.853,6.1419997,0.0,EZL
719,6872,0.0,13.393,139.904,240.621,543.657,280.771,121.527,4.164,EZL
719,6874,0.0,44.627,264.295,616.366,1596.891,802.631,305.19,26.864,EZL
719,6876,0.0,75.344,382.907,752.338,1312.397,764.877,363.068,10.447,EZL
719,6877,0.0,20.364,119.162,292.974,738.538,390.743,173.721,55.072998,EZL
719,6878,0.0,54.038,352.563,622.468,1442.849,821.805,280.172,7.565,EZL
719,6879,0.0,48.748,182.808,376.861,830.806,450.906,170.444,4.934,EZL
719,6881,0.0,134.439,828.66,1665.022,3107.725,1650.283,539.042,40.772,EZL
719,6883,0.0,28.131,158.225,422.651,832.213,455.432,197.302,17.074,EZL
719,6886,0.0,107.178,790.503,700.643,2082.431,797.225,311.848,34.964,EZL
719,6888,0.0,0.107999995,0.0,0.082,0.0,0.148,14.847,1.162,EZL
719,6893,0.0,30.781,268.937,553.474,1215.7891,710.946,268.319,22.833,EZL
719,6965,0.0,656.375,5066.367,685.794,544.521,185.454,143.713,0.0,EZL
719,6970,0.0,24.326,97.551,204.445,298.953,194.405,117.059,13.611,EZL
3000,560,0.0,6.677,42.402,45.748,20.273,4.173,0.531,0.0,EZL
3000,3087,0.0,12.613,234.42,120.553,64.276,22.514,4.162,0.0,EZL
3000,3186,0.0,2.033,9.971,4.205,7.565,1.673,0.947,0.0,EZL
3000,3187,0.0,1.445,14.612,7.8199997,7.737,1.677,0.664,0.0,EZL
3000,3188,0.0,0.929,6.639,4.154,3.914,0.807,0.27,0.0,EZL
3087,560,0.90900004,13.286,216.269,460.935,628.791,353.578,155.52,0.0,EZL
3087,3000,0.0,1.5350001,23.856,75.964,192.996,89.985,17.976,0.0,EZL
3087,3186,0.49,21.118,247.85,204.774,428.461,272.198,127.587,0.0,EZL
3087,3187,0.187,10.476,177.511,339.724,371.782,396.584,96.015,0.0,EZL
3087,3188,0.0,8.5,106.389,267.259,500.139,301.904,112.514,0.0,EZL
3087,3191,0.0,0.15200001,45.62,134.949,367.039,234.347,52.856,0.0,EZL
3087,7090,1.205,100.182,103.078,199.098,209.165,47.076,8.997,0.0,EZL
3087,7091,8.606,199.091,255.351,393.545,441.632,136.156,25.287,0.0,EZL
3186,560,0.0,87.896,416.248,216.617,236.802,53.478,24.219,0.0,EZL
3186,3000,0.0,4.227,11.048,4.6809998,6.879,2.48,0.186,0.0,EZL
3186,3087,0.0,146.12,472.175,358.931,275.784,66.299,48.647,0.0,EZL
3186,3187,0.0,1.146,18.522,31.536,19.254,13.087,2.058,0.0,EZL
