mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
514,522,0.0,143.68,339.837,263.477,218.676,104.101,31.563,0.0,LO
514,591,0.0,0.0,0.0,0.254,0.0,0.003,0.017,0.0,LO
514,596,0.0,0.391,0.004,0.104,0.096,0.054,0.021,0.0,LO
514,597,0.0,0.019,0.02,0.091,0.0,0.043,0.0,0.0,LO
514,618,0.0,0.046,0.17199999,0.174,0.24000001,0.051,0.0,0.0,LO
514,621,0.0,0.0,0.0,0.329,0.0,0.0,0.0,0.0,LO
514,659,0.0,0.042,0.024999999,0.159,0.044,0.076000005,0.104,0.0,LO
514,717,0.0,0.408,0.007,0.109,0.053,0.029,0.0,0.0,LO
514,751,0.0,0.502,0.047,0.221,0.352,0.096,0.0,0.0,LO
514,766,0.0,2.4559999,1.6570001,2.429,1.186,0.381,0.468,0.0,LO
514,1404,0.0,0.17999999,0.608,1.043,0.522,0.099,0.0,0.0,LO
514,1409,0.0,19.671,54.974,23.2,13.365,6.468,2.457,0.0,LO
514,1413,0.0,5.975,12.026,7.6480002,3.094,1.6899999,0.397,0.0,LO
514,1421,0.0,3.728,4.396,4.688,2.059,0.967,0.495,0.0,LO
514,1429,0.0,0.176,0.0,2.264,0.046,0.519,0.057,0.0,LO
514,1437,0.0,1.622,2.064,2.33,2.402,0.892,0.02,0.0,LO
514,1438,0.0,1.465,2.358,1.705,0.92,0.388,0.271,0.0,LO
514,1439,0.0,1.562,1.161,0.946,0.38799998,0.197,0.105,0.0,LO
514,1440,0.0,3.711,7.513,4.315,1.356,1.047,0.37399998,0.0,LO
514,1442,0.0,0.112,0.028,0.001,0.099,0.074,0.003,0.0,LO
514,1445,0.0,3.3730001,6.941,2.707,3.009,1.852,0.476,0.0,LO
514,1448,0.0,0.442,3.699,2.734,2.274,1.28,0.275,0.0,LO
514,1449,0.0,0.489,0.974,0.48,0.347,0.105000004,0.011,0.0,LO
514,1452,0.0,1.342,0.65500003,0.393,0.47100002,0.002,0.0,0.0,LO
514,1524,0.0,40.407,183.818,83.176,60.629,28.723999,12.461,0.0,LO
514,6814,0.0,0.019,0.0,0.0,0.024,0.0,0.002,0.0,LO
514,6867,0.0,0.0,0.0,0.125,0.046,0.31,0.055999998,0.0,LO
514,6914,0.0,0.387,3.54,2.692,2.256,0.697,0.306,0.0,LO
514,6919,0.0,1.061,3.9919999,2.79,3.683,0.536,0.117,0.0,LO
514,6926,0.0,0.724,2.93,3.142,1.679,0.639,0.097,0.0,LO
