mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
560,3000,0.0,0.003,2.329,32.915,26.588,13.718,3.266,0.0,EZL
560,3087,0.0,45.259,287.082,685.496,242.016,137.507,75.576,0.0,EZL
560,3186,0.635,10.515,38.955,163.365,173.497,147.584,78.934,0.0,EZL
560,3187,0.072000004,2.104,39.471,255.95,208.787,149.459,50.065,0.0,EZL
560,3188,0.0,0.321,8.394,83.439,76.498,57.684002,16.087,0.0,EZL
560,3191,0.0,0.016,0.858,23.149,17.995,7.138,5.6470003,0.0,EZL
560,7090,1.265,20.549,20.503,42.591,19.882,6.607,1.446,0.0,EZL
560,7091,12.875,114.573,34.717,89.309,55.471,30.224,41.231,0.0,EZL
719,6872,0.0,4.265,67.532,242.068,274.81,199.877,139.435,8.984,EZL
719,6874,0.0,28.394001,137.416,710.565,694.241,500.312,273.29,35.848,EZL
719,6876,0.0,18.749,184.678,884.804,728.174,544.282,338.241,18.264,EZL
719,6877,0.0,4.869,55.016,312.244,366.337,243.53,169.128,40.372,EZL
719,6878,0.0,8.83,149.262,681.524,676.516,499.755,244.559,14.232,EZL
719,6879,0.0,18.239,77.767,357.441,401.44,268.902,162.351,12.564,EZL
719,6881,0.0,53.428,429.3,1946.805,1584.478,1150.025,562.095,48.324,EZL
719,6883,0.0,13.567,121.183,590.848,556.833,407.132,219.044,24.066,EZL
719,6886,0.0,28.934,228.251,950.11,562.633,377.149,314.064,45.600002,EZL
719,6888,0.0,0.0,0.0,0.007,0.125,0.38300002,24.296,2.401,EZL
719,6893,0.0,16.056,158.039,587.476,600.804,465.141,244.112,25.095,EZL
719,6965,0.0,114.008,322.274,773.422,415.006,221.838,144.46,0.0,EZL
719,6970,0.0,3.74,46.23,199.231,174.317,132.668,97.029,14.488,EZL
3000,560,0.0,7.393,31.744,72.753,24.296,7.343,0.739,0.0,EZL
3000,3087,0.0,6.365,46.168,121.154,37.188,17.583,3.4490001,0.0,EZL
3000,3186,0.0,0.961,3.982,6.393,2.899,1.046,0.118,0.0,EZL
3000,3187,0.0,0.18200001,3.018,9.845,4.176,1.128,0.084,0.0,EZL
3000,3188,0.0,0.60300004,1.216,8.875999,2.104,1.4300001,0.078,0.0,EZL
3087,560,0.032,10.797,91.977,346.47202,271.961,245.536,125.679,0.0,EZL
3087,3000,0.0,12.815,16.007,58.071,58.141,47.847,12.635,0.0,EZL
3087,3186,0.006,12.785,65.45,197.786,181.963,184.298,109.838,0.0,EZL
3087,3187,0.002,3.147,86.484,384.257,253.662,222.593,61.845,0.0,EZL
3087,3188,0.0,2.473,34.375,185.446,170.71,136.828,67.222,0.0,EZL
3087,3191,0.0,0.069000006,11.004,109.892,114.956,87.22,48.556,0.0,EZL
3087,7090,0.28,19.539999,50.761,123.83,57.566,12.042,0.618,0.0,EZL
3087,7091,3.547,71.961,103.389,327.836,221.51399,105.673996,29.074999,0.0,EZL
3186,560,0.0,29.581,106.194,232.964,89.601,37.881,28.848999,0.0,EZL
3186,3000,0.0,9.993,1.339,5.049,3.159,3.077,0.707,0.0,EZL
