mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
504,523,0.0,1.196,14.535,16.545,9.852,1.549,DLR
504,533,0.0,2.451,49.09,66.388,13.662,0.856,DLR
504,538,0.0,3.642,46.038,43.972,15.7300005,5.392,DLR
504,559,0.0,1.47,19.609,30.94,7.732,5.95,DLR
504,573,0.0,34.411,152.499,178.245,83.825,25.572,DLR
504,719,0.0,144.574,991.537,464.324,194.79,54.683,DLR
504,749,0.0,7.999,56.083,30.980999,24.177,14.862,DLR
504,750,0.0,7.881,57.422,47.351,16.311,6.826,DLR
504,757,0.0,30.195,129.314,95.609,59.522,20.4,DLR
504,842,0.0,2.693,23.1,10.222,4.253,0.90099996,DLR
504,850,0.0,0.869,3.226,2.838,1.712,0.15699999,DLR
504,851,0.0,1.961,7.971,6.43,2.435,0.596,DLR
504,853,0.0,2.67,8.328,1.962,1.424,0.682,DLR
504,854,0.0,0.0,3.272,2.0279999,0.47300002,0.0,DLR
504,856,0.0,0.0,1.83,0.804,0.303,0.0,DLR
504,857,0.0,0.0,1.466,2.459,0.485,0.0,DLR
504,858,0.0,0.26,5.498,2.752,0.77099997,0.62299997,DLR
504,859,0.0,0.111,2.455,0.91899997,0.475,0.201,DLR
504,860,0.0,2.029,3.73,1.79,1.387,0.829,DLR
504,861,0.0,0.0,5.407,2.882,0.254,0.0,DLR
504,862,0.0,0.598,7.211,4.892,2.03,1.344,DLR
504,864,0.0,0.825,4.717,3.981,0.58100003,0.034,DLR
504,865,0.0,0.968,3.6529999,1.957,0.824,0.783,DLR
504,866,0.0,0.989,5.182,3.28,0.945,0.046,DLR
504,867,0.0,0.0,4.509,2.039,2.427,3.192,DLR
504,879,0.0,0.0,12.731,3.236,0.315,0.0,DLR
504,882,0.0,1.403,2.1529999,1.05,1.84,1.466,DLR
504,883,0.0,0.0,2.134,2.566,1.382,0.033,DLR
504,884,0.0,45.464,87.901,42.54,44.679,15.893,DLR
504,886,0.0,5.556,5.969,3.108,3.667,2.649,DLR
504,887,0.0,3.294,1.822,1.608,3.555,2.258,DLR
504,888,0.0,5.093,2.063,1.192,3.3969998,1.062,DLR
504,889,0.0,5.666,28.732,25.034,6.626,4.869,DLR
504,890,0.0,2.209,1.667,0.97900003,2.988,2.074,DLR
504,891,0.0,0.0,1.017,0.723,0.283,0.557,DLR
504,893,0.0,0.90999997,0.858,0.813,1.934,1.743,DLR
504,894,0.0,6.307,1.084,1.115,2.584,1.338,DLR
504,895,0.0,1.94,2.256,1.953,3.225,0.569,DLR
504,897,0.0,0.0,3.956,4.088,0.59999996,0.0,DLR
504,928,0.0,0.008,1.303,0.566,0.241,0.0,DLR
504,940,0.0,0.12,9.376,6.384,0.674,0.0,DLR
513,523,0.0,12.78,36.511,46.789,31.201,17.445,DLR
513,533,0.0,14.7960005,334.404,380.31,45.386,10.029,DLR
513,538,0.0,20.039,97.209,138.12,90.172,45.035,DLR
513,559,0.0,14.6380005,58.420002,64.759,42.004,19.505,DLR
513,573,0.0,155.628,413.327,415.79102,283.95,121.181,DLR
513,842,0.0,69.021,814.924,558.183,191.688,59.897,DLR
513,850,0.0,9.347,38.222,42.771,14.334,3.999,DLR
513,851,0.0,1.355,6.8190002,8.563,0.92800003,0.0,DLR
513,853,0.0,60.006,177.732,84.07,21.835,4.876,DLR
513,854,0.0,62.091,279.422,273.96,193.946,76.163,DLR
513,855,0.0,19.776,141.424,128.8,75.364,26.901,DLR
513,856,0.0,30.274,190.368,176.189,125.763,56.093,DLR
513,857,0.0,33.183,164.792,175.842,121.098,48.639,DLR
513,858,0.0,25.398,142.647,207.785,161.904,122.3,DLR
513,859,0.0,1.439,1.214,2.641,0.325,0.005,DLR
513,860,0.0,125.069,854.716,785.784,474.759,200.591,DLR
513,861,0.0,89.328,300.553,295.771,196.197,80.751,DLR
513,862,0.0,330.464,1236.724,1074.176,714.528,338.315,DLR
513,864,0.0,12.049,55.628,25.091,9.742,3.262,DLR
513,865,0.0,93.685,606.21,562.06903,346.665,168.816,DLR
513,866,0.0,0.0,10.788,5.109,1.796,0.369,DLR
513,867,0.0,6.39,31.533,41.597,12.458,4.036,DLR
513,879,0.0,132.592,1115.458,426.895,188.984,64.649,DLR
513,882,0.0,20.489,134.169,145.61,112.06,51.098,DLR
513,883,0.0,28.328,156.623,196.423,136.431,66.739,DLR
513,884,0.0,11.389,37.285,66.726,33.192,12.05,DLR
513,886,0.0,9.69,78.045,64.675,24.137001,3.844,DLR
513,887,0.0,12.489,44.639,29.444,8.641,3.169,DLR
513,888,0.0,9.417,35.208,33.862,10.524,3.867,DLR
513,890,0.0,3.05,17.695,16.596,7.62,0.828,DLR
513,891,0.0,0.982,4.353,7.219,2.911,1.234,DLR
513,893,0.0,3.4,11.008,13.358,5.052,1.067,DLR
513,894,0.0,3.46,16.426,18.86,6.353,1.395,DLR
513,895,0.0,2.288,24.484,21.954,6.354,1.553,DLR
513,897,0.0,54.256,279.023,242.925,142.426,47.009,DLR
513,898,0.0,33.851,107.4,99.693,62.525,27.995,DLR
513,928,0.0,18.566,181.199,95.559,42.516,12.026,DLR
513,940,0.0,87.106,298.458,244.93,127.515,43.813,DLR
523,504,0.0,8.582,20.241,5.458,1.814,0.79,DLR
523,513,0.0,29.915,57.587,18.128,7.979,2.732,DLR
523,533,0.0,0.70600003,6.147,6.2269998,0.47700003,0.0,DLR
523,538,0.261,1.535,7.344,1.965,0.559,0.0,DLR
523,559,0.0,4.843,5.076,3.7480001,2.241,0.0,DLR
523,573,0.696,45.311,184.274,43.242,39.316,11.529,DLR
523,719,4.585,41.81,137.627,37.711,18.408,4.922,DLR
