mode_mnlc_o,name_o,mode_mnlc_d,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode
500,Acton Town,501,Barbican,0,0.073,0.665,2.804,1.586,0.19,5.318,LU
500,Acton Town,503,Aldgate East,0,0.151,2.428,15.133,2.718,0.516,20.946,LU
500,Acton Town,505,Alperton,0,0.223,19.968,33.931,14.8359995,8.583,82.9319995,LU
500,Acton Town,506,Amersham,0,0,0.72,0.344,0.179,0.035,1.309,LU
500,Acton Town,507,Angel,0,0,2.587,9.764,2.859,1.576,16.801,LU
500,Acton Town,508,Archway,0,0.799,1.425,1.519,1.363,0.79,5.898,LU
500,Acton Town,509,Arnos Grove,0,0.275,0.141,1.959,1.371,0.319,4.592,LU
500,Acton Town,510,Arsenal,0,0,0.352,4.479,0.889,0.747,6.786,LU
500,Acton Town,511,Baker Street,0,1.023,5.349,14.423,1.902,1.541,24.315,LU
500,Acton Town,512,Balham LU,0,0,1.354,3.037,1.16,0.741,6.454,LU
500,Acton Town,513,Bank and Monument,0,1.143,5.326,17.295,4.122,2.646,30.867,LU
500,Acton Town,514,Barking,0,0.605,1.103,2.122,1.16,0.637,6.042,LU
500,Acton Town,516,Barons Court,0,1.431,6.215,16.792,9.159,5.35,40.624,LU
500,Acton Town,517,Bayswater,0,0,0.732,6.757,2.586,0.785,11.676,LU
500,Acton Town,519,Belsize Park,0.003,0.248,0.957,0.559,0.412,0.123,2.303,LU
500,Acton Town,520,Bethnal Green LU,0,0.286,1.981,8.274,2.942,1.597,15.20900001,LU
500,Acton Town,521,Blackfriars LU,0,0.015,3.193,12,2.662,0.543,18.873,LU
500,Acton Town,522,Blackhorse Road,0.005,0.398,0.721,2.075,1.69,0.925,6.12300002,LU
500,Acton Town,524,Bond Street,0.008,1.036,10.183,21.659,4.4110003,0.96,38.5990003,LU
500,Acton Town,525,Borough,0,0,0.102000006,0.515,0.358,0.2,1.293000006,LU
500,Acton Town,526,Boston Manor,0,0.846,5.297,10.803,5.243,4.145,27.372,LU
500,Acton Town,527,Bounds Green,0,0,1.574,2.303,2.055,1.025,7.111,LU
500,Acton Town,528,Bow Road,0,0,0.306,0.925,1.154,0.573,2.958,LU
500,Acton Town,529,Brent Cross,0.003,0,0,0.677,0.514,0.214,1.696,LU
500,Acton Town,530,Bromley-by-Bow,0,0.303,1.073,1.892,0.575,0.17,4.013,LU
500,Acton Town,531,Buckhurst Hill,0,0,0.2,0.143,0.532,0.296,1.377,LU
500,Acton Town,532,Burnt Oak,0,0,0.228,1.563,0.14400001,0.108,2.04300001,LU
500,Acton Town,534,Caledonian Road,0,0,0.614,4.708,1.709,1.476,8.65,LU
500,Acton Town,535,Camden Town,0,0.096,3.124,20.604,3.715,1.117,29.373,LU
500,Acton Town,536,Cannon Street LU,0,0.015000001,0.602,3.182,0.919,0.539,5.342000001,LU
500,Acton Town,537,Canons Park,0,0,0.28,0.42000002,0.385,0.25,1.33500002,LU
500,Acton Town,540,Chalk Farm,0,0,0.682,1.255,1.352,0.427,3.721,LU
500,Acton Town,541,Chancery Lane,0,0,0.787,2.942,0.809,0.14,4.678,LU
500,Acton Town,542,Embankment,0.019,0.563,1.96,15.951,6.404,0.663,25.738,LU
500,Acton Town,545,Chiswick Park,0,0,4.735,20.277,4.398,1.227,31.078,LU
500,Acton Town,547,Clapham Common,0,0,0.81,2.623,1.542,1.122,6.542,LU
500,Acton Town,548,Clapham North,0,0,0.52,1.588,1.366,0.401,4.11400001,LU
500,Acton Town,549,Clapham South,0,0,0.157,1.917,1.257,1.365,4.858,LU
500,Acton Town,550,Cockfosters,0,0,0.852,1.984,0.787,0.015,3.638,LU
500,Acton Town,551,Colindale,0.001,0,0,1.632,0.795,0.491,2.949000001,LU
500,Acton Town,552,Colliers Wood,0,0.246,0.365,1.262,0.907,0.702,3.621,LU
500,Acton Town,553,Covent Garden,0,1.341,10.623,77.777,17.897,3.0970001,111.0250001,LU
500,Acton Town,556,Dagenham Heathway,0,0,0.129,0.962,0.29,0.489,1.877,LU
500,Acton Town,558,Dollis Hill,0,0.21,0.41,0.603,0.544,0.139,1.994,LU
500,Acton Town,560,Ealing Broadway,0,1.117,45.815998,271.681,71.839,32.917,432.584998,LU
500,Acton Town,561,Ealing Common,0,0,2.694,19.484,8.858,3.965,36.84,LU
500,Acton Town,562,Earl's Court,0,6.393,24.718,69.156,25.031,13.904,142.527,LU
500,Acton Town,563,East Acton,0,0,0,2.54,1.275,0.667,4.522,LU
500,Acton Town,564,Eastcote,0,0,1.008,3.652,1.684,1.509,8.576,LU
500,Acton Town,565,East Finchley,0,0,0.361,1.385,1.099,0.861,3.851,LU
500,Acton Town,566,East Ham,0,0.066,0.573,1.202,0.584,0.974,3.99,LU
500,Acton Town,567,East Putney,0,0,1.865,6.959,3.89,2.466,15.42599999,LU
500,Acton Town,568,Edgware,0,0,2.446,0.568,0.141,0,3.155,LU
500,Acton Town,569,Edgware Road (DIS),0,0,0.75,5.48,4.072,1.141,11.64499999,LU
500,Acton Town,570,Elephant & Castle LU,0,0.012,2.362,10.332,4.353,2.025,19.734,LU
500,Acton Town,574,Euston LU,0,1.547,7.216,20.75,10.495,6.141,46.847,LU
500,Acton Town,576,Fairlop,0,0,0.306,0,1.5649999,0,1.8709999,LU
500,Acton Town,577,Farringdon,0,0,0.167,1.864,0.694,0.438,3.163,LU
500,Acton Town,578,Finchley Central,0.003,0,0.603,1.159,0.969,0.046,3.05699998,LU
500,Acton Town,579,Finchley Road,0,0.14,0.795,1.909,1.293,0.224,4.364,LU
500,Acton Town,580,Finsbury Park LU,0,0.562,3.672,11.543,4.991,3.667,26.027,LU
500,Acton Town,581,Fulham Broadway,0,0.007,3.6460001,13.81,6.823,2.522,27.53700013,LU
500,Acton Town,582,Gants Hill,0,0,0.23900001,0.363,0.668,0.491,1.76500001,LU
500,Acton Town,583,Gloucester Road,0,1.742,11.108,32.662,8.703,5.092,60.047,LU
500,Acton Town,584,Golders Green,0,0,0.368,2.341,0.705,0.529,3.943,LU
500,Acton Town,585,Goldhawk Road,0,0,0,1.636,1.599,0.742,3.99,LU
500,Acton Town,586,Goodge Street,0,0,1.757,2.894,0.887,0.178,5.838,LU
500,Acton Town,588,Great Portland Street,0,0.015999999,0.502,2.41,0,0,2.927999999,LU
500,Acton Town,589,Greenford,0,0.015,1.247,0.901,0.597,0.314,3.074,LU
500,Acton Town,590,Green Park,0,5.778,18.127,79.502,11.535,2.914,118.87,LU
500,Acton Town,591,Gunnersbury,0,0,0.325,1.143,0.31,0,2,LU
500,Acton Town,593,Hammersmith (DIS),0,12.41,66.019,237.529,72.128,31.118,427.343,LU
