name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
940GZZDLABR,940GZZDLBEC,0.257,1.586,2.325,1.3970001,0,0,5.5650001,dlr,MTT
940GZZDLABR,940GZZDLBLA,0.211,3.522,0.315,0,0,0.361,4.409,dlr,MTT
940GZZDLABR,940GZZDLBNK,0.629,0.022,0,0.327,0,0,0.978,dlr,MTT
940GZZDLABR,940GZZDLCAN,0.189,1.143,2.158,0.67,0.604,0,4.764,dlr,MTT
940GZZDLABR,940GZZDLCGT,0,0,46.207,117.297,49.327,31.613,257.176,dlr,SUN
940GZZDLABR,940GZZDLCGT,13.064,37.389,76.507,7.615,13.927,8.242,156.744,dlr,MTT
940GZZDLABR,940GZZDLCLA,0,0,0.117,0.827,0.8,0.168,1.912,dlr,SUN
940GZZDLABR,940GZZDLCLA,0,1.406,2.404,0.365,0,0.241,4.416,dlr,MTT
940GZZDLABR,940GZZDLCUS,0,0,0.293,0.796,0.207,0.643,1.939,dlr,SUN
940GZZDLABR,940GZZDLCUS,0,0.652,0.386,0.438,1.815,0.39,3.681,dlr,MTT
940GZZDLABR,940GZZDLCUT,0,0,0,2.0180001,0.28,0,2.2980001,dlr,SUN
940GZZDLABR,940GZZDLCUT,0,2.423,4.242,1.077,0.561,0,8.303,dlr,MTT
940GZZDLABR,940GZZDLCYP,0,7.6679997,3.133,1.324,0.61800003,1.802,14.54499973,dlr,MTT
940GZZDLABR,940GZZDLDEV,0,0,0.991,0.646,1.243,0.74300003,3.62300003,dlr,SUN
940GZZDLABR,940GZZDLDEV,0,1.062,1.454,2.45,0,0,4.966,dlr,MTT
940GZZDLABR,940GZZDLEIN,0,0,0.65500003,4.914,0.619,1.173,8.07600006,dlr,SUN
940GZZDLABR,940GZZDLEIN,0.211,2.734,1.103,1.931,0.692,0.558,7.229,dlr,MTT
940GZZDLABR,940GZZDLGAL,0,0,0,1.302,0.368,0.53400004,2.20400004,dlr,SUN
940GZZDLABR,940GZZDLISL,0.15100001,2.126,0.024,1.024,0.011,0,3.33600001,dlr,MTT
940GZZDLABR,940GZZDLKGV,0,0,0,4.212,3.9589999,1.797,9.9679999,dlr,SUN
940GZZDLABR,940GZZDLKGV,1.191,5.027,8.044,5.027,2.262,0,21.551,dlr,MTT
940GZZDLABR,940GZZDLLCA,0,0,0,3.825,2.1790001,8.305,17.416,dlr,SUN
940GZZDLABR,940GZZDLLCA,0.768,4.265,4.837,4.069,5.396,0.383,19.718,dlr,MTT
940GZZDLABR,940GZZDLLDP,0.919,8.225,1.555,0.959,0.157,0.134,11.949,dlr,MTT
940GZZDLABR,940GZZDLLEW,0,0,0.177,3.699,0.397,0,4.273,dlr,SUN
940GZZDLABR,940GZZDLLEW,0.838,0.698,7.403,2.865,0.187,0.016,12.007,dlr,MTT
940GZZDLABR,940GZZDLLIM,10.04,2.275,2.964,3.077,0.317,0,18.673,dlr,MTT
940GZZDLABR,940GZZDLPDK,1.353,8.75,1.209,1.05,0.571,0,12.933,dlr,MTT
940GZZDLABR,940GZZDLPOP,2.346,0.852,2.755,4.109,2.043,0,12.105,dlr,MTT
940GZZDLABR,940GZZDLPRE,0,0,2.039,0.355,0,0,3.19299997,dlr,SUN
940GZZDLABR,940GZZDLPRE,0,1.643,2.415,5.684,0.335,0.334,10.411,dlr,MTT
940GZZDLABR,940GZZDLRAL,0,4.068,3.577,0,0.533,0,8.178,dlr,MTT
940GZZDLABR,940GZZDLSHA,0,0,0.402,1.9860001,0.761,0.003,3.6250001,dlr,SUN
940GZZDLABR,940GZZDLSHA,0,1.628,2.55,2.081,0.679,0.22299999,7.16099999,dlr,MTT
940GZZDLABR,940GZZDLSHS,0,0,1.127,10.887,4.48,3.323,21.506,dlr,SUN
940GZZDLABR,940GZZDLSHS,0,10.494,23.129,10.422,1.915,0.749,46.709,dlr,MTT
