name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
910GACTNCTL,910GBARKING,0,0,0,0.967,1.222,0.723,3.388,overground,SUN
910GACTNCTL,910GBARKING,0.724,0.646,1.021,0.724,0.277,0.811,4.203,overground,MTT
910GACTNCTL,910GBLCHSRD,0,0,0.06,0.032,0,0,0.092,overground,SUN
910GACTNCTL,910GBLCHSRD,1.03,0.724,0.252,0.816,0.127,0.124,3.073,overground,MTT
910GACTNCTL,910GBRBY,0,0,5.327,62.953,40.251,13.17,125.942,overground,SUN
910GACTNCTL,910GBRBY,31.907,76.496,66.031,90.355,22.968,7.209,294.966,overground,MTT
910GACTNCTL,910GBRBYPK,0,0,1.715,14.515,6.78,3.704,27.855,overground,SUN
910GACTNCTL,910GBRBYPK,0.567,31.749,19.97,16.244,7.92,4.478,80.928,overground,MTT
910GACTNCTL,910GBUSHYDC,6.283,0.61,0.609,0.337,0.001,0,7.84,overground,MTT
910GACTNCTL,910GCLDNNRB,0,0,0.452,4.401,1.668,1.477,7.998,overground,SUN
910GACTNCTL,910GCLDNNRB,4.618,22.177,8.417,8.727,2.634,0.54,47.113,overground,MTT
910GACTNCTL,910GCMDNRD,0,0,2.153,45.516,13.833,6.339,69.931,overground,SUN
910GACTNCTL,910GCMDNRD,12.526,52.407,25.528,20.358,6.574,2.25,119.643,overground,MTT
910GACTNCTL,910GCNDAW,0,0,0.038000003,0.24599999,0.26,0,0.543999993,overground,SUN
910GACTNCTL,910GCNDAW,0,0.163,0.053,0,0.011,0.04,0.267,overground,MTT
910GACTNCTL,910GCNNB,0,0,0.271,3.939,4.105,1.413,10.555,overground,SUN
910GACTNCTL,910GCNNB,0.904,3.402,4.778,5.6210003,1.2969999,0.387,16.3890002,overground,MTT
910GACTNCTL,910GCROUCHH,0,0,0.58,4.842,3.368,1.319,10.319,overground,SUN
910GACTNCTL,910GCROUCHH,1.624,2.478,3.637,4.636,1.367,0.005,13.747,overground,MTT
910GACTNCTL,910GCRPNDPK,0,0.005,1.317,2.498,0.37,0.005,4.195000001,overground,MTT
910GACTNCTL,910GDALSKLD,0,0,0.81,10.941,7.487,5.192,25.7729999,overground,SUN
910GACTNCTL,910GDALSKLD,2.563,5.941,11.475,14.185,5.265,1.532,40.961,overground,MTT
910GACTNCTL,910GDENMRKH,0,0,0.227,0,0.02,0.004,0.251,overground,MTT
910GACTNCTL,910GEDMNGRN,0.064,0.021,1.062,0,0.844,0.056,2.047,overground,MTT
910GACTNCTL,910GEUSTON,0,0,0.83,11.599,4.513,1.754,18.955,overground,SUN
910GACTNCTL,910GEUSTON,2.704,17.722,7.581,4.824,2.521,0.18699999,35.53899999,overground,MTT
910GACTNCTL,910GFNCHLYR,0,0,2.234,32.297,9.32,5.917,51.34,overground,SUN
910GACTNCTL,910GFNCHLYR,4.995,52.122,20.271,23.644001,7.574,2.2549999,110.8610009,overground,MTT
910GACTNCTL,910GGNRSBRY,0,0,4.646,44.744,15.532,6.018,71.981,overground,SUN
910GACTNCTL,910GGNRSBRY,13.32,102.322,49.825,33.028,11.909,3.893,214.297,overground,MTT
910GACTNCTL,910GGOSPLOK,0,0,0.274,14.708,7.525,3.596,26.759,overground,SUN
910GACTNCTL,910GGOSPLOK,3.649,18.251,12.109,9.619,4.8389997,0.903,49.3699997,overground,MTT
910GACTNCTL,910GHACKNYC,0,0,0.842,12.769,6.611,2.603,24.3819999,overground,SUN
910GACTNCTL,910GHACKNYC,2.803,10.266,8.649,10.716,5.667,1.7609999,39.8619999,overground,MTT
910GACTNCTL,910GHACKNYW,0,0,0.189,6.227,0.37,0.825,7.95000002,overground,SUN
910GACTNCTL,910GHACKNYW,0.57,5.71,2.694,2.902,1.013,0.164,13.053,overground,MTT
910GACTNCTL,910GHAGGERS,0,0,0,0.675,1.157,0.381,2.213,overground,SUN
910GACTNCTL,910GHAGGERS,0.191,2.6269999,2.034,1.478,0.527,0,6.8569999,overground,MTT
910GACTNCTL,910GHARLSDN,0,0,0.045,0.598,0.43,0.116,1.21,overground,SUN
910GACTNCTL,910GHARLSDN,1.342,0.824,0.42200002,0.826,0.616,0.016,4.04600002,overground,MTT
910GACTNCTL,910GHEDSTNL,1.303,4.281,1.308,1.158,0.255,0.003,8.308,overground,MTT
910GACTNCTL,910GHGHI,0,0,3.763,23.592001,12.247,7.664,49.697001,overground,SUN
910GACTNCTL,910GHGHI,18.986,49.79,37.522,40.876,16.635,3.193,167.002,overground,MTT
910GACTNCTL,910GHGHMSPK,0.035,0.301,0.175,0.358,0.153,0.089,1.111,overground,MTT
