name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
910GBARKING,910GACTNCTL,0,0,0,1402,0.15,0.102,1654,overground,SUN
910GBARKING,910GACTNCTL,0.073,0.133,1151,0.354,0.178,0,1889,overground,MTT
910GBLCHSRD,910GACTNCTL,0,0,0.069,0,0,0,0.069,overground,SUN
910GBLCHSRD,910GACTNCTL,0.115,1465,0.47,0.731,0.091,0.102,2974,overground,MTT
910GBRBY,910GACTNCTL,0,0,1143,44371,33089,30663,121205,overground,SUN
910GBRBY,910GACTNCTL,5.93,87496,57779,86706,37831,11196,286938,overground,MTT
910GBRBYPK,910GACTNCTL,0,0,0.423,9162,5528,2544,18983,overground,SUN
910GBRBYPK,910GACTNCTL,0.275,16139,21402,22865,9251,2025,71957,overground,MTT
910GBUSHYDC,910GACTNCTL,0.129,0.635,0.40100002,0.467,0.846,0.002,248000002,overground,MTT
910GCLAPTON,910GACTNCTL,0.041,0.671,0.651,0.579,0.001,0,1943,overground,MTT
910GCLDNNRB,910GACTNCTL,0,0,0,1695,1682,0.986,458900001,overground,SUN
910GCLDNNRB,910GACTNCTL,0.548,4.91,9894,14858,3808,1567,35585,overground,MTT
910GCMDNRD,910GACTNCTL,0,0,0.060000002,19679,18734,12134,550119997,overground,SUN
910GCMDNRD,910GACTNCTL,1711,18648,18913,56987,13475,11208,120942,overground,MTT
910GCNDAW,910GACTNCTL,0,0,0.055,0.082,0.432,0.314,0.883,overground,SUN
910GCNDAW,910GACTNCTL,0,0,0.168,0.202,0.035,0.018,0.423,overground,MTT
910GCNNB,910GACTNCTL,0,0,0.096,3823,1906,0.954,6779,overground,SUN
910GCNNB,910GACTNCTL,0.419,7526,3.9,45889997,0.462,0.94699997,1784299967,overground,MTT
910GCROUCHH,910GACTNCTL,0,0,0.109,1838,1828,1368,5143,overground,SUN
910GCROUCHH,910GACTNCTL,0.31199998,3784,2421,4013,0.663,0.02,1121299998,overground,MTT
910GCRPNDPK,910GACTNCTL,0.581,3418,0.667,0.724,0.644,0.006,6.04,overground,MTT
910GDALS,910GACTNCTL,0,0,0,0.85,0.51699996,0.449,181599996,overground,SUN
910GDALSKLD,910GACTNCTL,0,0,0.584,12.13,4282,6586,252390001,overground,SUN
910GDALSKLD,910GACTNCTL,2.22,16595,12647,13454,7.65,5288,57854,overground,MTT
910GDENMRKH,910GACTNCTL,0,0,0.005,0,0.117,0,0.122,overground,MTT
910GEDMNGRN,910GACTNCTL,0.63,0.192,0.055,0.1,0.284,0.083,1344,overground,MTT
910GEUSTON,910GACTNCTL,0,0,0.596,17.5,15811,17687,53.9,overground,SUN
910GEUSTON,910GACTNCTL,0.114,20080001,11873,39413,13202,5227,718370001,overground,MTT
910GFNCHLYR,910GACTNCTL,0,0,0.355,18768,13.12,69630003,416740003,overground,SUN
910GFNCHLYR,910GACTNCTL,1.93,17661,21234,37.3,10861,4092,93078,overground,MTT
910GGNRSBRY,910GACTNCTL,0,0,0.674,24166,28618,14857,71.63,overground,SUN
910GGNRSBRY,910GACTNCTL,0.496,15355,36447998,94254,38462,6348,191362998,overground,MTT
910GGOSPLOK,910GACTNCTL,0,0,0.135,9396,7126,2195,21.22,overground,SUN
910GGOSPLOK,910GACTNCTL,0.729,15149,14136,17.65,2925,0.697,51286,overground,MTT
910GHACKNYC,910GACTNCTL,0,0,0.352,10689,5308,5733,22953,overground,SUN
910GHACKNYC,910GACTNCTL,1791,22.55,10574,17244,5388,1972,59519,overground,MTT
910GHACKNYW,910GACTNCTL,0,0,0.096,2274,1355,1984,7029,overground,SUN
910GHACKNYW,910GACTNCTL,0.274,3665,2554,39190001,4186,14300001,160280002,overground,MTT
910GHAGGERS,910GACTNCTL,0,0,0,1109,0.228,1128,2465,overground,SUN
910GHAGGERS,910GACTNCTL,0.416,0.147,0.997,4057,0.553,0.61800003,678800003,overground,MTT
910GHARLSDN,910GACTNCTL,0,0,0.149,0.157,0,0.191,0.574999994,overground,SUN
910GHARLSDN,910GACTNCTL,0,1004,0.505,1641,0.518,0,3668,overground,MTT
910GHEDSTNL,910GACTNCTL,0.061,2076,3298,1961,0.555,0.003,7954,overground,MTT
910GHGHI,910GACTNCTL,0,0,1375,20482,14358,7763,45495,overground,SUN
910GHGHI,910GACTNCTL,2.47,35903,34358,62391,24664,9941,169727,overground,MTT
910GHGHMSPK,910GACTNCTL,0.073,0.751,0.739,0.235,0,0,1798,overground,MTT
910GHMPSTDH,910GACTNCTL,0,0,0.21599999,24742,18338,75820003,5296900029,overground,SUN
910GHMPSTDH,910GACTNCTL,0.312,9031,26825,50247,13624,15059999,1015449999,overground,MTT
910GHOMRTON,910GACTNCTL,0,0,0.328,11206,3232,2708,17482,overground,SUN
910GHOMRTON,910GACTNCTL,20609999,10739,3567,4051,2062,0.524,230039999,overground,MTT
910GHOXTON,910GACTNCTL,0,0,0.116,1422,1105,0.96,3639,overground,SUN
910GHOXTON,910GACTNCTL,0.122999996,0.858,1511,5248,2231,0.228,10199,overground,MTT
910GHRGYGL,910GACTNCTL,0,0,0,1602,1345,0.778,3781,overground,SUN
910GHRGYGL,910GACTNCTL,0.482,24620001,1188,2407,0.946,0.01,74950001,overground,MTT
910GHROW,910GACTNCTL,0,0,0.263,2883,0.887,1319,6428,overground,SUN
910GHROW,910GACTNCTL,0.065,1839,4846,3019,2888,0.861,13518,overground,MTT
910GKENR,910GACTNCTL,0,0,0.232,17182,10.95,6692,388409998,overground,SUN
910GKENR,910GACTNCTL,0.322,89577,23348,39113,20212,2.28,174852,overground,MTT
910GKENSLG,910GACTNCTL,0.027,2754,0.48299998,0.065,0,0,332899998,overground,MTT
910GKEWGRDN,910GACTNCTL,0,0,0.37800002,25074,23696001,3167,5268600102,overground,SUN
910GKEWGRDN,910GACTNCTL,0.441,16677,19353,20589,4943,0.862,62865,overground,MTT
910GKLBRNHR,910GACTNCTL,0,0,0.058000002,1001,1474,0,2533000002,overground,SUN
910GKLBRNHR,910GACTNCTL,0,0.269,1101,0.962,0.343,0,2675,overground,MTT
910GKNTSHTW,910GACTNCTL,0,0,0.292,6953,7853,2616,19931,overground,SUN
910GKNTSHTW,910GACTNCTL,0.39499998,3.74,6982,14108,5942,6307,3747399998,overground,MTT
910GKTON,910GACTNCTL,0,0,0.359,0.978,1107,0.214,2658,overground,SUN
910GKTON,910GACTNCTL,0.184,1473,2147,3504,0.49199998,1213,901299998,overground,MTT
910GLEYTNMR,910GACTNCTL,0,0,0,1229,0.34,0,1569,overground,SUN
910GLEYTNMR,910GACTNCTL,0.93700004,2211,0.803,0.28,0.095,0.002,432800004,overground,MTT
910GLYTNSHR,910GACTNCTL,1021,0.402,0.30200002,0.634,0.001,0,236000002,overground,MTT
910GNEWXGTE,910GACTNCTL,0,0,0.043,1241,0.258,0.133,1675,overground,SUN
910GNWCRELL,910GACTNCTL,0.014,0.545,0.007,0.587,0.359,0,1512,overground,MTT
910GNWEMBLY,910GACTNCTL,0,0,0.403,1.61,0.408,0.559,2.98,overground,SUN
910GNWEMBLY,910GACTNCTL,0.046,36060002,2342,1082,0.592,0.358,80260002,overground,MTT
910GQPRK,910GACTNCTL,0.20300001,4803,2152,4348,0,0,1150600001,overground,MTT
910GRICHMND,910GACTNCTL,0,0,2489,90691,106417,48813,267496,overground,SUN
910GRICHMND,910GACTNCTL,9132,133772,123772,281968,101386,25917,675947,overground,MTT
910GSACTON,910GACTNCTL,0,0,1314,19065,10598,1237,32866,overground,SUN
910GSACTON,910GACTNCTL,0.159,6342,10633,8896,8378,2312,36.72,overground,MTT
910GSHMPSTD,910GACTNCTL,0,0,0.153,1493,1148,0.516,3.31,overground,SUN
910GSHMPSTD,910GACTNCTL,0.002,1.77,1224,5297,0.72,0,9013,overground,MTT
910GSHRDHST,910GACTNCTL,0,0,0,4337,17229999,2579,90159999,overground,SUN
910GSHRDHST,910GACTNCTL,0,0,1666,6.74,2809,0.716,11931,overground,MTT
910GSKENTON,910GACTNCTL,0,0,0.319,1021,0.559,0.319,2218,overground,SUN
910GSKENTON,910GACTNCTL,0.03,2056,2014,0.568,0.158,0,4826,overground,MTT
910GSTNBGPK,910GACTNCTL,0,0,0.121,0.168,0,0.087000005,0.380000005,overground,SUN
910GSTNBGPK,910GACTNCTL,0,1967,3167,2.69,0.292,0.001,8117,overground,MTT
910GSTOTNHM,910GACTNCTL,0,0,0,1996,1129,0,3125,overground,SUN
910GSTOTNHM,910GACTNCTL,0.17199999,0.842,0.657,0.343,0.043,0.2,225699999,overground,MTT
910GSURREYQ,910GACTNCTL,0,0,0,0.335,0.151,0.166,0.652,overground,SUN
910GSURREYQ,910GACTNCTL,0.004,0.944,0.15200001,0.206,0.155,0.030000001,1491000011,overground,MTT
910GTURKYST,910GACTNCTL,0,0,0.25,1464,0.119,0.017,1.85,overground,SUN
910GUPRHLWY,910GACTNCTL,0,0,0.22399999,2979,1549,0.825,585699999,overground,SUN
910GUPRHLWY,910GACTNCTL,0.681,2866,2454,3204,0.541,0.183,9929,overground,MTT
910GWATFDHS,910GACTNCTL,0,0,0.22,1772,0.919,2211,5122,overground,SUN
910GWATFDHS,910GACTNCTL,0.477,2733,2086,2896,2731,0.225,11148,overground,MTT
910GWATFDJ,910GACTNCTL,0,0,1115,13192,8886,11684999,36788999,overground,SUN
910GWATFDJ,910GACTNCTL,0.541,7744,2576,6034,5168,0.906,22969,overground,MTT
