name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
940GZZLUACT,940GZZLUACY,0,0.799,1.425,1.519,1.363,0.79,5.898,tube,SUN
940GZZLUACT,940GZZLUACY,1.742,1.775,1.814,1.74,0.852,0.017,7.94,tube,MTT
940GZZLUACT,940GZZLUADE,0,0.151,2.428,15.133,2.718,0.516,20.946,tube,SUN
940GZZLUACT,940GZZLUADE,0.925,17.154,11.21,2.442,1.044,0.876,33.651,tube,MTT
940GZZLUACT,940GZZLUAGL,0,0,2.587,9.764,2.859,1.576,16.801,tube,SUN
940GZZLUACT,940GZZLUAGL,2.5279999,11.832,10.238,5.063,0.95600003,0.101,30.71799993,tube,MTT
940GZZLUACT,940GZZLUALD,0.72400004,3.757,1.751,0.70600003,0,0,6.93800007,tube,MTT
940GZZLUACT,940GZZLUALP,0,0.223,19.968,33.931,14.8359995,8.583,82.9319995,tube,SUN
940GZZLUACT,940GZZLUALP,19.05,35.265,41.258,68.078,17.378,6.166,187.195,tube,MTT
940GZZLUACT,940GZZLUAMS,0,0,0.72,0.344,0.179,0.035,1.309,tube,SUN
940GZZLUACT,940GZZLUAMS,0.85899997,0.078,0.172,0.499,0.233,0.026999999,1.867999969,tube,MTT
940GZZLUACT,940GZZLUASG,0,0.275,0.141,1.959,1.371,0.319,4.592,tube,SUN
940GZZLUACT,940GZZLUASG,0.394,1.8000001,1.739,3.942,0.509,0.152,8.5360001,tube,MTT
940GZZLUACT,940GZZLUASL,0,0,0.352,4.479,0.889,0.747,6.786,tube,SUN
940GZZLUACT,940GZZLUASL,0.337,0.632,0.752,1.933,0.808,0.2,4.662,tube,MTT
940GZZLUACT,940GZZLUBBB,0,0.303,1.073,1.892,0.575,0.17,4.013,tube,SUN
940GZZLUACT,940GZZLUBBB,1.605,2.013,0.767,1.122,0.252,0.302,6.061,tube,MTT
940GZZLUACT,940GZZLUBBN,0,0.073,0.665,2.804,1.586,0.19,5.318,tube,SUN
940GZZLUACT,940GZZLUBBN,4.679,9.181,5.084,2.102,0.527,0.005,21.593,tube,MTT
