Mode,Segment,Distress
dlr,"(45, 85)",0.18166763753389134
dlr,"(85, 80)",0.32768882204443484
dlr,"(80, 53)",0.3240486603888687
dlr,"(53, 77)",0.36328207884796204
dlr,"(77, 55)",0.24541096481108446
dlr,"(55, 74)",0.21899219753110463
dlr,"(74, 76)",0.32504373880515935
dlr,"(76, 49)",0.27433930363458137
dlr,"(49, 57)",0.27374272575965625
dlr,"(57, 62)",0.2252379194168859
dlr,"(62, 48)",0.37774901601269345
dlr,"(53, 60)",0.3568642815186381
dlr,"(60, 50)",0.1331035869481737
dlr,"(50, 73)",0.32044107632823937
dlr,"(73, 88)",0.0
dlr,"(88, 69)",0.45051624974702587
dlr,"(69, 78)",0.5060604988935479
dlr,"(78, 47)",0.9999999999999994
dlr,"(73, 86)",0.06158410295144921
dlr,"(86, 52)",0.07736704684561475
dlr,"(52, 64)",0.03385391622387447
dlr,"(64, 79)",0.22377712433654584
dlr,"(79, 54)",0.2031783379106943
dlr,"(54, 71)",0.23917625956921487
dlr,"(71, 65)",0.18417353391199595
dlr,"(65, 56)",0.30465867657161183
dlr,"(45, 82)",0.3169568740140725
dlr,"(82, 81)",0.16504380291199636
dlr,"(81, 75)",0.21105118364077577
dlr,"(75, 51)",0.18913548805364938
dlr,"(51, 59)",0.18273571458196328
dlr,"(53, 87)",0.6792010306214309
dlr,"(87, 72)",0.2990885150288619
dlr,"(72, 70)",0.5012715418570479
dlr,"(70, 66)",0.4568800657977662
dlr,"(59, 67)",0.22615388541584505
dlr,"(56, 63)",0.18007182625417467
dlr,"(63, 58)",0.3365585425285529
dlr,"(58, 61)",0.3105974504102654
dlr,"(61, 68)",0.23909706831748762
dlr,"(81, 83)",0.20244138954501847
dlr,"(66, 89)",0.5777186120473219
dlr,"(46, 73)",0.14492592388878278
dlr,"(73, 50)",0.31731704017389145
dlr,"(50, 60)",0.13166005541350112
dlr,"(60, 53)",0.3529290371310881
dlr,"(46, 67)",0.14546916675439553
dlr,"(67, 59)",0.21726950446340007
dlr,"(59, 51)",0.18034828733446717
dlr,"(51, 75)",0.20736963995543753
dlr,"(75, 81)",0.21653525898125775
dlr,"(78, 84)",0.504077352907124
dlr,"(53, 80)",0.3195046952209093
dlr,"(80, 85)",0.32194110610579774
dlr,"(48, 62)",0.3777490160126937
dlr,"(62, 57)",0.22523791941688584
dlr,"(57, 49)",0.27374272575965636
dlr,"(49, 76)",0.27433930363458126
dlr,"(76, 74)",0.32504373880515935
dlr,"(74, 55)",0.21899219753110433
dlr,"(55, 77)",0.24541096481108463
dlr,"(77, 53)",0.36328207884796265
dlr,"(85, 45)",0.1784539179949325
dlr,"(73, 46)",0.14423094738280606
dlr,"(47, 78)",1.0
dlr,"(78, 69)",0.5060604988935479
dlr,"(69, 88)",0.450516249747026
dlr,"(88, 73)",0.052104271675631725
dlr,"(88, 86)",0.05210427167563168
dlr,"(67, 46)",0.14594381219884023
dlr,"(52, 86)",0.07736704684561461
dlr,"(86, 73)",0.05210427167563168
dlr,"(86, 88)",0.10420854335126338
dlr,"(54, 79)",0.2031783379106943
dlr,"(79, 64)",0.22377712433654567
dlr,"(64, 52)",0.03385391622387444
dlr,"(56, 65)",0.30465867657161183
dlr,"(65, 71)",0.18417353391199615
dlr,"(71, 54)",0.23917625956921515
dlr,"(81, 82)",0.16833739864042316
dlr,"(58, 63)",0.3365585425285529
dlr,"(63, 56)",0.18007182625417456
dlr,"(82, 45)",0.323461736403377
dlr,"(61, 58)",0.3105974504102655
dlr,"(66, 70)",0.40477579412213427
dlr,"(70, 72)",0.5012715418570479
dlr,"(72, 87)",0.29908851502886197
dlr,"(87, 53)",0.731305302297063
dlr,"(68, 61)",0.23909706831748767
dlr,"(83, 81)",0.20244138954501856
dlr,"(84, 78)",0.5561816245827554
dlr,"(89, 66)",0.577718612047322
