Mode,Segment,Distress
overground,"(7, 102)",0.8509872786322862
overground,"(102, 107)",0.4133577050584335
overground,"(107, 58)",0.5675171652186951
overground,"(58, 57)",0.45543889170939444
overground,"(57, 106)",0.5378305755611054
overground,"(106, 6)",0.36882687315986
overground,"(6, 88)",0.4128581379544276
overground,"(88, 48)",0.39496322522004074
overground,"(48, 21)",0.34963001362522594
overground,"(21, 93)",0.34094015575487635
overground,"(93, 33)",0.3549762153888839
overground,"(33, 39)",0.3606307354228654
overground,"(39, 31)",0.4436982959445582
overground,"(31, 103)",0.24720739239537023
overground,"(103, 10)",0.2979633628952951
overground,"(10, 9)",0.3045513410518311
overground,"(9, 55)",0.3420534742463815
overground,"(55, 105)",0.49911387784294864
overground,"(105, 0)",0.8463134595211923
overground,"(14, 17)",0.364718025002245
overground,"(17, 56)",0.28215824843104553
overground,"(56, 33)",0.35226714378342383
overground,"(22, 73)",0.16250285355142843
overground,"(73, 108)",0.22983516375939847
overground,"(108, 77)",0.28636189740977075
overground,"(77, 97)",0.33399109269252064
overground,"(97, 76)",0.4014507513508402
overground,"(76, 46)",0.3217998598312341
overground,"(46, 41)",0.2921245979319562
overground,"(41, 24)",0.2998162724252549
overground,"(24, 25)",0.11661766833672944
overground,"(25, 18)",0.14571055440870082
overground,"(18, 38)",0.300652490284275
overground,"(38, 14)",0.35143977624542255
overground,"(30, 84)",1.0
overground,"(84, 51)",0.36669170254485717
overground,"(51, 68)",0.3434826233702909
overground,"(68, 54)",0.489484703937848
overground,"(54, 105)",0.46605685127179575
overground,"(34, 74)",0.3142382417189574
overground,"(74, 0)",0.3921545560890109
overground,"(43, 25)",0.38867511801059657
overground,"(44, 45)",0.40820789831569443
overground,"(45, 43)",0.34111668235611387
overground,"(36, 105)",0.3569890837136178
overground,"(37, 52)",0.5290358566491892
overground,"(52, 80)",0.481101515812962
overground,"(80, 61)",0.32686901112132044
overground,"(61, 99)",0.4329030182731576
overground,"(99, 86)",0.5344824705707608
overground,"(86, 36)",0.48505904583377235
overground,"(53, 34)",0.5537514726156039
overground,"(64, 87)",0.6163657147980729
overground,"(87, 69)",0.5494811759693036
overground,"(69, 66)",0.3303004285729293
overground,"(66, 26)",0.4120405519199688
overground,"(26, 16)",0.7346613758443965
overground,"(16, 110)",0.256985513489248
overground,"(110, 15)",0.47068179440056457
overground,"(15, 50)",0.3777465241080328
overground,"(50, 96)",0.4915990629517497
overground,"(96, 65)",0.48586154951117555
overground,"(65, 85)",0.3417866205799874
overground,"(85, 105)",0.8376133633028892
overground,"(71, 53)",0.6059406130295665
overground,"(92, 75)",0.8305916119964076
overground,"(75, 27)",0.8385387307698361
overground,"(27, 82)",0.42059628381635505
overground,"(82, 104)",0.3869719123565703
overground,"(104, 2)",0.42621453007984117
overground,"(2, 89)",0.46179069739272866
overground,"(89, 88)",0.11661766833672944
overground,"(100, 8)",0.3207927149365267
overground,"(8, 19)",0.6041687415218976
overground,"(19, 49)",0.7524123712839487
overground,"(49, 40)",0.38300867295723684
overground,"(40, 37)",0.6118750954449915
overground,"(101, 100)",0.4115108835304769
overground,"(3, 47)",0.542259357130996
overground,"(47, 32)",0.44720798802429923
overground,"(32, 90)",0.42804072163852075
overground,"(90, 67)",0.4074477842721102
overground,"(67, 1)",0.2650384074018558
overground,"(15, 110)",0.5736402356390363
overground,"(110, 16)",0.2577744823576769
overground,"(16, 26)",0.7783447196976728
overground,"(26, 66)",0.46538618254826924
overground,"(66, 69)",0.32854121422328886
overground,"(69, 87)",0.5883833229766994
overground,"(87, 64)",0.616365714798073
overground,"(64, 3)",0.4106657096921311
overground,"(22, 87)",0.22256325676466812
overground,"(18, 24)",0.14653998309099847
overground,"(24, 41)",0.30226346775250834
overground,"(41, 46)",0.2949005569750061
overground,"(46, 76)",0.3257390299979248
overground,"(76, 97)",0.39427386740893827
overground,"(97, 77)",0.33293373962754674
overground,"(77, 108)",0.2863788602640572
overground,"(108, 73)",0.23009593411709406
overground,"(73, 22)",0.16258992902571415
overground,"(38, 18)",0.3149086083699847
overground,"(62, 1)",0.5668606380527018
overground,"(98, 62)",0.8083763429368053
overground,"(0, 105)",0.8762357852963372
overground,"(105, 55)",0.5338701548806355
overground,"(55, 9)",0.34384259240002246
overground,"(9, 10)",0.30582911074753066
overground,"(10, 103)",0.2991726953421007
overground,"(103, 31)",0.24768079124523068
overground,"(31, 39)",0.4516848189832005
overground,"(39, 33)",0.3354455712996327
overground,"(33, 93)",0.4702709827829874
overground,"(93, 21)",0.35755002999569
overground,"(21, 48)",0.39096355107346
overground,"(48, 88)",0.34890590277968614
overground,"(88, 6)",0.3499008344426196
overground,"(6, 106)",0.33788302267994325
overground,"(106, 57)",0.5677529013362508
overground,"(57, 58)",0.4255165659342489
overground,"(58, 107)",0.5974394909938407
overground,"(107, 102)",0.4133577050584333
overground,"(102, 7)",0.7911426270819953
overground,"(5, 27)",0.6340675930081957
overground,"(13, 91)",0.4402505755689817
overground,"(91, 92)",0.7649384499482818
overground,"(12, 42)",0.8467419822450241
overground,"(42, 109)",0.7829406655728459
overground,"(109, 95)",0.4677879979107464
overground,"(95, 106)",0.11661766833672944
overground,"(20, 79)",0.3403661955993552
overground,"(79, 95)",0.23830847335200325
overground,"(14, 38)",0.29813802152378116
overground,"(25, 43)",0.36751861974812555
overground,"(43, 35)",0.11661766833672944
overground,"(35, 20)",0.28321796702178736
overground,"(17, 14)",0.39887473995297873
overground,"(29, 5)",0.4344985823211058
overground,"(81, 83)",0.2670764497991797
overground,"(83, 89)",0.259825930391397
overground,"(88, 89)",0.11661766833672944
overground,"(89, 2)",0.46179069739272877
overground,"(2, 104)",0.4262145300798415
overground,"(104, 82)",0.3869719123565701
overground,"(82, 27)",0.42059628381635494
overground,"(27, 5)",0.6041452672330501
overground,"(4, 11)",0.0
overground,"(11, 59)",0.3625440862653758
overground,"(59, 35)",0.31779689974801417
overground,"(35, 70)",0.2597217454328682
overground,"(70, 81)",0.2520420781446748
