Mode,Segment,Distress
tube,"(0, 231)",0.0816813518425639
tube,"(231, 213)",0.08299285111505125
tube,"(213, 183)",0.08350670495869392
tube,"(183, 94)",0.0848987993646103
tube,"(94, 15)",0.18112641967833812
tube,"(15, 62)",0.08168899059590363
tube,"(62, 84)",0.11548365036493068
tube,"(84, 202)",0.13716634405483238
tube,"(202, 198)",0.14439571337184276
tube,"(198, 239)",0.14695110410350773
tube,"(239, 90)",0.11757173053334964
tube,"(90, 169)",0.08230634014203386
tube,"(169, 242)",0.0982630834271051
tube,"(242, 76)",0.11286985863863358
tube,"(76, 34)",0.08319034012837477
tube,"(34, 122)",0.29191246142298516
tube,"(122, 230)",0.19237197980381854
tube,"(230, 6)",0.24358614453431043
tube,"(239, 210)",0.0948682153031293
tube,"(210, 257)",0.08730524444539155
tube,"(257, 244)",0.09910540250013644
tube,"(244, 11)",0.110316090574208
tube,"(11, 137)",0.10943281732788464
tube,"(137, 1)",0.08209806696211924
tube,"(76, 127)",0.12132283562005276
tube,"(127, 5)",0.08532475311339127
tube,"(137, 2)",0.1383274650065099
tube,"(0, 61)",0.18626746918151246
tube,"(61, 155)",0.17695347804407233
tube,"(155, 171)",0.2245701658224424
tube,"(171, 3)",0.31860318369167556
tube,"(3, 220)",0.2872068023152166
tube,"(220, 219)",0.2942355689268154
tube,"(219, 201)",0.2563688034363233
tube,"(201, 184)",0.26892984504523604
tube,"(184, 253)",0.2789047389725973
tube,"(253, 100)",0.22319754737467762
tube,"(100, 157)",0.37598332636353116
tube,"(157, 176)",0.33976298671543254
tube,"(176, 162)",0.4532707477599903
tube,"(162, 163)",0.3308681074780731
tube,"(163, 148)",0.46046071428703783
tube,"(148, 188)",0.5827723357169691
tube,"(188, 47)",0.7030553304560854
tube,"(47, 40)",0.6458411153176046
tube,"(40, 4)",0.6725509534589879
tube,"(127, 107)",0.11800360236708246
tube,"(107, 81)",0.11180647256278117
tube,"(81, 141)",0.23448343485053327
tube,"(141, 232)",0.45292187060092326
tube,"(232, 264)",0.21250673619568353
tube,"(264, 26)",0.31750366720219325
tube,"(26, 7)",0.24820847388131767
tube,"(127, 33)",0.11707600559306244
tube,"(33, 112)",0.10399606537736587
tube,"(112, 8)",0.12601013347332254
tube,"(137, 20)",0.15104592398025626
tube,"(20, 145)",0.14854160598123675
tube,"(145, 27)",0.08390100596644143
tube,"(27, 30)",0.07162794838066881
tube,"(127, 78)",0.1032220324773296
tube,"(78, 12)",0.0949983644400723
tube,"(244, 209)",0.16697723962279593
tube,"(209, 138)",0.2255649375129352
tube,"(138, 19)",0.2757151808453568
tube,"(19, 35)",0.2081357189997392
tube,"(35, 36)",0.2623460507011743
tube,"(36, 156)",0.20848996167740647
tube,"(156, 37)",0.1951378498540479
tube,"(37, 251)",0.20895796084602505
tube,"(251, 177)",0.23183851230046063
tube,"(177, 236)",0.2888525109397175
tube,"(236, 65)",0.2609140597534441
tube,"(65, 13)",0.42188779126389014
tube,"(13, 235)",0.3263497147476543
tube,"(235, 17)",0.39829145996719945
tube,"(145, 218)",0.14200193811401013
tube,"(218, 135)",0.35587609785268876
tube,"(135, 136)",0.3284029260820763
tube,"(136, 241)",0.26941627036556404
tube,"(241, 185)",0.21752067198049013
tube,"(185, 83)",0.23347752534477456
