Mode,Segment,Distress
dlr,"(45, 85)",3.486616964245069
dlr,"(85, 80)",6.289097064525123
dlr,"(80, 53)",6.219234046801212
dlr,"(53, 77)",6.972212971510798
dlr,"(77, 55)",4.709997029396326
dlr,"(55, 74)",4.202960534491525
dlr,"(74, 76)",6.238331874758301
dlr,"(76, 49)",5.265197935064608
dlr,"(49, 57)",5.25374824282749
dlr,"(57, 62)",4.322830205152371
dlr,"(62, 48)",7.249866543847313
dlr,"(53, 60)",6.849040780000722
dlr,"(60, 50)",2.554561894210759
dlr,"(50, 73)",6.149996267544112
dlr,"(73, 88)",0.0
dlr,"(88, 69)",8.646435988044427
dlr,"(69, 78)",9.7124570139654
dlr,"(78, 47)",19.192284391294596
dlr,"(73, 86)",1.1819396178269788
dlr,"(86, 52)",1.4848503655756506
dlr,"(52, 64)",0.6497339879276612
dlr,"(64, 79)",4.294794210533081
dlr,"(79, 54)",3.8994564433325993
dlr,"(54, 71)",4.59033879329847
dlr,"(71, 65)",3.5347108401887675
dlr,"(65, 56)",5.847095963037818
dlr,"(45, 82)",6.083126465853815
dlr,"(82, 81)",3.1675676025078108
dlr,"(81, 75)",4.050554337553113
dlr,"(75, 51)",3.6299420752119427
dlr,"(51, 59)",3.50711580270348
dlr,"(53, 87)",13.035419338546898
dlr,"(87, 72)",5.740191838603908
dlr,"(72, 70)",9.620545988583201
dlr,"(70, 66)",8.76857215550412
dlr,"(59, 67)",4.340409685097152
dlr,"(56, 63)",3.4559897003299107
dlr,"(63, 58)",6.459327262527608
dlr,"(58, 61)",5.961074599484837
dlr,"(61, 68)",4.588818932274018
dlr,"(81, 83)",3.885312720716849
dlr,"(66, 89)",11.0877399005562
dlr,"(46, 73)",2.7814595469446357
dlr,"(73, 50)",6.09003887722118
dlr,"(50, 60)",2.5268572264695206
dlr,"(60, 53)",6.773514450565616
dlr,"(46, 67)",2.7918856185150176
dlr,"(67, 59)",4.169898119217227
dlr,"(59, 51)",3.461295620006009
dlr,"(51, 75)",3.979897104145126
dlr,"(75, 81)",4.1558062711109285
dlr,"(78, 84)",9.674395912204497
dlr,"(53, 80)",6.132024975033597
dlr,"(80, 85)",6.178785265630423
dlr,"(48, 62)",7.249866543847316
dlr,"(62, 57)",4.32283020515237
dlr,"(57, 49)",5.253748242827493
dlr,"(49, 76)",5.265197935064606
dlr,"(76, 74)",6.238331874758301
dlr,"(74, 55)",4.202960534491519
dlr,"(55, 77)",4.709997029396329
dlr,"(77, 53)",6.97221297151081
dlr,"(85, 45)",3.4249383448995103
dlr,"(73, 46)",2.7681213601966626
dlr,"(47, 78)",19.192284391294606
dlr,"(78, 69)",9.7124570139654
dlr,"(69, 88)",8.646435988044429
dlr,"(88, 73)",1.0000000000000004
dlr,"(88, 86)",0.9999999999999996
dlr,"(67, 46)",2.8009951488698324
dlr,"(52, 86)",1.484850365575648
dlr,"(86, 73)",0.9999999999999997
dlr,"(86, 88)",1.9999999999999996
dlr,"(54, 79)",3.8994564433325993
dlr,"(79, 64)",4.294794210533078
dlr,"(64, 52)",0.6497339879276606
dlr,"(56, 65)",5.847095963037818
dlr,"(65, 71)",3.5347108401887715
dlr,"(71, 54)",4.590338793298475
dlr,"(81, 82)",3.230779228397731
dlr,"(58, 63)",6.459327262527608
dlr,"(63, 56)",3.455989700329909
dlr,"(82, 45)",6.207969634755583
dlr,"(61, 58)",5.961074599484839
dlr,"(66, 70)",7.768572155504116
dlr,"(70, 72)",9.620545988583201
dlr,"(72, 87)",5.740191838603909
dlr,"(87, 53)",14.035419338546907
dlr,"(68, 61)",4.588818932274019
dlr,"(83, 81)",3.8853127207168505
dlr,"(84, 78)",10.674395912204494
dlr,"(89, 66)",11.087739900556203
