Mode,Segment,Distress
tube,"(0, 231)",1.0000000000000036
tube,"(231, 213)",1.049463511733275
tube,"(213, 183)",1.0659539165584009
tube,"(183, 94)",1.1241718374788912
tube,"(94, 15)",5.844998022990825
tube,"(15, 62)",0.9999999999999984
tube,"(62, 84)",1.4404140193701322
tube,"(84, 202)",2.1259260070873744
tube,"(202, 198)",2.8821951312230554
tube,"(198, 239)",3.018042340083536
tube,"(239, 90)",2.208457717192774
tube,"(90, 169)",0.7013924383351432
tube,"(169, 242)",1.6185637316384018
tube,"(242, 76)",2.640222162789695
tube,"(76, 34)",1.0000000000000007
tube,"(34, 122)",11.339508016295708
tube,"(122, 230)",6.416548862553393
tube,"(230, 6)",8.95134127379652
tube,"(90, 257)",1.1209077521722028
tube,"(257, 244)",1.5379003636695527
tube,"(244, 11)",1.5412291142373116
tube,"(11, 137)",1.8958322677974557
tube,"(137, 1)",1.296689303327597
tube,"(76, 127)",2.665041325636103
tube,"(127, 5)",1.2919560967912824
tube,"(0, 61)",6.285235272824348
tube,"(61, 155)",5.725943750870151
tube,"(155, 171)",7.967746936363824
tube,"(171, 3)",12.438371775778105
tube,"(3, 220)",10.953482939238963
tube,"(220, 219)",11.258733804126534
tube,"(219, 201)",9.477057291222204
tube,"(201, 184)",9.709090365016978
tube,"(184, 253)",10.434921523537207
tube,"(253, 100)",7.783016219382015
tube,"(100, 157)",15.563378831831542
tube,"(157, 176)",13.770752808067334
tube,"(176, 162)",19.388702525191846
tube,"(162, 163)",13.33052129877182
tube,"(163, 148)",19.74457739912628
tube,"(148, 188)",25.798022050986596
tube,"(188, 47)",31.75116536628732
tube,"(47, 40)",28.919116213272414
tube,"(40, 4)",30.2417749436697
tube,"(127, 107)",2.691859626843099
tube,"(107, 81)",2.274364175671158
tube,"(81, 141)",8.426450201377495
tube,"(141, 232)",19.24384236282902
tube,"(232, 264)",7.347643075321683
tube,"(264, 26)",12.55516947650418
tube,"(26, 7)",9.126236709485404
tube,"(127, 33)",2.471051808617604
tube,"(33, 112)",1.767408379763491
tube,"(112, 8)",2.4017047448839723
tube,"(137, 20)",4.392537858495792
tube,"(20, 145)",4.223645217259459
tube,"(145, 27)",1.4691315939415628
tube,"(27, 30)",0.6341164473038015
tube,"(127, 78)",1.246687655163526
tube,"(78, 12)",0.6475986842819306
tube,"(90, 174)",1.4256216453878627
tube,"(174, 43)",0.7770719906621625
tube,"(43, 73)",0.6629357622061339
tube,"(73, 222)",4.541458111840816
tube,"(222, 21)",4.081061766861923
tube,"(244, 209)",5.114795765186504
tube,"(209, 138)",7.946927356703693
tube,"(138, 19)",9.929640436908283
tube,"(19, 35)",6.82396720552214
tube,"(35, 36)",8.575776200973156
tube,"(36, 156)",7.1318184514642935
tube,"(156, 37)",6.970533355938351
tube,"(37, 251)",8.135995281740477
tube,"(251, 177)",8.312021418636315
tube,"(177, 236)",11.136142497380611
tube,"(236, 65)",9.75468758868279
tube,"(65, 13)",16.726186666696975
tube,"(145, 218)",3.820059410054055
tube,"(218, 135)",14.509640377403628
tube,"(135, 136)",13.153829301351601
tube,"(136, 199)",14.188534102787573
tube,"(199, 206)",10.9043951818119
tube,"(206, 266)",14.508694092081567
tube,"(266, 31)",21.64618065927552
tube,"(239, 175)",4.793188466145245
tube,"(175, 238)",4.286911338136771
tube,"(238, 216)",3.8512843493205766
tube,"(216, 49)",8.367329317573715
tube,"(49, 48)",5.894209428463382
tube,"(48, 50)",9.987604886470406
tube,"(50, 10)",9.079454795400986
tube,"(81, 195)",28.914305360796007
tube,"(195, 227)",9.072083389787505
tube,"(227, 22)",12.2974494724559
tube,"(62, 106)",1.7931534098465318
tube,"(106, 164)",4.12228339468206
tube,"(164, 182)",2.1304817243298455
tube,"(182, 132)",2.478529743141167
tube,"(132, 143)",2.9512198997489434
tube,"(143, 23)",3.1086318905854284
tube,"(138, 24)",-3.0786980447083803
tube,"(0, 200)",15.860676401584916
tube,"(200, 159)",3.401046198244924
tube,"(159, 25)",7.19573490547447
tube,"(164, 16)",3.815584828786728
tube,"(16, 170)",4.7395007031807435
tube,"(170, 68)",1.07196118931553
tube,"(68, 144)",1.1712871613753209
tube,"(144, 9)",1.3395285089347726
tube,"(34, 41)",8.132451463386959
tube,"(41, 18)",9.647004259227101
tube,"(18, 96)",8.849848514571212
tube,"(96, 85)",17.20817256458499
tube,"(85, 28)",12.428611072879997
tube,"(28, 104)",9.554630097639906
tube,"(104, 52)",19.143936452943205
tube,"(52, 32)",10.756027719668987
tube,"(216, 29)",10.929747560537303
tube,"(174, 134)",0.8178436514596875
tube,"(134, 54)",0.767991644654717
tube,"(54, 110)",0.6051208906677856
tube,"(110, 42)",2.159598016740727
tube,"(7, 208)",16.025767991775307
tube,"(208, 165)",14.410711540705808
tube,"(165, 51)",9.493317167888701
tube,"(100, 161)",10.920297287271453
tube,"(161, 178)",14.543716569771439
tube,"(178, 247)",12.237516835376033
tube,"(247, 128)",21.08651173005541
tube,"(128, 181)",9.600168515180194
tube,"(181, 39)",14.140329582070011
tube,"(10, 224)",8.676803173858147
tube,"(224, 225)",8.782379387426287
tube,"(225, 53)",10.515700069281113
tube,"(21, 142)",3.909970239139392
tube,"(142, 38)",1.5276450488634772
tube,"(0, 46)",1.9999999999999998
tube,"(13, 235)",12.24642250506219
tube,"(235, 17)",15.816186017835413
tube,"(17, 57)",12.304383978133114
tube,"(9, 211)",1.425284117718424
tube,"(211, 221)",1.1967515584238517
tube,"(221, 80)",1.0907919491106075
tube,"(80, 252)",6.251371861040757
tube,"(252, 126)",7.030997741411934
tube,"(126, 260)",6.298136921202381
tube,"(260, 59)",4.629832057458262
tube,"(244, 131)",4.280685836302032
tube,"(131, 71)",6.415849417721833
tube,"(184, 67)",16.257814101296404
tube,"(61, 60)",6.495058497185404
tube,"(60, 248)",11.81066830432719
tube,"(248, 154)",11.38601416213581
tube,"(154, 63)",0.5974291819197003
tube,"(6, 108)",13.441044771472816
tube,"(108, 64)",15.039541067404189
tube,"(32, 70)",12.258880427550595
tube,"(62, 249)",4.553360681088517
tube,"(249, 82)",5.997023376035492
tube,"(82, 172)",5.671890007622617
tube,"(172, 179)",7.408191619358009
tube,"(179, 66)",8.199192178605507
tube,"(170, 69)",3.8708410905664214
tube,"(136, 241)",10.48237038943621
tube,"(241, 185)",7.850868748741977
tube,"(185, 83)",8.653373099608233
tube,"(83, 153)",6.643337668322871
tube,"(153, 14)",3.629660355768503
tube,"(14, 77)",2.7046476723956383
tube,"(64, 79)",21.47360288394373
tube,"(231, 92)",11.858197551286093
tube,"(169, 226)",0.5394199077732457
tube,"(226, 87)",0.09495954243177197
tube,"(154, 97)",21.034705647780346
tube,"(97, 173)",20.538615319858604
tube,"(173, 91)",14.9193605932629
tube,"(170, 190)",6.320873883623022
tube,"(190, 256)",6.833217694198078
tube,"(256, 130)",6.6481459014303805
tube,"(130, 133)",5.844594123277612
tube,"(133, 265)",5.242219095874144
tube,"(265, 197)",3.727311665751341
tube,"(197, 86)",1.9833594293177603
