alpha: (1) 0.958 | (1) weight: 0.326  | (92 - 231.0) 
alpha: (2) 0.958 | (6) weight: 0.134  | (183 - 213.0) 
alpha: (3) 0.833 | (2) weight: 0.301  | (231 - 92.0) 
alpha: (4) 0.750 | (5) weight: 0.152  | (213 - 231.0) 
alpha: (5) 0.667 | (3) weight: 0.171  | (46 - 231.0) 
alpha: (6) 0.583 | (8) weight: 0.102  | (0 - 46.0) 
alpha: (7) 0.500 | (4) weight: 0.167  | (231 - 46.0) 
alpha: (8) 0.417 | (12) weight: 0.082  | (0 - 231.0) 
alpha: (9) 0.333 | (7) weight: 0.102  | (46 - 0.0) 
alpha: (10) 0.250 | (10) weight: 0.084  | (213 - 183.0) 
alpha: (11) 0.167 | (9) weight: 0.101  | (231 - 0.0) 
alpha: (12) 0.083 | (11) weight: 0.083  | (231 - 213.0) 
