,Tube Line,From Station,To Station,Distance km
0,Bakerloo,baker-street,regents-park,0.803591111
1,Bakerloo,charing-cross,embankment,0.204870249
2,Bakerloo,edgware-road-bakerloo,marylebone,0.525181323
3,Bakerloo,embankment,waterloo,0.782531067
4,Bakerloo,harlesden,willesden-junction,1.04118872
5,Bakerloo,harrow-and-wealdstone,kenton,1.804055394
6,Bakerloo,kensal-green,queens-park,1.440983449
7,Bakerloo,kenton,south-kenton,1.261209207
8,Bakerloo,kilburn-park,maida-vale,0.821922942
9,Bakerloo,lambeth-north,elephant-and-castle,0.846443593
10,Bakerloo,maida-vale,warwick-avenue,0.785412428
11,Bakerloo,marylebone,baker-street,0.463196358
12,Bakerloo,north-wembley,wembley-central,1.282676423
13,Bakerloo,oxford-circus,piccadilly-circus,0.788114336
14,Bakerloo,paddington,edgware-road-bakerloo,0.686010873
15,Bakerloo,piccadilly-circus,charing-cross,0.63443872
16,Bakerloo,queens-park,kilburn-park,0.755034683
17,Bakerloo,regents-park,oxford-circus,1.004834627
18,Bakerloo,south-kenton,north-wembley,1.004705007
19,Bakerloo,stonebridge-park,harlesden,1.507727018
20,Bakerloo,warwick-avenue,paddington,0.992496458
21,Bakerloo,waterloo,lambeth-north,0.458548599
22,Bakerloo,wembley-central,stonebridge-park,1.695930772
23,Bakerloo,willesden-junction,kensal-green,1.341786633
24,C2C,barking,dagenham-dock,4.679640325
25,C2C,barking,upminster,11.99041478
26,C2C,dagenham-dock,purfleet,8.0949958
27,C2C,dagenham-dock,rainham,3.313134298
28,C2C,fenchurch-street,limehouse,2.713055781
29,C2C,fenchurch-street,stratford,6.166382363
30,C2C,limehouse,west-ham,3.580841195
31,C2C,liverpool-street,stratford,6.057002451
32,C2C,ockendon,chafford-hundred,4.058022481
33,C2C,stratford,barking,5.856492962
34,C2C,upminster,ockendon,4.90318393
35,C2C,west-ham,barking,5.366101406
36,Central,bank,st-pauls,0.615943741
37,Central,barkingside,fairlop,1.150435241
38,Central,bethnal-green,liverpool-street,2.143279488
39,Central,bond-street,marble-arch,0.620336837
40,Central,buckhurst-hill,woodford,2.325581611
41,Central,chancery-lane,holborn,0.562983767
42,Central,chigwell,roding-valley,2.222867414
43,Central,debden,loughton,2.016469628
44,Central,east-acton,north-acton,1.132416787
45,Central,epping,theydon-bois,2.46873547
46,Central,fairlop,hainault,0.787602871
47,Central,gants-hill,newbury-park,1.677267412
48,Central,grange-hill,chigwell,1.213474317
49,Central,greenford,northolt,1.707739391
50,Central,hainault,grange-hill,1.189719716
51,Central,hanger-lane,perivale,2.194643064
52,Central,holborn,tottenham-court-road,0.788353854
53,Central,holland-park,shepherds-bush,0.877697528
